#{"t_start": 1660921239.370197, "env_id": null}
r,l,t
-11,7,0.008617
-19,12,0.016959
-13,8,0.022596
-20,9,0.028826
-19,8,0.034312
-17,7,0.03896
-28,13,0.047548
-12,8,0.052834
-27,12,0.060607
-28,13,0.069332
-19,10,0.075873
-23,11,0.083236
-36,14,0.092252
-16,7,0.097097
-26,11,0.104242
-23,11,0.111501
-12,8,0.116826
-27,10,0.123359
-12,8,0.128788
-13,7,0.13342
-22,10,0.139926
-47,19,0.152404
-15,8,0.157659
-38,17,0.168845
-24,12,0.176674
-30,13,0.185234
-15,9,0.191128
-21,12,0.199055
-14,8,0.204247
-18,8,0.209101
-23,10,0.215567
-20,11,0.222221
-25,10,0.228464
-21,9,0.234173
-28,12,0.241372
-11,8,0.246475
-49,19,0.257648
-20,9,0.263313
-19,12,0.270479
-13,7,0.274756
-21,10,0.280944
-19,11,0.287695
-11,8,0.292554
-9,6,0.296519
-8,6,0.300225
-13,7,0.304549
-6,7,0.308818
-19,9,0.31447
-19,10,0.320482
-35,14,0.32899
-22,10,0.417869
-9,6,0.422205
-9,6,0.426262
-13,7,0.43119
-21,10,0.437735
-29,13,0.446389
-4,5,0.449797
-22,10,0.456369
-18,10,0.463091
-12,8,0.468742
-17,10,0.475307
-21,10,0.48202
-10,6,0.486042
-24,12,0.493834
-23,11,0.501153
0,6,0.505192
-24,11,0.512494
-18,9,0.518436
-8,6,0.522477
-15,8,0.527755
-27,14,0.536936
-29,13,0.545599
-10,7,0.550395
-52,21,0.563967
-13,8,0.569263
-15,9,0.575164
-7,6,0.579348
-13,8,0.584636
-14,9,0.590554
-9,7,0.595399
-11,6,0.599431
-24,12,0.607282
-29,13,0.615663
-11,9,0.621084
-27,13,0.628977
-24,11,0.635562
-15,10,0.641568
-17,10,0.647807
-22,11,0.654389
-24,11,0.660961
-15,11,0.667831
-16,9,0.673273
-16,8,0.678217
-9,6,0.681974
-10,7,0.686334
-23,13,0.69408
-41,18,0.704922
-15,8,0.709784
-26,11,0.716537
-11,7,0.720834
-15,9,0.726279
-20,11,0.732998
-18,9,0.738428
-12,8,0.743279
-1,5,0.844135
-23,12,0.852102
-20,10,0.858673
-16,9,0.864797
-27,12,0.872698
-9,8,0.878184
-27,12,0.886133
0,5,0.88956
-3,5,0.893004
-32,14,0.902313
-38,17,0.913508
-28,11,0.920662
-30,13,0.929205
-20,10,0.935772
-18,10,0.942281
-16,10,0.949195
-9,7,0.953845
-8,7,0.95851
-5,5,0.962085
-20,8,0.967473
-60,21,0.981023
-6,6,0.98505
-22,15,0.994656
-18,11,1.002175
-37,16,1.012664
-26,14,1.022355
-22,12,1.030558
-10,8,1.036016
-30,16,1.047209
-33,15,1.056226
-13,8,1.06133
-20,11,1.068624
-22,13,1.076368
-36,17,1.087026
-8,6,1.090778
-10,7,1.095313
-31,14,1.103758
-15,10,1.109805
-9,7,1.114247
-30,14,1.122575
-3,5,1.12571
-29,13,1.133669
-10,7,1.138069
-17,9,1.143658
-31,14,1.152293
-20,11,1.159585
-16,8,1.164655
-15,8,1.169666
-14,9,1.268614
-2,6,1.272866
-5,5,1.276274
-5,7,1.28107
-13,10,1.287667
-12,10,1.294193
-16,10,1.300886
-9,8,1.306149
-7,6,1.310168
-3,6,1.314312
-14,8,1.319616
-19,9,1.325525
