#{"t_start": 1660921683.421223, "env_id": null}
r,l,t
-69,25,0.029282
-24,11,0.039021
-25,11,0.048441
-13,8,0.056656
-18,11,0.066132
-11,6,0.071589
-13,8,0.078158
-42,18,0.093669
-21,10,0.102278
-24,12,0.112471
-12,9,0.120226
-22,11,0.12971
-18,9,0.137447
-33,13,0.148748
-44,17,0.163504
-24,12,0.173913
-12,7,0.179832
-20,11,0.18951
-2,6,0.194913
-44,18,0.209966
-7,5,0.214473
-15,9,0.222213
-4,5,0.226746
-21,10,0.235333
-27,11,0.244839
-35,16,0.259635
-18,10,0.268495
-16,10,0.277119
-14,8,0.284024
-5,6,0.289093
-48,17,0.303561
-4,5,0.307991
-21,10,0.316318
-15,9,0.324192
-9,5,0.328529
-34,13,0.339766
-5,5,0.344351
-47,20,0.361163
-24,11,0.37053
-24,11,0.38009
-27,13,0.391533
-17,9,0.399306
-20,10,0.40774
-34,14,0.41966
-10,7,0.425684
-13,8,0.432541
-32,15,0.44536
-5,5,0.449697
-11,7,0.457103
-15,9,0.464983
-9,7,0.471107
-26,12,0.481363
-15,10,0.490319
-16,9,0.497927
-5,5,0.502337
-23,11,0.511818
-15,8,0.519056
-10,6,0.524419
-10,7,0.530395
-24,12,0.540705
-33,15,0.553269
-9,7,0.559213
-27,12,0.569672
-53,23,0.589418
-25,12,0.599825
-24,11,0.609493
-28,13,0.620953
-16,8,0.627962
-15,8,0.634633
-15,9,0.642479
-32,13,0.654736
-22,11,0.663865
-17,10,0.672501
-13,8,0.679441
-14,8,0.686163
-26,13,0.697318
-5,5,0.701886
-26,13,0.712817
-29,10,0.721524
-11,6,0.726772
-14,9,0.734722
-38,17,0.749068
-18,11,0.75827
-30,13,0.769362
-8,6,0.774649
-24,10,0.783208
-10,7,0.789222
-23,12,0.799738
-18,10,0.808173
-9,7,0.814356
-15,10,0.823381
-33,15,0.836305
-11,7,0.842589
-34,13,0.854874
-16,10,0.863499
-10,6,0.86863
-17,8,0.875493
-23,9,0.883191
-14,7,0.889202
-23,12,0.899521
-40,15,0.912298
-29,14,0.924274
-34,15,0.936775
-7,5,0.940974
-21,11,0.950478
-12,7,0.956644
-18,9,0.964496
-23,12,0.974688
-26,12,0.98491
-35,14,0.996251
-29,12,1.00692
-19,9,1.014455
-25,11,1.024108
-24,12,1.034615
-29,15,1.04705
-31,14,1.060078
-10,8,1.066853
-21,11,1.076563
-30,13,1.087833
-13,7,1.093794
-26,13,1.104967
-26,14,1.11689
-16,10,1.125484
-3,5,1.129857
-49,20,1.146374
-23,11,1.155745
-32,15,1.168795
-11,7,1.174751
-8,6,1.180038
-17,9,1.187797
-14,9,1.19568
-15,8,1.202548
-16,7,1.208728
-18,10,1.217663
-33,13,1.229429
-24,11,1.238689
-5,6,1.244029
-17,8,1.251286
-9,7,1.258466
-35,14,1.270393
-30,12,1.280588
-31,12,1.291126
-19,11,1.30044
-15,10,1.309071
-28,12,1.319096
-21,10,1.327633
-5,6,1.332875
-18,12,1.343433
-17,10,1.352097
-16,9,1.35943
-15,8,1.36657
-42,16,1.380153
-12,7,1.386274
-7,6,1.391395
-39,15,1.404021
-12,8,1.411084
-21,8,1.418248
-36,14,1.429845
-54,20,1.446669
-39,14,1.459358
-33,13,1.470337
-21,11,1.479654
-43,16,1.493322
-12,7,1.499276
-27,11,1.508912
-20,10,1.517554
-31,13,1.528951
-10,6,1.534254
-24,11,1.54396
-16,9,1.551773
-25,12,1.562055
-14,8,1.56909
-14,8,1.576087
-21,10,1.584879
-33,15,1.597486
-11,7,1.60366
-22,11,1.613018
-42,18,1.627802
-35,16,1.641262
-20,9,1.648836
-17,8,1.656788
-12,8,1.663802
-16,8,1.670769
-20,12,1.68103
-9,7,1.68698
-9,7,1.693082
-19,9,1.701022
-16,10,1.70924
-30,14,1.721172
-18,9,1.729117
-14,8,1.7359
-17,9,1.743778
-16,8,1.750687
-37,16,1.764506
-20,9,1.772457
-13,7,1.778357
-6,6,3.539334
-9,6,3.544607
-19,10,3.55563
-16,8,3.562627
-19,10,3.571414
-13,8,3.578551
-10,8,3.585463
-21,9,3.593234
-17,8,3.600134
-25,10,3.608894
-10,6,3.614313
-21,11,3.623942
-20,8,3.630712
-18,10,3.639321
-19,8,3.646169
-28,14,3.659308
-14,8,3.666129
-22,9,3.674082
-15,7,3.680318
-6,6,3.685622
-9,6,3.690967
-34,15,3.703949
-9,7,3.71002
-6,6,3.71532
-8,6,3.7208
