#{"t_start": 1660923121.420746, "env_id": null}
r,l,t
-24,11,0.012843
-36,15,0.02336
-7,6,0.027682
-25,13,0.036392
-22,12,0.044514
-49,20,0.057789
-33,13,0.066471
-21,12,0.07458
-31,12,0.082609
-31,12,0.090727
-9,6,0.094942
-10,7,0.099723
-16,8,0.105358
-36,16,0.116322
-27,12,0.124536
-35,15,0.134469
-10,8,0.139956
-13,8,0.146069
-12,7,0.151296
-46,18,0.164
-8,9,0.170061
-32,13,0.178924
-13,7,0.183705
-31,11,0.191183
-16,10,0.197904
-39,16,0.208121
-9,7,0.212579
-29,12,0.220027
-10,8,0.225058
-25,12,0.232397
-31,14,0.241127
-11,8,0.246222
-27,10,0.252442
-56,24,0.267205
-37,15,0.276575
-10,7,0.281008
-17,9,0.286659
-27,11,0.293624
-24,9,0.299276
-26,13,0.307441
-29,13,0.315474
-19,9,0.321089
-3,5,0.324394
-14,9,0.329976
-20,11,0.336748
-13,7,0.341341
-25,13,0.439409
-15,9,0.44574
-18,10,0.452474
-35,15,0.462578
-16,8,0.468129
-13,8,0.473553
-18,10,0.480415
-16,8,0.485834
-9,5,0.489332
-11,6,0.493718
-45,20,0.506907
-15,10,0.513747
-9,7,0.518555
-7,6,0.522713
-26,12,0.530824
-32,12,0.538805
-11,7,0.543785
-13,8,0.549215
-36,14,0.558612
-5,6,0.562805
-25,12,0.570811
-24,11,0.578324
-3,5,0.581829
-8,7,0.586611
-22,9,0.592895
-23,9,0.598938
-27,13,0.607679
-7,5,0.611223
-11,7,0.616019
-24,11,0.623363
-22,10,0.630103
-21,9,0.635725
-26,14,0.644451
-9,8,0.649467
-26,14,0.658212
-5,6,0.662129
-8,6,0.665966
-21,9,0.671524
-25,12,0.679049
-27,11,0.685829
-37,15,0.695342
-32,14,0.703942
-36,15,0.713282
-29,13,0.721255
-19,12,0.728819
-8,7,0.733222
-21,12,0.740792
-8,7,0.745311
-18,9,0.750946
-16,8,0.755922
-7,6,0.759927
-4,6,0.763805
-26,12,0.864825
-23,11,0.87227
-23,9,0.878534
-19,9,0.884644
-15,7,0.889457
-14,8,0.895157
-12,7,0.899976
-16,7,0.904777
-18,9,0.91101
-26,11,0.918385
-4,6,0.922533
-7,6,0.927027
-7,6,0.931173
-19,10,0.937898
-23,11,0.94539
-3,6,0.949531
-9,7,0.954309
-12,7,0.95924
-18,9,0.965326
-6,5,0.968818
-4,6,0.972948
-22,10,0.979803
-11,8,0.985233
-6,6,0.989363
-15,9,0.995588
-11,6,0.999748
-18,9,1.005819
-21,9,1.01203
-2,5,1.015519
-15,8,1.020954
-18,10,1.0278
-12,7,1.03289
-2,5,1.036402
-15,9,1.042632
-31,12,1.05064
-11,8,1.05608
-33,12,1.063869
-13,8,1.068852
-6,6,1.072654
-18,9,1.078496
-5,7,1.08291
-9,8,1.087885
-15,9,1.093727
-13,8,1.098775
-10,7,1.10323
-24,10,1.1096
-26,10,1.115797
-25,12,1.12317
-13,8,1.12827
-23,9,1.133839
-12,8,1.138826
-9,6,1.143121
-19,9,1.148798
-16,10,1.154965
-11,7,1.159541
-12,8,1.164639
-7,6,1.168455
-19,9,1.174016
-9,7,1.178615
-8,8,1.183642
-14,8,1.18865
-10,7,1.1932
-6,6,1.196999
-17,9,1.295719
-19,10,1.302838
-8,7,1.308197
-7,7,1.313074
-18,8,1.318504
-16,9,1.32473
-9,7,1.329579
-7,7,1.334383
-7,7,1.33919
-3,5,1.342861
-10,9,1.348981
-6,7,1.353781
-13,8,1.359562
-13,8,1.36502
-10,7,1.369841
-14,8,1.375561
-10,6,1.379735
-18,8,1.385192
-4,5,1.388693
-1,5,1.392379
-7,6,1.396546
-4,5,1.400054
-5,6,1.404196
-10,6,1.408514
-7,6,1.412679
-15,8,1.41812
-14,7,1.422891
-9,8,1.428478
-11,8,1.433893
-4,6,1.438028
-1,5,1.441636
-19,12,1.449689
-4,5,1.453182
-14,10,1.460094
-13,7,1.464975
-20,10,1.471698
-17,9,1.47791
-12,8,1.48333
-14,8,1.488772
-15,9,1.494784
-5,6,1.499106
-16,11,1.50592
-6,7,1.510543
-13,7,1.514976
-2,5,1.518185
-11,7,1.522638
-13,7,1.527247
-9,7,1.531845
-18,9,1.537565
-1,5,1.540897
-6,7,1.545784
-5,7,1.550954
-1,7,1.555627
-15,10,1.562349
-16,9,1.5681
-3,5,1.571416
-24,11,1.578522
-4,6,1.582371
-10,7,1.586864
-20,11,1.593842
-3,5,1.597118
-18,11,1.604134
-17,10,1.610508
-5,6,1.614429
-2,5,1.617735
-15,9,1.62347
-13,7,1.628053
-16,9,1.633798
-19,10,1.640146
-7,6,1.737182
-10,6,1.741593
-13,7,1.746528
-6,6,1.75075
-1,6,1.754908
-6,6,1.759274
-11,7,1.764096
-8,6,1.768251
-3,5,1.771768
0,5,1.775385
-9,8,1.780836
-16,9,1.786888
-14,10,1.793766
-11,7,1.798556
-13,8,1.804001
-6,6,1.808246
-20,8,1.813772
-5,5,1.817275
-7,8,1.822717
-11,7,1.827632
-7,6,1.831777
-3,6,1.835925
-21,10,1.842794
-12,7,1.847564
-2,5,1.851056
-5,5,1.854555
-14,9,1.860826
-8,6,1.864974
-25,12,1.87297
-13,8,1.878542
-14,8,1.883992
-8,8,1.889425
-3,5,1.893182
-29,14,1.902457
-11,8,1.907997
-14,8,1.913619
-11,8,1.919033
-5,5,1.922536
-9,6,1.926837
-8,7,1.932069
-7,6,1.935884
-18,9,1.941485
-9,6,1.945506
-6,6,1.94933
-30,14,1.957918
-7,6,1.961899
-5,6,1.965776
-9,9,1.971392
-5,5,1.974607
-15,9,1.980379
2,5,1.983585
-1,5,1.986841
-12,9,1.992609
-12,7,1.99702
-10,7,2.001475
-2,5,2.00469
-14,9,2.01046
-23,11,2.017216
-8,7,2.021606
-26,11,2.028558
-5,5,2.031765
-15,9,2.03733
-8,6,2.041144
0,5,2.044574
-19,10,2.050816
-12,7,2.055204
-6,5,2.058511
-13,9,2.064205
-4,5,2.067433
-13,9,2.073003
-8,7,2.170526
-11,7,2.175644
-5,6,2.179852
-6,6,2.184016
-5,6,2.188176
-7,6,2.19245
-7,6,2.196608
-15,9,2.202698
-13,8,2.208132
-1,6,2.212629
-10,7,2.217428
-2,5,2.22095
-7,7,2.225892
-5,5,2.229403
-3,5,2.23292
-6,7,2.2377
-4,5,2.241204
-9,7,2.246184
-4,6,2.250319
-7,5,2.253817
-18,11,2.261338
-4,6,2.265474
-7,6,2.26961
-3,5,2.273127
-9,7,2.278089
-20,10,2.284865
-2,5,2.288378
-13,8,2.294127
-19,11,2.301785
-3,5,2.305669
-18,10,2.313069
-7,5,2.31712
0,5,2.32063
-3,5,2.324203
-18,9,2.3311
-10,6,2.335415
-8,7,2.340216
-1,5,2.343912
-5,6,2.348833
-9,7,2.353649
-6,5,2.357154
-10,6,2.361526
-22,13,2.37047
-17,10,2.376832
-4,5,2.380491
-9,7,2.384921
-13,7,2.389378
-17,10,2.396123
-4,5,2.399559
-6,6,2.403467
0,5,2.406715
-14,8,2.41206
-18,10,2.418492
-10,6,2.423152
1,5,2.426599
-6,6,2.430515
-6,5,2.433792
-8,6,2.437647
-38,16,2.447598
-4,5,2.450857
-6,6,2.454717
-15,7,2.459267
-11,8,2.464726
-4,6,2.468582
-8,6,2.472391
-7,5,2.475692
-1,5,2.47893
-6,5,2.482571
-5,5,2.485822
-7,5,2.4891
-4,5,2.492482
-9,6,2.496384
-1,5,2.499595
-5,5,2.502914
-6,6,2.506819
-6,5,2.510121
-8,6,2.514037
-9,7,2.518703
-12,8,2.621742
-5,6,2.626303
-4,6,2.630898
-2,5,2.634566
-5,5,2.638653
-3,5,2.642335
-7,6,2.646861
-4,7,2.652344
-10,7,2.657441
-4,5,2.661295
-17,10,2.669067
-14,9,2.675421
-5,6,2.680205
-2,6,2.685076
-8,6,2.689399
-2,5,2.693734
0,5,2.698572
-9,6,2.703059
-4,5,2.706809
-3,5,2.710636
-3,5,2.714393
-7,5,2.718186
-9,6,2.722562
-6,5,2.726779
-8,7,2.732017
-8,6,2.736321
-7,6,2.740483
-4,6,2.744914
-7,6,2.749531
-6,6,2.753897
-5,6,2.758047
-5,5,2.76183
-5,5,2.765736
-7,7,2.770544
-2,5,2.774136
-5,6,2.778542
-5,5,2.78237
-1,5,2.785889
-2,5,2.789392
-13,6,2.793805
-10,7,2.798967
-4,5,2.80247
0,5,2.805969
-11,7,2.811074
-8,6,2.815476
-10,7,2.820024
-6,5,2.823254
0,5,2.82671
-6,8,2.832134
-5,5,2.835359
-10,7,2.839815
-1,5,2.843175
-1,5,2.846548
-6,7,2.851118
-3,5,2.854441
-3,5,2.8577
-6,5,2.861191
-33,14,2.870085
1,5,2.873391
-2,5,2.876846
-3,5,2.880213
-6,6,2.88428
-2,5,2.887493
-5,5,2.890835
-8,6,2.896074
-5,5,2.899538
-3,5,2.902914
-3,5,2.90622
-2,5,2.909624
-7,7,2.914181
-11,7,2.918691
-9,6,2.922636
-8,8,2.927931
-5,5,2.93123
-5,6,2.935182
0,5,2.938495
-4,5,2.941818
-8,6,2.945814
-4,5,2.949257
-2,5,2.953711
-15,8,2.958904
0,5,2.962395
-6,6,2.966345
-2,6,2.970304
