#{"t_start": 1660921098.7441614, "env_id": null}
r,l,t
-28,11,0.017073
-7,6,0.022492
-9,6,0.027589
-14,9,0.035386
-11,6,0.040625
-30,12,0.050626
-26,11,0.060036
-18,10,0.068658
-17,10,0.07698
-8,7,0.083039
-47,19,0.099196
-22,10,0.107583
-24,14,0.119188
-11,7,0.125201
-6,6,0.130273
-9,7,0.136409
-19,10,0.145058
-15,9,0.15251
-32,14,0.164208
-10,8,0.171034
-21,11,0.180272
-30,12,0.190445
-20,12,0.200785
-36,14,0.212783
-10,6,0.217863
-10,6,0.223088
-21,10,0.303787
-21,12,0.313952
-7,5,0.318454
-23,14,0.330724
-13,8,0.337745
-20,9,0.34526
-8,5,0.349792
-20,12,0.359998
-39,17,0.374402
-30,13,0.385281
-23,11,0.394577
-11,6,0.399745
-9,6,0.405078
-14,9,0.41281
-17,10,0.421203
-9,6,0.426523
-15,10,0.43489
-11,7,0.44103
-13,10,0.449481
-24,11,0.45869
-8,6,0.464012
-11,7,0.470226
-22,10,0.478992
-22,12,0.488965
-20,9,0.496809
-15,8,0.503587
-13,8,0.510385
-6,6,0.515698
-39,15,0.600385
-17,8,0.607238
-16,8,0.614397
-26,11,0.623582
-39,15,0.636104
-21,10,0.644488
-18,9,0.65231
-16,8,0.659203
-10,7,0.66519
-27,13,0.676077
-21,11,0.685299
-13,9,0.692898
-10,8,0.699828
-21,9,0.707629
-29,13,0.718345
-22,10,0.726935
-5,6,0.731954
-6,6,0.737219
-29,14,0.749011
-21,11,0.75804
-8,6,0.763297
-8,7,0.769369
-19,8,0.776333
-20,11,0.785847
-10,8,0.792658
-29,12,0.803031
-17,9,0.883068
-12,8,0.890175
-28,12,0.900278
-17,10,0.908774
-9,7,0.9149
-19,10,0.923655
-18,12,0.933629
-15,9,0.941351
-9,8,0.948082
-10,8,0.955086
-24,11,0.964216
-10,7,0.970227
-8,6,0.975557
-30,13,0.986343
-29,13,0.997344
-14,7,1.003186
-11,7,1.009406
-4,5,1.013916
-4,5,1.018399
-4,5,1.022861
-14,8,1.029827
-32,13,1.040562
-9,5,1.044993
-7,8,1.051924
-34,15,1.064576
-11,9,1.072103
-20,9,1.079806
-13,7,1.085919
-13,8,1.092888
-15,9,1.172161
-31,13,1.18341
-9,6,1.188529
-9,7,1.194517
-7,5,1.19905
-5,7,1.205069
-20,10,1.21384
-13,8,1.220945
-11,8,1.227656
-26,11,1.237183
-9,9,1.245028
-26,12,1.255437
-19,11,1.264569
-23,12,1.274775
-17,10,1.283095
-14,8,1.290124
-13,7,1.296324
-11,8,1.303244
-5,6,1.308297
-14,8,1.315205
-19,10,1.323642
-33,13,1.334675
-9,5,1.33918
-11,7,1.345356
-6,5,1.349673
-13,8,1.356528
-31,13,1.3675
-20,9,1.375143
-8,7,1.38137
-28,12,1.463325
-20,9,1.471128
-12,8,1.478082
-13,8,1.484864
-11,7,1.490777
-10,6,1.496082
-27,11,1.505326
-19,10,1.513874
-13,7,1.51992
-19,10,1.528366
-18,9,1.536101
-13,7,1.542017
-9,6,1.54722
-16,10,1.555681
-9,6,1.560763
-19,9,1.568522
-10,6,1.573787
