#{"t_start": 1660921301.393339, "env_id": null}
r,l,t
-20,11,0.045608
-28,12,0.082241
-20,9,0.116526
-21,9,0.176955
-10,7,0.183157
-3,6,0.215057
-28,12,0.278076
-11,7,0.310852
-14,8,0.343911
-15,7,0.350166
-6,6,0.38173
-10,8,0.414962
-9,7,0.44741
-5,6,0.478912
-17,11,0.514888
-35,16,0.581532
-5,6,0.613829
-4,5,0.644944
-7,6,0.650136
-13,8,0.683476
-5,6,0.715789
-44,18,0.783825
-12,7,0.816353
-495,136,1.401779
-6,6,1.434964
-10,6,1.466543
-38,15,1.532212
-10,7,1.538309
-11,8,1.572187
-8,6,1.603834
-6,6,1.635326
-4,7,1.667803
-8,7,1.700302
-5,6,1.705492
-6,6,1.736901
-12,9,1.770768
-17,9,1.805221
-7,8,1.839061
-13,9,1.899752
-8,8,1.932977
-8,7,1.939127
-2,6,1.970742
-5,9,2.006656
-4,6,2.038526
-8,7,2.070938
-2,6,2.102799
-2,6,2.108072
1,5,2.140038
-3,6,2.171753
-5,6,2.204907
-5,5,2.209371
-1,5,2.240408
-5,6,2.272072
0,5,2.276775
-3,6,2.308825
-2,7,2.341326
0,5,2.345837
0,5,2.377019
-3,6,2.409694
0,5,2.414324
-1,6,2.446924
-3,6,2.479801
1,5,2.510633
-2,7,2.516829
1,5,2.547569
1,5,2.579802
-3,7,2.61292
2,5,2.617383
-1,6,2.648973
-1,6,2.681006
-70,30,2.792698
3,5,2.825075
-1,5,2.855741
1,5,2.860373
-1,5,2.890948
1,5,2.921664
2,6,2.927208
-1,5,2.958052
1,5,2.990543
-15,14,3.03021
3,5,3.061053
-1,6,3.092765
-99,43,3.271253
-5,8,3.304715
1,6,3.336699
-11,11,3.37332
-53,23,3.474604
-1,6,3.506405
-161,57,3.740521
4,5,3.773129
-515,287,4.970822
-160,158,5.685954
-584,584,8.157281
