#{"t_start": 1660921518.0345263, "env_id": null}
r,l,t
-70,25,0.029531
-23,11,0.038786
-25,11,0.048163
-13,8,0.05498
-18,11,0.064629
-11,6,0.069973
-13,8,0.077035
-42,18,0.092031
-21,10,0.100553
-23,12,0.111027
-20,12,0.192104
-9,8,0.198969
-21,11,0.208406
-14,7,0.21454
-8,6,0.219838
-24,11,0.22915
-14,9,0.236753
-21,11,0.246073
-16,11,0.255383
-7,6,0.260834
-29,14,0.272433
-21,12,0.282612
-31,14,0.294281
-15,8,0.372466
-25,10,0.38108
-24,12,0.391391
-13,9,0.399133
-12,7,0.405298
-19,11,0.414601
-12,8,0.421763
-16,9,0.429406
-12,9,0.437224
-9,7,0.443337
-17,9,0.451
-22,10,0.459926
-6,6,0.465296
-18,7,0.471535
-18,12,0.553468
-5,5,0.558066
-35,15,0.570884
-36,13,0.58215
-18,9,0.590023
-9,7,0.59619
-14,7,0.602378
-35,13,0.613672
-4,6,0.618999
-5,5,0.623649
-16,7,0.629988
-15,9,0.637496
-6,5,0.642024
-10,6,0.647388
-11,7,0.653383
-12,9,0.661344
-9,6,0.738596
-21,9,0.746515
-9,6,0.751652
-9,7,0.757761
-20,10,0.766348
-8,5,0.770703
-9,6,0.776001
-8,6,0.781241
-16,9,0.789154
-10,6,0.79435
-15,8,0.801059
-10,6,0.80651
-6,6,0.811816
-17,8,0.818495
-6,5,0.823003
-10,8,0.829969
-6,7,0.835936
-3,6,0.841305
-4,5,0.845834
-5,6,0.921991
-13,8,0.928824
-7,6,0.934017
-11,6,0.939385
-7,5,0.94383
-8,5,0.94822
-23,10,0.956722
-10,5,0.961141
-5,5,0.965564
-8,5,0.969894
-5,5,0.974276
-5,5,0.978694
-22,9,0.986344
-9,8,0.993212
-5,5,0.997571
-4,5,1.001992
-9,6,1.007284
-10,7,1.013509
-14,7,1.019567
-8,7,1.025689
-9,7,1.102546
-4,5,1.10713
-10,7,1.113124
-7,6,1.118399
-4,5,1.122886
-9,7,1.128989
-7,6,1.134197
-11,7,1.140448
-9,5,1.144963
-13,8,1.151865
-17,9,1.159642
-6,5,1.164051
-7,6,1.169098
-8,6,1.174666
-9,7,1.180849
-11,7,1.186734
-12,8,1.193785
-3,5,1.198261
-6,6,1.203577
-5,5,1.208097
-4,5,1.2126
-16,8,1.291125
-12,7,1.297299
-7,6,1.302463
-5,5,1.306959
-6,5,1.311499
-12,7,1.317657
-5,5,1.322137
-4,5,1.32666
-5,5,1.331172
-4,5,1.335717
-5,5,1.340306
-4,5,1.344724
-8,6,1.349873
-5,5,1.354413
-7,6,1.359897
-11,7,1.366179
-8,5,1.370737
-7,6,1.37904
-8,6,1.384072
-2,5,1.388577
-6,6,1.393958
-3,5,1.398481
-4,5,1.473847
-4,5,1.478287
-6,5,1.48263
-2,5,1.486997
-10,7,1.493193
-8,6,1.498395
-3,5,1.502953
-3,5,1.507267
-16,7,1.513349
-6,5,1.51789
-2,6,1.523214
-7,6,1.528341
-3,5,1.532773
-1,5,1.537224
-5,5,1.541603
-4,6,1.546706
-4,5,1.551211
-7,6,1.556553
-2,5,1.5609
-4,5,1.565285
-4,5,1.569892
-11,8,1.576777
-9,7,1.58258
-8,8,1.660938
-7,7,1.666989
-2,5,1.671446
-7,7,1.677661
-2,5,1.682173
-7,7,1.688308
-1,5,1.692899
-3,5,1.697455
1,5,1.701998
-4,5,1.706288
-8,6,1.711489
-1,5,1.715992
-8,6,1.721149
-10,7,1.727077
-4,5,1.731561
-4,5,1.736097
-5,5,1.740474
-3,5,1.74499
-2,5,1.749552
-2,5,1.754092
-2,5,1.758621
-14,7,1.764849
2,5,1.769409
-4,6,1.846813
-5,5,1.851317
-10,7,1.857511
-3,5,1.862066
-4,5,1.866621
-3,6,1.871947
-4,5,1.876306
-3,5,1.880503
-2,6,1.88706
-7,5,1.891484
-11,7,1.897459
-2,5,1.901905
-1,5,1.906335
-1,5,1.910768
-4,5,1.915281
-2,5,1.919802
-4,5,1.924265
-10,7,1.930216
-2,5,1.934482
-5,7,1.940684
0,5,1.94503
-3,5,1.949273
-4,6,1.95442
0,5,2.030099
0,5,2.03455
-4,6,2.039893
-5,6,2.045097
0,5,2.049536
-2,5,2.053967
-1,6,2.059309
-4,5,2.063767
-2,5,2.068324
-5,5,2.072749
3,5,2.077144
-3,5,2.081717
-2,5,2.086145
0,5,2.090799
-5,6,2.096159
0,5,2.100786
-7,5,2.105314
2,5,2.109893
-2,5,2.114484
-2,5,2.118836
-1,5,2.123144
-1,5,2.127654
-6,7,2.133871
1,5,2.138373
-1,5,2.213927
-1,5,2.218467
0,5,2.222982
0,5,2.227256
-1,5,2.231559
-3,6,2.236763
0,5,2.241174
-1,5,2.245619
-3,5,2.250136
-1,5,2.254611
0,5,2.258902
-5,6,2.263972
-2,5,2.268237
-1,5,2.272582
-2,5,2.277097
-1,5,2.28152
-1,5,2.285959
-5,5,2.290361
2,6,2.295603
1,5,2.30003
-1,5,2.304466
1,5,2.308796
-1,5,2.313136
0,5,2.31748
2,5,2.321913
-1,5,2.397977
0,5,2.402257
2,5,2.406881
3,5,2.411404
-4,6,2.416677
-1,5,2.421096
1,5,2.425566
0,5,2.430035
0,5,2.434646
1,5,2.439131
0,5,2.443639
1,5,2.448088
1,5,2.452674
1,5,2.457192
3,5,2.461683
1,5,2.466245
-43,20,2.482846
2,5,2.48722
0,5,2.491718
1,5,2.496024
3,5,2.500405
-4,6,2.505743
2,5,2.510247
4,5,2.585323
2,5,2.58974
3,5,2.594215
1,5,2.598701
2,5,2.603265
2,5,2.607664
2,5,2.612105
2,5,2.616359
4,5,2.620772
-3,7,2.626902
-6,7,2.632838
3,5,2.637163
0,6,2.642425
1,5,2.646839
3,5,2.651387
-4,7,2.657515
4,5,2.662038
0,6,2.667392
1,5,2.671828
2,5,2.676158
3,5,2.680452
4,5,2.684937
0,5,2.68933
2,5,2.693671
3,5,2.768576
3,5,2.773
1,5,2.777498
0,6,2.782911
-21,13,2.793982
-3,7,2.800074
1,5,2.804588
1,5,2.809052
0,5,2.813412
-1,5,2.817864
-5,5,2.822268
-1,5,2.826753
2,5,2.831086
3,5,2.835396
0,5,2.839899
1,5,2.844335
2,5,2.848596
3,5,2.852869
1,5,2.857377
2,5,2.861961
1,5,2.866318
2,5,2.870608
2,5,2.87501
2,5,2.950331
2,5,2.954833
0,5,2.959394
3,5,2.963768
-14,10,2.972119
0,5,2.976646
2,5,2.981107
0,6,2.986599
2,5,2.991304
4,5,2.99595
1,5,3.000584
-1,5,3.005037
1,5,3.00958
2,5,3.014127
2,5,3.018643
-4,6,3.02399
5,5,3.028325
3,5,3.03262
1,5,3.037133
1,5,3.041609
2,5,3.046098
1,5,3.050561
3,5,3.055178
1,5,3.05969
3,5,3.135473
3,5,3.140001
2,5,3.144539
-1,6,3.149838
4,5,3.154162
0,5,3.158546
3,5,3.162987
2,5,3.167495
1,5,3.171982
1,5,3.176568
2,5,3.180865
-1,5,3.185139
2,5,3.189657
2,5,3.194185
1,5,3.19868
1,5,3.203279
2,5,3.207647
3,5,3.212074
3,5,3.216665
3,5,3.221306
3,5,3.225558
4,5,3.229898
4,5,3.234439
4,5,3.23897
-5,7,3.24512
5,5,3.321551
3,5,3.326075
3,5,3.330597
4,5,3.335096
3,5,3.339569
-2,6,3.344663
2,5,3.349044
2,5,3.353436
5,5,3.357877
3,5,3.362374
3,5,3.366874
3,5,3.371311
3,5,3.375814
3,5,3.380152
3,5,3.384476
2,5,3.388949
2,5,3.393399
4,5,3.397792
4,5,3.402163
5,5,3.406656
-1,6,3.411931
4,5,3.416199
5,5,3.420516
3,6,3.425827
3,5,3.430225
3,5,3.505681
0,5,3.510138
1,5,3.514684
-1,5,3.519183
3,5,3.523774
3,5,3.528208
1,6,3.533321
2,5,3.537714
3,5,3.542231
3,5,3.546649
3,5,3.551178
3,5,3.55561
4,5,3.559956
5,5,3.564416
2,5,3.568776
3,5,3.573333
4,5,3.577859
2,5,3.58239
4,5,3.586646
5,5,3.590988
5,5,3.595507
4,5,3.599993
5,5,3.604618
4,5,3.609166
1,5,3.613438
2,5,3.617813
3,5,3.693696
2,5,3.698357
2,6,3.70357
4,5,3.70799
4,5,3.712617
3,5,3.717199
5,5,3.721658
5,5,3.726229
2,6,3.731525
2,6,3.736762
5,5,3.74129
2,5,3.745802
4,5,3.750414
4,5,3.754833
3,5,3.75935
2,5,3.763797
4,5,3.768083
5,5,3.772431
5,5,3.777062
3,5,3.781593
2,5,3.785744
5,5,3.790202
5,5,3.794719
4,5,3.799246
3,5,3.803551
2,5,3.87827
3,5,3.882819
1,5,3.88738
-45,18,3.902322
3,5,3.906927
3,5,3.911402
-27,13,3.922796
5,5,3.92714
5,5,3.931561
5,5,3.936055
3,5,3.940609
5,5,3.944969
1,5,3.949357
3,5,3.953915
3,5,3.958483
0,5,3.962988
4,5,3.967351
5,5,3.971879
5,5,3.976466
5,5,3.980874
4,5,3.9853
4,5,4.060522
4,5,4.064991
4,5,4.069417
4,5,4.073789
3,5,4.078173
3,5,4.082507
3,5,4.086926
4,5,4.091417
4,5,4.095936
4,5,4.100424
3,5,4.104936
4,5,4.109244
2,6,4.11449
5,5,4.118982
-2,6,4.12421
1,5,4.12856
5,5,4.132994
5,5,4.137434
5,5,4.141781
3,5,4.146109
5,5,4.150486
4,5,4.155031
3,5,4.159446
3,5,4.163764
3,5,4.168192
4,5,4.243371
4,5,4.247717
3,5,4.252175
4,5,4.256519
5,5,4.260815
5,5,4.265162
4,5,4.269664
4,5,4.274165
2,6,4.279484
4,5,4.283993
4,5,4.288222
4,5,4.292492
2,5,4.296923
3,5,4.301369
4,5,4.305762
5,5,4.310138
-255,78,4.444612
3,5,4.449138
5,5,4.453609
5,5,4.458115
5,5,4.462567
5,5,4.466902
4,5,4.471216
3,5,4.475607
3,5,4.480011
3,5,4.484368
4,5,4.488505
4,5,4.492922
5,5,4.497377
3,5,4.501716
4,5,4.506035
4,5,4.51044
5,5,4.514888
5,5,4.519279
4,5,4.523736
2,5,4.528145
5,5,4.532642
4,5,4.611135
5,5,4.615632
5,5,4.620016
5,5,4.624443
5,5,4.628917
4,5,4.633412
4,5,4.637741
5,5,4.64203
5,5,4.6465
4,5,4.650973
3,5,4.655529
5,5,4.660028
5,5,4.664441
4,5,4.668723
5,5,4.673145
5,5,4.677664
-1,6,4.682948
4,5,4.687181
4,5,4.691667
5,5,4.696207
4,5,4.70075
4,5,4.705211
0,5,4.709662
2,5,4.714153
4,5,4.718694
4,5,4.793687
4,5,4.798102
4,5,4.802415
5,5,4.806706
5,5,4.811097
5,5,4.815483
5,5,4.819805
5,5,4.824244
4,5,4.828642
4,5,4.833059
4,5,4.837405
5,5,4.841909
5,5,4.846212
5,5,4.850463
3,5,4.854803
5,5,4.859221
4,5,4.863796
5,5,4.868258
5,5,4.872613
4,5,4.877057
4,5,4.881573
5,5,4.886062
5,5,4.890478
5,5,4.894934
5,5,4.899438
-442,128,5.076549
4,5,5.081045
2,5,5.157676
1,5,5.162097
1,5,5.166559
2,5,5.170955
-1,5,5.17535
1,5,5.179659
2,5,5.183999
2,5,5.188298
2,5,5.192729
2,5,5.19691
0,5,5.201193
4,5,5.205669
1,5,5.210142
3,5,5.21466
1,5,5.219115
2,5,5.223519
2,5,5.227989
2,5,5.232492
2,5,5.23695
3,5,5.241412
4,5,5.245901
1,5,5.250352
2,5,5.254849
4,5,5.259206
1,5,5.263485
2,5,5.339406
5,5,5.343754
3,5,5.348166
4,5,5.352672
3,5,5.357069
-301,105,5.443517
4,5,5.519736
2,6,5.525091
2,5,5.529522
3,5,5.533982
4,5,5.538474
2,5,5.542975
3,5,5.547447
2,5,5.551983
3,5,5.556429
4,5,5.560897
3,5,5.565157
3,5,5.569319
4,5,5.573773
4,5,5.578228
4,5,5.582632
4,5,5.58713
3,5,5.59163
3,5,5.596094
3,5,5.600599
1,6,5.605747
3,5,5.610172
5,5,5.614417
3,5,5.618869
5,5,5.623289
3,5,5.627636
5,5,5.703012
5,5,5.707392
4,5,5.711795
5,5,5.716182
5,5,5.720694
4,5,5.725099
4,5,5.729507
5,5,5.734035
4,5,5.738466
-41,17,5.752956
3,5,5.757259
3,5,5.761579
3,5,5.766075
5,5,5.770409
4,5,5.774715
5,5,5.779162
-80,26,5.80106
3,5,5.805365
5,5,5.809921
3,5,5.887396
3,5,5.891933
5,5,5.896383
5,5,5.900603
4,5,5.904902
4,5,5.909301
4,5,5.913751
3,5,5.918072
4,5,5.922344
5,5,5.926738
3,5,5.93117
4,5,5.935552
4,5,5.939829
5,5,5.944198
4,5,5.948639
4,5,5.952943
4,5,5.9572
5,5,5.961656
3,5,5.966156
3,5,5.970558
4,5,5.975057
4,5,5.979522
4,5,5.983947
4,5,5.988403
4,5,5.992895
5,5,5.997277
5,5,6.07265
4,5,6.077049
4,5,6.081364
3,5,6.085796
1,5,6.090315
5,5,6.094787
5,5,6.099266
3,5,6.10357
3,5,6.10785
4,5,6.112158
4,5,6.116584
-135,40,6.149476
2,6,6.154653
3,5,6.159023
3,5,6.163267
4,5,6.167797
3,5,6.172219
4,5,6.176684
3,5,6.252059
4,5,6.256372
5,5,6.260934
3,5,6.265288
5,5,6.269768
3,6,6.274886
4,5,6.279246
4,5,6.283712
4,5,6.288213
5,5,6.292789
5,5,6.29723
3,5,6.301668
-5,8,6.308748
4,5,6.313024
4,5,6.317408
4,5,6.321811
1,6,6.327086
3,5,6.331565
4,5,6.336114
3,5,6.340755
4,5,6.345166
4,5,6.349495
4,5,6.353783
3,5,6.358231
3,5,6.36277
4,5,6.438565
4,5,6.443093
5,5,6.450626
5,5,6.455025
4,5,6.459358
1,6,6.46465
3,5,6.469122
3,5,6.473673
1,5,6.478237
5,5,6.482718
3,5,6.487195
4,5,6.491739
5,5,6.496235
4,5,6.500643
5,5,6.504856
4,5,6.509266
4,5,6.513811
4,5,6.518227
5,5,6.522502
3,5,6.526898
4,5,6.531381
2,5,6.535788
3,5,6.539984
5,5,6.544434
5,5,6.549004
5,5,6.624683
2,5,6.629251
4,5,6.633796
5,5,6.638388
2,5,6.642924
5,5,6.647422
4,5,6.651991
3,5,6.656556
3,5,6.660927
4,5,6.665296
5,5,6.66969
4,5,6.674159
3,5,6.678745
5,5,6.683312
3,5,6.687755
4,5,6.692308
4,5,6.696988
5,5,6.701506
4,5,6.706084
4,5,6.710626
4,5,6.715009
3,5,6.719342
4,5,6.723752
3,5,6.728217
3,5,6.732754
4,5,6.737087
5,5,6.815234
3,5,6.819593
5,5,6.823952
2,6,6.829289
4,5,6.833711
5,5,6.838197
4,5,6.842687
5,5,6.847172
4,5,6.851686
5,5,6.856142
3,5,6.86067
5,5,6.865131
5,5,6.869663
5,5,6.874214
5,5,6.878644
4,5,6.883178
5,5,6.887681
0,6,6.893023
4,5,6.897573
4,5,6.90206
3,5,6.906411
5,5,6.910907
5,5,6.915222
3,5,6.919519
5,5,6.924042
4,5,7.000291
5,5,7.0048
4,5,7.009275
5,5,7.013691
5,5,7.018218
4,5,7.022481
4,5,7.026753
4,5,7.031238
4,5,7.035703
4,5,7.040246
5,5,7.044811
3,5,7.049223
5,5,7.053539
5,5,7.057851
4,5,7.062389
4,5,7.066809
5,5,7.071172
3,5,7.075559
4,5,7.080093
2,6,7.085259
5,5,7.089608
4,5,7.094183
4,5,7.098649
5,5,7.103047
5,5,7.107268
5,5,7.18681
4,5,7.191301
5,5,7.19565
3,5,7.199957
4,5,7.204355
3,5,7.208725
4,5,7.213102
5,5,7.217434
3,5,7.221899
5,5,7.226305
3,5,7.230857
5,5,7.23536
5,5,7.239649
4,5,7.243917
4,5,7.248342
4,5,7.252789
5,5,7.257295
3,5,7.261785
4,5,7.266076
4,5,7.270302
4,5,7.274676
4,5,7.279141
5,5,7.283588
5,5,7.288122
5,5,7.292524
4,5,7.296851
5,5,7.380434
5,5,7.384949
3,5,7.389362
5,5,7.393651
5,5,7.397995
5,5,7.402454
5,5,7.406893
5,5,7.411288
5,5,7.415706
4,5,7.420173
4,5,7.424612
5,5,7.428898
3,5,7.433144
4,5,7.437696
5,5,7.442196
5,5,7.446677
5,5,7.45115
5,5,7.455742
5,5,7.460301
5,5,7.46482
4,5,7.469333
5,5,7.473603
4,5,7.477912
4,5,7.482382
5,5,7.486899
5,5,7.573034
5,5,7.577373
5,5,7.581846
5,5,7.586372
5,5,7.590526
5,5,7.5948
4,5,7.599385
5,5,7.603811
5,5,7.608301
5,5,7.61277
5,5,7.617283
5,5,7.621635
4,6,7.626867
3,5,7.631305
5,5,7.635727
4,5,7.640249
-1,7,7.646384
5,5,7.65088
5,5,7.655425
4,5,7.659907
5,5,7.664444
4,5,7.668936
5,5,7.673415
5,5,7.677985
5,5,7.682455
5,5,7.771042
5,5,7.775514
4,5,7.779858
5,5,7.78417
5,5,7.788656
5,5,7.793163
4,5,7.797645
5,5,7.802182
5,5,7.806715
5,5,7.811298
5,5,7.815756
5,5,7.820255
5,5,7.824848
5,5,7.829442
5,5,7.833771
5,5,7.83806
5,5,7.842406
5,5,7.846844
5,5,7.851167
5,5,7.855501
5,5,7.860007
5,5,7.8644
5,5,7.868776
5,5,7.872997
5,5,7.877431
4,5,7.881921
5,5,7.972326
5,5,7.976713
3,5,7.981264
5,5,7.985698
4,5,7.990003
3,6,7.995277
5,5,7.999727
5,5,8.004096
5,5,8.008327
5,5,8.012649
5,5,8.017062
5,5,8.021565
3,6,8.026925
3,5,8.031457
4,5,8.03592
3,5,8.040304
5,5,8.044724
3,6,8.050089
4,5,8.05455
5,5,8.05905
5,5,8.063515
4,5,8.067848
5,5,8.07213
5,5,8.076629
5,5,8.081125
5,5,8.172358
5,5,8.176868
4,5,8.181323
5,5,8.185688
5,5,8.189969
4,5,8.194382
4,5,8.198813
5,5,8.203183
5,5,8.207411
5,5,8.211879
5,5,8.216331
5,5,8.22084
5,5,8.225351
5,5,8.229732
5,5,8.23403
5,5,8.238473
5,5,8.242934
4,5,8.247448
5,5,8.251964
5,5,8.256576
4,5,8.261069
5,5,8.265533
5,5,8.270062
5,5,8.274599
4,5,8.279094
5,5,8.283639
4,5,8.374025
4,5,8.378521
4,5,8.383125
4,5,8.387595
5,5,8.391962
5,5,8.39633
4,5,8.400849
4,5,8.405392
4,5,8.40995
5,5,8.414415
4,5,8.41875
5,5,8.423024
4,5,8.427619
3,5,8.432178
4,5,8.436692
4,5,8.441272
5,5,8.445803
5,5,8.450332
4,5,8.454876
3,5,8.45938
5,5,8.463889
4,5,8.468441
4,5,8.472918
4,5,8.477394
4,5,8.481878
5,5,8.572088
4,5,8.576588
5,5,8.580888
4,5,8.585208
4,5,8.589598
4,5,8.594181
5,5,8.59864
5,5,8.603154
5,5,8.607697
-526,238,8.979139
5,5,8.983805
4,5,8.98825
5,5,8.992641
4,5,8.996965
4,5,9.0014
3,5,9.00588
4,5,9.01035
5,5,9.014924
5,5,9.019358
5,5,9.023847
3,5,9.028258
5,5,9.03265
5,5,9.037091
3,5,9.041648
4,5,9.046148
4,5,9.050626
4,5,9.055084
4,5,9.059362
5,5,9.063701
5,5,9.068215
5,5,9.15875
3,5,9.163304
5,5,9.167612
5,5,9.172008
3,5,9.17648
5,5,9.180957
4,5,9.185495
-3,8,9.192543
5,5,9.19705
5,5,9.20157
-26,20,9.218504
4,5,9.223075
5,5,9.227487
5,5,9.231845
5,5,9.236313
5,5,9.240857
5,5,9.245214
5,5,9.249521
-81,48,9.376529
4,5,9.381105
5,5,9.385679
4,5,9.390021
2,5,9.394365
5,5,9.398831
4,5,9.40331
5,5,9.407722
5,5,9.412092
5,5,9.416508
4,5,9.420988
4,5,9.42548
3,5,9.429921
4,5,9.434404
4,5,9.438646
4,5,9.443018
5,5,9.447526
5,5,9.451896
4,5,9.456259
3,5,9.460683
4,5,9.465249
4,5,9.556546
4,5,9.561142
5,5,9.565676
5,5,9.569995
4,5,9.574306
5,5,9.578821
