#{"t_start": 1660922163.4114046, "env_id": null}
r,l,t
-70,25,0.043798
-23,11,0.058126
-25,11,0.07238
-13,8,0.082613
-18,11,0.094165
-11,6,0.099313
-13,8,0.106291
-42,18,0.12158
-21,10,0.130171
-23,12,0.140475
-11,9,0.148285
-22,11,0.157903
-18,9,0.165496
-34,13,0.176859
-28,12,0.187027
-6,6,0.192414
-16,10,0.201214
-16,8,0.208157
-11,8,0.214957
-27,14,0.22703
-3,5,0.23141
-32,13,0.242522
-29,13,0.253593
-20,9,0.26138
-12,7,0.267443
-19,11,0.276856
-22,11,0.286412
-18,10,0.295133
-20,11,0.304743
-13,8,0.311679
-21,10,0.320277
-29,12,0.330835
-4,5,0.335248
-10,7,0.341343
-31,13,0.352565
-15,7,0.358721
-15,8,0.365668
-13,7,0.37183
-14,9,0.379538
-34,16,0.393283
-19,10,0.402082
-14,8,0.408906
-13,9,0.416798
-29,12,0.426981
-29,12,0.437168
-9,7,0.443411
-15,9,0.451422
-45,19,0.467506
-11,7,0.473568
-14,8,0.591482
-34,19,0.607965
-15,8,0.615073
-20,10,0.623753
-4,5,0.628279
-8,7,0.634507
-19,9,0.642267
-16,9,0.651437
-11,8,0.658452
-15,9,0.666177
-23,13,0.677366
-7,6,0.682571
-31,12,0.692863
-18,9,0.700734
-2,6,0.706
-5,5,0.710525
-15,6,0.715759
-12,7,0.721911
-31,13,0.733149
-20,8,0.740296
-22,11,0.749708
-15,9,0.757629
-27,12,0.7682
-8,7,0.774384
-33,15,0.787219
-7,6,0.792705
-8,6,0.798187
-23,9,0.80619
-15,10,0.815099
-9,6,0.820569
-26,13,0.83168
-19,9,0.839584
-15,8,0.846723
-14,8,0.853838
-6,5,0.858388
-10,6,0.863845
-14,7,0.870242
-21,11,0.880059
-11,9,0.888038
-14,9,0.895674
-13,8,0.902748
-25,10,0.911356
-20,13,0.922624
-3,6,0.927958
-16,10,0.936706
-6,6,0.942205
-27,11,0.951906
-21,10,0.960474
-13,6,0.965979
-23,11,0.97543
-24,12,0.986006
-15,7,0.992054
-13,9,1.000017
-6,6,1.005468
