#{"t_start": 1660921451.238455, "env_id": null}
r,l,t
-28,11,0.017468
-7,6,0.022788
-9,6,0.0284
-14,9,0.036352
-11,6,0.041661
-29,12,0.051848
-26,11,0.061311
-18,10,0.069865
-17,10,0.07849
-8,7,0.084449
-47,19,0.100624
-22,10,0.109432
-23,14,0.121573
-11,7,0.127382
-6,6,0.132645
-9,7,0.13883
-19,10,0.147653
-15,9,0.15553
-31,14,0.167806
-10,8,0.174915
-21,11,0.184581
-29,12,0.194712
-20,12,0.205242
-35,14,0.217828
-9,6,0.223203
-10,6,0.228578
-18,10,0.237454
-10,7,0.243537
-38,16,0.257387
-8,7,0.263675
-26,12,0.273589
-21,10,0.282444
-19,12,0.292722
-16,9,0.300305
-8,6,0.305807
-12,8,0.312974
-14,8,0.320033
-19,9,0.327558
-18,10,0.336354
-10,7,0.342625
-22,12,0.353118
-20,9,0.360993
-49,21,0.378829
-20,9,0.386703
-14,8,0.393622
-15,9,0.401565
-21,9,0.409228
-30,15,0.422101
-16,7,0.42818
-20,9,0.436204
-18,10,0.444472
-19,8,0.451704
-32,14,0.463372
-17,8,0.470499
-32,15,0.483464
-32,12,0.493797
-13,8,0.500945
-8,7,0.506924
-19,9,0.514982
-12,7,0.520952
-12,8,0.527753
-34,13,0.539116
-29,13,0.550386
-24,11,0.559608
-22,10,0.568364
-21,10,0.576885
-32,15,0.589624
-33,16,0.603568
-14,7,0.609696
-24,11,0.619127
-8,8,0.626092
-19,9,0.633772
-41,17,0.648036
-18,10,0.656727
-21,12,0.666864
-23,10,0.675425
-18,9,0.683152
-32,13,0.694283
-21,11,0.703655
-14,8,0.710735
-30,13,0.722195
-13,7,0.728229
-5,5,0.732565
-42,17,0.746959
-37,16,0.760644
-20,9,0.768271
-24,12,0.778795
-19,10,0.787224
-15,8,0.794222
-15,8,0.80124
-28,13,0.813048
-17,9,0.820683
-8,6,0.826046
-15,10,0.835008
-27,11,0.844511
-20,10,0.853087
-10,7,0.859221
-21,11,0.868502
-21,9,0.876315
-23,12,0.886898
-6,8,0.89361
-10,9,2.57496
-14,8,2.581839
-11,7,2.587864
-2,6,2.59323
-20,13,2.604226
-10,7,2.610439
-38,17,2.6249
-35,18,2.6402
-14,8,2.647309
-24,13,2.658363
-3,5,2.662834
-11,8,2.669922
-13,9,2.67762
-9,7,2.683898
-8,10,2.692487
-8,7,2.698856
-24,11,2.708675
-9,8,2.715758
-11,6,2.720937
-6,7,2.727007
-6,6,2.732432
-43,22,2.751263
1,5,2.755611
-11,7,2.761701
-16,10,2.770322
-4,6,2.775467
-2,6,2.780921
-17,10,2.789552
-7,6,2.794691
-11,7,2.800937
-8,7,2.807003
-15,9,2.81478
-7,6,2.820098
-13,9,2.827759
-14,9,2.835655
-10,9,2.843618
-25,13,2.854947
-18,10,2.863863
-18,9,2.871532
-5,6,2.876767
-8,6,2.882093
-7,7,2.88813
-10,8,2.895033
-2,5,2.899606
-7,8,2.906758
-9,9,2.914569
-16,11,2.923962
-21,11,2.933138
-9,7,2.939239
-4,6,2.944581
-12,10,2.953426
-9,8,2.96032
-25,16,2.973953
-19,9,2.981882
-6,6,2.987103
-2,5,2.991293
-1,5,2.995865
-9,7,3.002093
-16,8,3.008835
-10,7,3.015063
-16,10,3.023744
-9,8,3.030542
0,5,3.035174
-23,10,3.043817
-7,7,3.049818
-18,10,3.058528
-14,8,3.065697
-3,6,3.070873
-20,11,3.080464
-4,7,3.086763
-8,7,3.092829
-22,12,3.103122
-16,9,3.110971
-4,5,3.115275
-11,8,3.12229
-4,6,3.127591
-13,9,3.135734
-8,7,3.141945
-11,8,3.148932
-37,18,3.16436
-16,9,3.172012
-2,5,3.176456
-9,8,3.183545
-5,7,3.189833
-7,7,3.195814
-8,8,3.202662
-27,12,3.21326
-10,8,3.22027
-10,6,3.225384
-23,15,3.238374
-7,7,3.244165
-12,8,3.251199
-20,13,3.262559
-12,9,3.270513
-4,7,3.27678
-10,9,3.284824
-3,5,3.289346
-12,8,3.296429
-4,7,3.302743
-8,7,3.308955
-3,6,3.314376
-4,5,3.319014
-9,6,3.324441
-20,11,3.334145
-7,7,3.340259
-13,8,3.347203
-11,8,3.354228
-13,7,3.360077
-1,5,3.364605
-8,6,3.370012
-12,9,3.377912
-16,10,3.3864
-33,17,3.400859
-18,9,3.408381
