#{"t_start": 1660921441.817535, "env_id": null}
r,l,t
-24,11,0.012513
-36,15,0.022966
-7,6,0.027024
-25,13,0.035592
-22,12,0.043336
-49,20,0.056162
-33,13,0.064529
-21,12,0.072372
-31,12,0.080101
-31,12,0.087969
-9,6,0.091974
-10,7,0.096599
-16,8,0.101958
-36,16,0.112167
-27,12,0.120055
-35,15,0.12967
-10,8,0.135157
-13,8,0.140446
-12,7,0.14505
-46,18,0.156636
-8,9,0.162483
-32,13,0.170949
-18,10,0.214964
-12,6,0.219157
-33,14,0.228247
-71,25,0.244253
-14,8,0.249547
-9,6,0.253715
-27,12,0.261467
-18,7,0.266099
-31,12,0.27401
-26,12,0.281767
-11,7,0.286542
-21,9,0.292443
-23,12,0.30022
-3,5,0.303742
-21,9,0.309623
-19,10,0.316134
-38,15,0.325913
-28,12,0.333669
-14,7,0.338528
-60,22,0.352658
-18,9,0.358545
-7,6,0.36256
-17,9,0.368605
-61,23,0.422519
-13,6,0.426605
-27,14,0.435758
-31,13,0.44414
-17,11,0.451374
-23,11,0.458519
-12,7,0.46317
-5,5,0.466548
-31,16,0.476912
-26,12,0.48475
-24,12,0.492559
-20,10,0.499086
-26,12,0.506971
-31,15,0.516622
-18,9,0.522684
-15,9,0.528618
-11,7,0.533252
-16,10,0.540009
-27,12,0.547789
-20,10,0.554442
-26,13,0.56287
-19,9,0.568879
-20,10,0.575406
-14,9,0.581286
-6,6,0.585425
-6,5,0.630198
-16,9,0.636341
-9,8,0.641623
-18,9,0.647542
-23,10,0.654226
-28,13,0.66264
-34,17,0.673805
-30,14,0.682796
-7,8,0.688223
-23,14,0.697254
-13,9,0.703298
-6,6,0.707291
-11,8,0.712532
-29,13,0.721035
-43,17,0.731918
-12,9,0.738073
-13,7,0.742717
-27,12,0.750463
-28,13,0.75901
-25,14,0.768125
-14,8,0.773456
-19,10,0.779968
-25,11,0.787281
-16,10,0.793764
-17,11,0.841772
-7,7,0.846546
-32,14,0.855736
-21,10,0.862291
1,5,0.865698
-25,11,0.872982
-12,9,0.878884
-29,13,0.88747
-40,16,0.897744
-16,8,0.903187
-12,8,0.908467
-28,14,0.917507
-8,7,0.922313
-18,12,0.93011
-20,9,0.936286
-18,9,0.942505
-10,7,0.94717
-31,15,0.956943
-15,8,0.962227
-35,16,0.972676
-16,8,0.977949
-13,10,0.984443
-20,10,0.9911
-24,12,0.99886
-10,7,1.00369
-18,11,1.053808
-16,10,1.060378
-21,9,1.066292
-28,12,1.0742
-32,15,1.083863
-12,8,1.08931
-37,17,1.100155
-12,9,1.106188
-19,8,1.111448
-19,12,1.119459
-21,11,1.126904
-16,8,1.132192
-45,18,1.144231
-8,6,1.14826
-22,11,1.155572
-5,6,1.159595
-21,12,1.167364
-13,7,1.172185
-26,13,1.180586
-26,13,1.189135
-14,7,1.193779
-20,10,1.200279
-11,9,1.206732
-12,8,1.212016
-13,8,1.217286
-28,12,1.270566
-12,9,1.276516
-8,7,1.281156
-9,7,1.285972
-11,8,1.291243
-10,9,1.297245
-10,6,1.301269
-20,11,1.308582
-14,9,1.314491
0,5,1.317894
-35,13,1.326445
-9,7,1.33111
-14,10,1.337929
-17,9,1.343833
-9,7,1.348474
-25,10,1.355173
-17,8,1.360463
-13,8,1.365731
-25,10,1.372514
-19,10,1.379052
-10,7,1.383693
-16,8,1.389128
-24,12,1.396879
-15,9,1.402926
-22,12,1.410703
-30,12,1.418519
-18,9,1.424503
-12,8,1.429783
-14,8,1.479752
-17,10,1.48674
-11,10,1.493267
-24,11,1.500397
-16,9,1.506471
-28,13,1.514875
-9,6,1.519021
-14,8,1.524413
-5,6,1.528447
-11,9,1.534332
-18,9,1.540534
-17,9,1.546427
-40,17,1.557464
-38,17,1.568331
-26,12,1.576255
-26,11,1.583383
-12,6,1.587532
-12,7,1.592167
