#{"t_start": 1660921166.5869584, "env_id": null}
r,l,t
-11,7,0.009345
-19,12,0.01738
-13,8,0.023091
-20,9,0.029047
-19,8,0.034523
-17,7,0.039209
-29,13,0.047651
-12,8,0.053094
-27,12,0.060989
-28,13,0.069686
-19,10,0.076231
-23,11,0.083554
-37,14,0.092592
-16,7,0.09726
-26,11,0.104623
-23,11,0.111782
-12,8,0.117214
-27,10,0.123806
-12,8,0.1291
-13,7,0.133926
-22,10,0.140473
-47,19,0.152792
-15,8,0.158078
-42,18,0.169844
-19,11,0.177027
-30,13,0.185767
-15,9,0.191703
-21,12,0.199533
-14,8,0.204747
-17,8,0.20966
-23,10,0.215675
-20,11,0.222473
-25,10,0.228506
-21,9,0.234127
-28,12,0.241765
-10,8,0.246634
-49,19,0.258029
-20,9,0.263557
-27,14,0.272198
-20,10,0.278231
-14,8,0.283293
-18,10,0.289338
-10,7,0.293636
-15,8,0.29851
-8,6,0.302406
-39,16,0.311937
-11,7,0.316308
-16,9,0.321961
-8,6,0.325797
-17,9,0.331407
-23,10,0.435118
-25,10,0.44173
-16,8,0.447047
-17,9,0.453139
-9,6,0.457227
-18,9,0.46319
-30,13,0.471903
-25,12,0.47971
-12,9,0.485845
-7,6,0.489888
-23,10,0.496425
-6,5,0.499923
-27,13,0.508525
-11,7,0.513193
-7,7,0.518023
-12,9,0.523956
-11,6,0.527996
-20,9,0.534087
-7,6,0.538152
-19,8,0.543465
-12,10,0.550071
-4,5,0.553587
-14,8,0.558888
-8,6,0.562974
-19,10,0.56969
-13,8,0.574966
-14,10,0.581549
-18,8,0.587007
-18,10,0.593538
-5,6,0.597583
-12,7,0.602418
-28,13,0.610878
-15,6,0.614923
-2,5,0.6185
-22,11,0.62571
-24,11,0.632465
-11,9,0.638043
-15,9,0.643533
-10,7,0.647835
-26,11,0.654589
-4,7,0.658888
-30,13,0.666775
-24,10,0.673003
-20,11,0.679625
-20,10,0.685885
-20,9,0.691312
-25,9,0.69677
-15,8,0.701803
-28,14,0.710169
-20,12,0.717416
-32,13,0.725313
-31,12,0.732501
-20,9,0.738098
-14,9,0.743572
-4,6,0.7473
-23,10,0.753423
-28,12,0.760615
-16,9,0.876185
-6,7,0.880895
-21,10,0.88773
-4,6,0.891775
-5,6,0.89582
-7,6,0.899894
-13,8,0.905439
-6,7,0.910141
-19,10,0.916687
-18,11,0.924054
-29,12,0.93186
-15,9,0.937904
-10,8,0.943217
-14,8,0.948513
-4,5,0.952103
-10,8,0.957418
-13,8,0.962728
-17,8,0.968195
-17,10,0.974758
-19,11,0.981936
-14,8,0.987512
-10,6,0.991564
-8,5,0.99528
-33,12,1.003313
-22,11,1.010503
-9,7,1.015162
-42,22,1.029426
-10,6,1.033462
-12,9,1.039553
-11,7,1.044225
0,5,1.047629
-7,8,1.053051
-6,7,1.057726
-23,12,1.065536
-1,5,1.069066
-2,7,1.073399
-25,13,1.081192
-6,6,1.085087
-35,15,1.094024
-4,6,1.097757
-8,8,1.102743
-20,12,1.109954
-13,9,1.115738
-9,6,1.119641
-5,5,1.122807
-24,11,1.129519
-21,13,1.137409
-4,5,1.140598
-5,6,1.144345
-15,10,1.150456
-6,6,1.154235
-14,10,1.160287
-6,5,1.163444
-33,14,1.171886
-17,9,1.177357
-21,11,1.184177
-23,10,1.190247
-12,7,1.194555
-8,7,1.198855
-12,8,1.322816
-6,6,1.326916
-11,8,1.332248
-10,9,1.338382
-14,9,1.344306
-6,7,1.348986
-8,7,1.353846
-12,9,1.359896
-8,7,1.364586
-2,5,1.368193
-11,7,1.372874
-16,8,1.378181
-14,9,1.384238
-15,9,1.390258
-7,6,1.394299
-20,10,1.401047
-9,6,1.405142
-14,9,1.411071
-20,11,1.418414
-10,8,1.42373
-13,7,1.428411
-15,10,1.435133
-8,6,1.439424
-12,9,1.445377
-8,7,1.450056
-7,7,1.454914
-24,14,1.46392
-8,8,1.469515
-9,6,1.473566
-12,8,1.47887
-25,11,1.486274
-6,6,1.49032
-15,8,1.495609
-17,10,1.502338
-15,9,1.50825
-4,5,1.512179
-14,8,1.517586
-2,6,1.521315
-15,8,1.526295
-11,7,1.530597
-5,5,1.533742
-8,8,1.538796
-15,9,1.544244
-3,7,1.548556
-6,5,1.551898
-23,12,1.559168
-5,6,1.562893
-8,8,1.567975
-8,6,1.571735
-8,6,1.575478
1,5,1.578601
-33,16,1.588262
-6,6,1.591968
-19,10,1.597972
-8,7,1.602448
-15,8,1.607406
-15,10,1.613435
-18,10,1.619604
-16,8,1.624526
-23,12,1.631705
-6,7,1.636168
-2,5,1.639304
-8,7,1.643589
-29,15,1.65273
-6,7,1.778822
-8,6,1.782933
-7,6,1.787167
-9,6,1.791283
-7,6,1.795335
-11,9,1.801358
-5,5,1.804935
-7,5,1.808397
-11,6,1.81244
-19,9,1.818551
-14,9,1.824488
-7,6,1.828534
-4,6,1.832583
-10,8,1.838053
-9,7,1.842743
-5,5,1.84617
-14,9,1.852266
-19,10,1.858806
-9,8,1.864103
-6,6,1.868263
-5,6,1.872566
-6,7,1.877249
-8,7,1.881923
0,5,1.885545
-10,6,1.889602
-4,5,1.893026
-17,10,1.89957
-18,9,1.905719
-19,9,1.91175
-9,7,1.916424
-8,6,1.920645
-8,6,1.924855
-6,8,1.930201
-11,8,1.935643
-13,8,1.940947
-3,5,1.944367
-12,8,1.949671
-9,6,1.953867
-16,11,1.961026
-11,7,1.966201
-8,7,1.971053
-12,7,1.975359
-6,6,1.979095
-6,7,1.983462
-7,7,1.988176
-9,7,1.992517
-4,5,1.995671
-4,6,1.999402
-9,8,2.004534
-5,6,2.008416
-4,5,2.011569
-10,8,2.016443
-9,6,2.020343
-4,5,2.023525
-11,8,2.028436
-7,7,2.032765
-5,6,2.036606
-14,8,2.041853
-6,6,2.045599
-2,6,2.049336
1,5,2.052637
-6,7,2.056965
-15,8,2.061967
-8,8,2.066875
-5,5,2.070334
-5,6,2.074066
-9,7,2.07839
-19,14,2.087017
-15,8,2.09196
-7,7,2.096259
-2,5,2.099489
-9,7,2.103949
-10,7,2.108326
-7,7,2.233492
-9,7,2.238377
-3,5,2.241809
-1,5,2.245233
-4,7,2.249917
-11,7,2.254756
-7,7,2.259514
-11,7,2.264185
-5,6,2.268334
-4,5,2.272014
-12,9,2.277955
-6,7,2.282628
-16,12,2.290667
-4,5,2.294091
-12,6,2.298147
-6,8,2.303599
-8,7,2.308286
-1,5,2.311724
-6,7,2.316393
-14,8,2.321828
-8,7,2.326501
-4,6,2.330548
-15,10,2.337261
-9,9,2.343201
-1,5,2.346626
-5,5,2.350037
-7,10,2.35672
0,7,2.361382
-8,8,2.36674
-7,7,2.37158
-4,5,2.374995
-2,5,2.378409
-3,6,2.382442
-9,8,2.387922
-9,8,2.393217
-20,12,2.400996
-5,6,2.40518
-10,8,2.410502
-8,8,2.415784
-10,7,2.420599
-9,8,2.425891
-7,7,2.430421
-2,6,2.43416
-19,11,2.44094
-12,8,2.445806
-8,8,2.450687
-3,6,2.454602
-4,6,2.458313
-5,7,2.462601
-7,7,2.46692
-9,7,2.472141
-7,7,2.476496
-5,6,2.480226
-5,6,2.484014
-1,5,2.487461
-8,8,2.492402
-6,6,2.496113
-9,6,2.499851
-6,8,2.50502
-5,7,2.509436
-6,7,2.513867
-2,5,2.517016
-10,7,2.52151
-3,5,2.52466
-11,12,2.53186
-6,6,2.535789
-9,8,2.540699
-2,6,2.544463
-9,7,2.548768
-8,8,2.553858
-2,5,2.556999
-2,6,2.560782
-7,8,2.565657
-2,5,2.692531
-3,5,2.696225
-4,6,2.700551
-3,7,2.705446
-4,7,2.710121
-4,7,2.714797
-2,6,2.718993
-10,9,2.724946
0,6,2.728993
-7,8,2.734298
-10,11,2.74166
-6,6,2.745699
-3,6,2.749736
-15,10,2.756457
0,5,2.759885
-5,7,2.764564
-14,11,2.772005
-6,6,2.776047
-11,7,2.780715
-8,11,2.78814
-6,7,2.792817
-15,13,2.80126
-1,6,2.805496
-9,6,2.809523
-5,5,2.812974
-5,7,2.81799
-1,6,2.822224
-7,8,2.827526
-4,6,2.831563
2,5,2.834985
-3,7,2.839861
-5,7,2.844532
-10,8,2.849835
-2,6,2.854076
-9,8,2.859359
-1,5,2.862768
-6,8,2.868053
