#{"t_start": 1660921495.239818, "env_id": null}
r,l,t
-69,25,0.029701
-24,11,0.039427
-25,11,0.049042
-13,8,0.055754
-18,11,0.065283
-11,6,0.0705
-13,8,0.077122
-42,18,0.092255
-21,10,0.100919
-24,12,0.110991
-12,9,0.118774
-22,11,0.127936
-18,9,0.135696
-33,13,0.146947
-44,17,0.161092
-24,12,0.171471
-12,7,0.177511
-20,11,0.186765
-2,6,0.192104
-44,18,0.20701
-7,5,0.211534
-15,9,0.219437
-4,5,0.223908
-21,10,0.232548
-27,11,0.241969
-35,16,0.255265
-18,10,0.263873
-16,10,0.272534
-14,8,0.279514
-5,6,0.284869
-48,17,0.299153
-4,5,0.303583
-21,10,0.311968
-15,9,0.319878
-9,5,0.324174
-34,13,0.335172
-5,5,0.339587
-47,20,0.356357
-24,11,0.365597
-24,11,0.374996
-27,13,0.386005
-17,9,0.393951
-20,10,0.402631
-34,14,0.414336
-10,7,0.420291
-13,8,0.426954
-32,15,0.439827
-5,5,0.444206
-9,9,1.510516
-7,9,1.518188
-20,10,1.526965
-18,10,1.535541
-12,7,1.541627
-8,7,1.547752
-20,9,1.555506
-16,9,1.56324
-10,8,1.570206
-38,18,1.585257
-26,12,1.595349
-13,7,1.601591
1,5,1.606045
-9,6,1.611403
-18,9,1.619089
-17,7,1.625345
-10,6,1.630712
-28,12,1.64117
-12,8,1.648235
-10,5,1.652641
-15,8,1.659414
-12,8,1.666435
-12,8,1.673278
-12,7,1.679282
-9,7,1.685404
-10,8,1.692234
-13,8,1.699172
-18,9,1.706924
-21,9,1.714463
-34,15,1.727211
-16,10,1.735678
-3,5,1.74015
-11,7,1.746087
-4,5,1.750398
-12,8,1.757397
-18,8,1.764165
-22,9,1.771867
-14,7,1.778106
-22,11,1.78731
-16,11,1.796855
-18,10,1.805223
-5,5,1.809951
-27,10,1.818581
-17,12,1.82986
-4,5,1.83428
-15,10,1.842763
-13,7,1.848996
-11,7,1.854892
-8,7,1.861083
-19,9,1.86887
-9,6,1.873993
-14,8,1.881088
-6,7,1.88727
-33,14,1.899184
-28,14,1.911212
-18,9,1.918853
-14,9,1.926686
-12,7,1.932625
-18,8,1.939298
-9,6,1.944612
-6,6,3.349947
-13,7,3.356066
-11,8,3.363171
-9,7,3.36933
-21,10,3.377939
-22,11,3.387174
-13,7,3.393285
-10,6,3.39853
-17,9,3.406026
-10,7,3.412236
-12,7,3.418336
-4,5,3.42268
-18,11,3.43344
-4,5,3.437829
-14,7,3.443842
-6,7,3.450022
-6,6,3.455169
-9,7,3.461307
-20,11,3.470698
-15,7,3.476713
-16,9,3.484473
-2,5,3.488882
-13,7,3.494802
-19,10,3.50345
-3,5,3.507847
-5,6,3.513218
-18,10,3.521511
-21,9,3.529256
-23,10,3.537626
-17,9,3.545294
-11,7,3.551436
-12,9,3.558893
-13,8,3.565918
-18,10,3.574229
-21,10,3.582906
-9,6,3.588149
-24,12,3.598275
-14,8,3.60505
-5,7,3.611255
-10,6,3.616685
-19,9,3.624577
-18,10,3.632833
-14,7,3.639096
-11,8,3.645692
-16,8,3.652513
-9,7,3.658704
-15,8,3.665445
-5,5,3.669989
-22,11,3.67941
-11,8,3.686195
-10,8,3.693158
-15,11,3.702565
-20,9,3.710467
-12,8,3.717329
-19,10,3.725851
-7,6,3.731169
-24,11,3.740308
-5,6,3.745597
-13,8,3.752448
-12,8,3.759296
-6,7,3.765488
-13,7,3.771688
-14,8,3.778432
-14,9,3.786037
-12,9,5.306204
-6,6,5.311299
-1,5,5.315622
-11,8,5.322579
