#{"t_start": 1660921900.635759, "env_id": null}
r,l,t
-14,9,0.050466
-18,10,0.095889
-10,7,0.141524
-40,15,0.22602
-31,14,0.269852
-30,12,0.349139
-13,10,0.390598
-1,5,0.429164
-25,11,0.471133
-22,9,0.511914
-23,11,0.59066
-21,10,0.632198
-12,7,0.671755
-28,13,0.714903
-27,13,0.796049
-12,8,0.8366
-17,10,0.878029
-19,9,0.919038
-13,9,0.961257
-17,10,1.037928
-21,9,1.07873
-18,10,1.120371
-7,7,1.161556
-9,6,1.200702
-11,7,1.240475
-27,12,1.283844
-17,10,1.327055
-26,10,1.410428
-16,9,1.453881
-23,11,1.498403
-13,8,1.542653
-8,8,1.585679
-7,7,1.627703
-39,15,1.71263
-9,6,1.755752
-13,8,1.798505
-21,11,1.843135
-26,13,1.927128
-25,12,1.97432
-16,9,2.017992
-37,14,2.102842
-19,9,2.147282
-3,6,2.189095
-5,6,2.230609
-9,7,2.23522
-9,9,2.316352
-8,6,2.320398
-13,7,2.363851
-35,14,2.448107
-12,8,2.490961
-27,12,2.538334
-15,9,2.619917
-10,8,2.662604
-17,9,2.705982
-18,10,2.751306
-5,6,2.792684
-8,8,2.836269
-16,9,2.879561
-11,7,2.922159
-17,9,2.971032
-25,10,3.014953
-32,12,3.098212
-8,7,3.102912
-20,11,3.188262
-26,11,3.233678
-5,6,3.275918
-19,10,3.320074
-10,9,3.364711
-36,13,3.44828
-14,9,3.491766
-14,9,3.535824
-18,10,3.580603
-23,10,3.662554
-18,10,3.706552
-21,10,3.752932
-12,8,3.795916
-9,7,3.838189
-22,10,3.882084
-17,9,3.925626
-27,13,4.010504
-7,6,4.052206
-14,8,4.094861
-8,7,4.138097
-3,5,4.141357
-19,9,4.18491
-10,7,4.227279
-14,9,4.270701
-23,11,4.355324
-10,8,4.398043
-10,8,4.441079
-18,10,4.484979
-7,8,4.528009
-28,11,4.574368
-15,8,4.617216
-14,8,4.660098
-13,7,4.70227
-9,7,4.745758
-23,10,4.790009
-15,10,4.871819
-14,8,4.914685
-20,9,4.96022
-15,9,5.003929
-2,5,5.044776
-24,11,5.08997
-21,11,5.134591
-7,7,5.178091
-17,8,5.221014
-31,12,5.303954
-26,11,5.349684
