#{"t_start": 1660921823.5954933, "env_id": null}
r,l,t
-31,14,0.015927
-10,6,0.020495
-14,9,0.027174
-9,6,0.031552
-3,5,0.035176
-27,11,0.042768
-18,8,0.048102
-14,8,0.053969
-16,11,0.061512
-31,13,0.070052
-15,9,0.076173
-18,11,0.083426
-30,12,0.091664
-16,8,0.097013
-10,7,0.101707
-19,10,0.108607
-19,10,0.11519
2,5,0.11865
-21,11,0.126089
-13,8,0.131418
-9,6,0.13549
-25,12,0.143613
-21,12,0.151434
-13,9,0.157524
-8,6,0.161631
-48,19,0.174021
-63,22,0.254364
-28,13,0.263071
-12,8,0.268397
-15,7,0.273088
-22,9,0.279255
-3,5,0.282683
-13,9,0.28864
-18,10,0.295439
-13,8,0.300759
-28,12,0.308911
-36,16,0.319464
-21,10,0.326305
-28,14,0.335402
-8,6,0.339488
-10,7,0.344467
-22,10,0.351053
-5,5,0.354482
-22,10,0.36131
-24,10,0.367906
-19,9,0.37396
-11,8,0.379364
-8,7,0.38407
-20,10,0.390785
-28,12,0.3987
-20,9,0.404629
-15,10,0.411422
-42,16,0.495467
-12,8,0.500857
-10,6,0.504932
-6,5,0.508662
-10,6,0.512781
-15,8,0.518141
-12,6,0.522213
-27,12,0.53031
-19,9,0.536272
-28,12,0.544417
-40,14,0.553525
-9,7,0.558424
-3,5,0.561865
-8,6,0.565917
-20,9,0.571866
-27,10,0.578664
-33,13,0.58714
-21,11,0.594539
-23,9,0.600484
-21,10,0.607037
-13,9,0.613237
-29,13,0.621666
-19,8,0.627155
-9,7,0.63184
-18,9,0.637814
-22,11,0.645981
-16,8,0.651315
-4,5,0.654772
-22,10,0.661618
-18,7,0.742047
-12,7,0.746931
-27,13,0.755443
-7,6,0.759691
-5,6,0.763787
-27,12,0.771664
-7,6,0.775923
-8,8,0.781273
-10,5,0.784708
-8,5,0.78817
-23,11,0.795571
-27,12,0.803415
-10,7,0.808277
-17,9,0.814259
-22,10,0.82092
-22,9,0.82706
-31,12,0.834929
-22,11,0.842359
-8,7,0.847086
