#{"t_start": 1660921806.8456013, "env_id": null}
r,l,t
-28,11,0.028784
-7,6,0.034045
-9,6,0.039308
-14,9,0.0471
-11,6,0.052221
-29,12,0.062466
-26,11,0.071776
-18,10,0.08033
-17,10,0.08892
-8,7,0.095087
-47,19,0.111399
-22,10,0.11988
-23,14,0.13158
-11,7,0.137669
-6,6,0.142985
-9,7,0.149012
-19,10,0.157767
-15,9,0.165639
-31,14,0.177416
-10,8,0.184361
-21,11,0.193745
-29,12,0.203747
-20,12,0.213901
-35,14,0.22578
-9,6,0.230878
-10,6,0.236066
-18,10,0.244934
-10,7,0.250812
-38,16,0.264251
-8,7,0.270159
-26,12,0.280583
-21,10,0.288907
-19,12,0.299323
-16,9,0.306799
-8,6,0.312075
-12,8,0.318909
-14,8,0.325605
-19,9,0.333332
-18,10,0.341651
-10,7,0.347738
-22,12,0.3581
-20,9,0.365738
-49,21,0.383447
-20,9,0.391035
-14,8,0.397973
-15,9,0.405656
-21,9,0.413288
-30,15,0.426045
-16,7,0.431909
-20,9,0.439766
-18,10,0.448264
-19,8,0.455073
-32,14,0.467118
-17,8,0.474015
-32,15,0.486677
-32,12,0.496995
-13,8,0.503779
-8,7,0.509874
-19,9,0.51756
-12,7,0.52373
-12,8,0.530417
-34,13,0.541698
-29,13,0.552511
-24,11,0.561964
-22,10,0.570352
-21,10,0.579014
-32,15,0.59162
-33,16,0.605142
-14,7,0.611354
-24,11,0.620672
-8,8,0.627731
-19,9,0.63542
-41,17,0.649646
-18,10,0.658416
-21,12,0.668414
-23,10,0.67697
-18,9,0.684798
-32,13,0.695498
-21,11,0.704856
-14,8,0.711828
-30,13,0.722673
-13,7,0.728846
-5,5,0.733216
-42,17,0.748572
-37,16,0.761923
-20,9,0.769753
-24,12,0.779632
-19,10,0.788127
-15,8,0.795059
-15,8,0.80205
-28,13,0.813295
-17,9,0.820878
-8,6,0.826207
-15,10,0.834864
-27,11,0.844265
-20,10,0.852985
-10,7,0.859055
-21,11,0.868382
-21,9,0.876205
-23,12,0.886314
-6,8,0.89326
-15,8,0.900437
-17,8,0.907224
-8,7,0.913259
-19,11,0.922706
-35,15,0.935277
-18,11,0.944871
-19,8,0.951713
-9,6,0.956906
-16,10,0.965562
-14,8,0.972305
-23,10,0.980911
-10,6,0.986222
-27,13,0.997326
-12,7,1.003334
-33,12,1.013536
-17,11,1.022911
-13,8,1.02974
-28,13,1.040688
-16,8,1.047495
-16,8,1.054447
-5,5,1.058763
-32,12,1.069003
-35,14,1.080825
-10,7,1.086925
-10,6,1.092173
-25,13,1.10338
-18,11,1.112883
-6,6,1.118156
-12,7,1.12438
-27,13,1.135616
-33,12,1.145653
-18,9,1.153505
-23,11,1.162956
-14,8,1.169729
-15,10,1.178403
-26,11,1.187953
-6,5,1.192385
-27,11,1.201838
-17,10,1.210335
-16,8,1.217317
-14,8,1.223989
-20,10,1.232669
-13,9,1.240281
-36,17,1.254526
-25,9,1.262128
-36,13,1.273235
-24,11,1.282574
-18,10,1.291292
-31,12,1.301575
-8,5,1.306054
-13,8,1.31311
-35,15,1.325665
-32,14,1.337592
-27,12,1.347773
-14,10,1.356265
-9,7,1.362288
-35,15,1.375098
-17,9,1.382879
-18,10,1.391332
-24,9,1.399085
-31,14,1.410918
-6,7,1.417116
-16,8,1.423738
-16,8,1.430695
-24,11,1.440131
-18,10,1.448809
-26,10,1.457278
-21,11,1.466581
-10,7,1.472593
-39,18,1.48782
-7,7,1.493754
-18,9,1.501537
-14,10,1.510166
-21,11,1.51958
-32,12,1.529947
-39,14,1.54162
