#{"t_start": 1660723262.5721529, "env_id": null}
r,l,t
-4,7,4.368402
-32,32,4.398277
-17,23,4.419781
-33,33,4.449651
-25,24,4.471846
-17,19,4.491489
-11,17,4.507123
-13,13,4.520467
-8,9,4.52873
-13,16,4.543676
-15,14,4.554865
-12,17,4.573224
-23,27,4.597074
-43,39,4.63306
-6,11,4.642442
-2,7,4.649538
-4,9,4.657799
-4,7,4.664882
-3,7,4.671947
-4,7,4.679009
-7,13,4.689539
-2,7,4.696477
-14,12,4.709013
-22,22,4.729579
-11,22,4.747851
-6,9,4.756214
-25,25,4.781387
-9,12,4.79145
-6,7,4.79852
-9,13,4.811672
-2,7,4.816118
-13,17,4.834064
-5,7,4.838517
-3,7,4.845596
-36,34,4.878769
-14,15,4.890503
-10,14,4.904142
-13,18,4.920113
-17,15,4.934354
-23,27,4.96088
-7,9,4.96927
-29,25,4.99247
-19,21,5.012818
-12,13,5.023387
-28,29,5.050971
-3,7,5.058055
-3,7,5.065118
-11,12,5.076084
0,7,5.0834
-4,7,5.0906
-12,12,5.100737
-13,11,5.112848
-20,22,5.131222
-2,7,5.138258
-12,14,5.152028
-3,7,5.159106
-20,22,5.180068
-5,7,5.187159
-6,12,5.197101
-3,9,5.205322
-14,18,5.221397
-13,15,5.235714
-3,7,5.242756
-5,7,5.249819
-25,27,5.273638
-9,9,5.28448
-20,22,5.30278
-17,18,5.321161
-12,16,5.33583
-7,12,5.345693
-21,20,5.365418
-37,37,5.397966
-6,12,5.410531
-4,7,5.417582
-3,7,5.422051
-5,9,5.432884
-2,9,5.441121
0,7,5.448185
-12,16,5.46307
-5,7,5.467509
-17,27,5.493907
-13,14,5.507627
-17,16,5.522547
-5,9,5.530882
-2,7,5.537927
-9,12,5.547912
-17,21,5.568335
-11,12,5.578459
-6,9,5.586709
-9,12,5.599219
-2,7,5.60628
-16,22,5.624612
-4,7,5.63167
-5,9,5.639918
-8,12,5.65246
-15,12,5.662403
-16,17,5.68039
-18,24,5.702564
-9,12,5.712476
-25,31,5.742713
-9,12,5.752768
-16,19,5.772368
-21,22,5.79338
-3,9,5.801733
-12,14,5.812868
-2,12,5.825433
-18,18,5.841515
-5,7,5.848602
-4,7,5.855671
-17,23,5.877318
-6,12,5.887352
0,7,5.894757
-8,11,5.906996
-3,7,5.911482
-36,40,5.948387
-4,7,5.955474
-3,7,5.962533
-8,12,5.97512
-5,12,5.985084
-18,19,6.004381
-3,7,6.008878
-4,7,6.015928
-9,13,6.029075
-15,23,6.050578
-19,21,6.068307
-4,7,6.07546
-4,7,6.08249
-15,22,6.103259
-14,17,6.119063
-12,12,6.131836
-10,11,6.141155
-9,11,6.150447
-27,30,6.178845
-23,29,6.20664
-35,36,6.238267
-3,7,6.245352
-7,9,6.253627
-14,15,6.267944
-8,11,6.277324
-18,22,6.298261
-14,14,6.312013
-4,9,6.320207
-22,22,6.341012
-10,12,6.350945
-15,18,6.369615
-35,42,6.407947
-14,14,6.421656
-8,12,6.431587
-34,34,6.462119
-17,19,6.481314
-6,9,6.489557
-17,17,6.504683
-14,17,6.519897
-8,11,6.52935
-12,14,6.542958
-6,11,6.555022
-3,9,6.563128
-36,41,6.600356
-17,18,6.616583
-14,16,6.63143
-3,7,6.638509
-8,13,6.651697
-15,17,6.667169
-20,23,6.688813
-5,12,6.698789
-16,19,6.717286
-10,18,6.736162
-10,13,6.746795
-10,14,6.760623
-3,7,6.7677
-2,7,6.775095
-4,9,6.78346
-9,12,6.793447
-10,12,6.806031
-3,7,6.813159
-23,32,6.842617
-10,12,6.852572
-10,12,6.865149
-33,38,6.900655
-6,13,6.911238
-3,7,6.918346
-15,21,6.938893
-60,67,6.998959
-9,12,7.011503
-9,12,7.021458
-13,14,7.03516
-22,32,7.064571
-16,21,7.082412
-2,7,7.089489
-6,12,7.102076
-12,22,7.123059
-24,28,7.14765
-14,22,7.168539
-43,59,7.221413
-11,18,7.237643
-4,9,7.248497
-14,13,7.259112
-3,12,7.271707
-5,7,7.278752
-9,12,7.288716
-18,19,7.305163
-41,50,7.352445
-15,18,7.368272
-26,27,7.392443
-11,12,7.404971
-15,19,7.421576
-17,21,7.441912
-8,13,7.452475
-9,13,7.465611
-7,11,7.475069
-10,13,7.48821
-9,13,7.501188
-2,7,7.508188
-13,22,7.526278
-32,49,7.570379
-11,14,7.584188
-5,7,7.59132
-9,14,7.605058
-4,9,7.613317
-39,42,7.651007
-37,37,7.685951
-4,9,7.694112
-14,22,7.715114
-18,16,7.729859
-1,7,7.737065
-8,12,7.746868
-11,17,7.762015
-17,24,7.784995
-42,42,7.822716
-8,12,7.835244
-7,12,7.845189
-12,12,7.857764
-24,27,7.881487
-3,7,7.888532
-21,29,7.916083
-11,14,7.92977
-11,19,7.946428
-44,46,7.989434
-6,12,7.999403
-6,12,8.011951
-3,12,8.021932
-7,9,8.030215
-3,7,8.037293
-17,17,8.052751
-13,14,8.066428
-29,29,8.09414
-20,27,8.118037
-38,40,8.15497
-24,27,8.178761
-3,9,8.189615
-5,9,8.197831
-6,12,8.20775
-3,12,8.220237
-5,11,8.229618
-13,22,8.250489
-19,22,8.271317
-10,14,8.282418
-21,27,8.308919
-10,14,8.32002
-5,7,8.327079
-5,9,8.335294
-12,15,8.349661
-9,14,8.363363
-15,21,8.383857
-4,7,8.390899
-14,19,8.407596
-26,32,8.436899
-18,18,8.45297
-19,22,8.473834
-6,7,8.480902
-4,9,8.489203
-16,16,8.50405
-12,17,8.519411
-10,15,8.533703
-19,23,8.555244
-6,11,8.564607
-21,32,8.594013
-18,21,8.61447
-25,28,8.638901
-19,23,8.660464
-21,26,8.683747
-19,21,8.704132
-11,19,8.720841
-5,12,8.733353
-7,13,8.746549
-4,9,8.754775
-3,7,8.761801
-3,7,8.766238
-18,23,8.787865
-12,14,8.801556
-3,7,8.808591
-1,7,8.815618
-8,12,8.825558
-2,7,8.832611
-5,7,8.839654
-10,14,8.853373
-8,12,8.863307
-10,17,8.878728
-3,7,8.885779
-10,15,8.900087
-31,41,8.937246
-13,14,8.950975
-16,22,8.971928
-3,7,8.979023
-2,7,8.986119
-3,7,8.990596
-11,13,9.003759
-6,9,9.011967
-9,15,9.027449
-26,31,9.057568
-16,22,9.078547
-3,7,9.085599
-9,12,9.095575
-3,9,9.103811
-10,16,9.118896
-18,17,9.134321
-24,34,9.167458
-4,9,9.175683
-2,7,9.182742
-11,17,9.198569
-16,17,9.214235
1,7,9.22129
-5,7,9.228306
-6,7,9.232765
-12,19,9.251939
-15,18,9.267977
-14,17,9.283479
-7,11,9.295539
-5,9,9.303798
-7,17,9.319213
-29,33,9.349201
-30,37,9.384223
-20,24,9.406386
