#{"t_start": 1660922000.4317746, "env_id": null}
r,l,t
-31,14,0.013445
-10,6,0.017597
-14,9,0.02416
-9,6,0.028329
-3,5,0.031942
-27,11,0.039603
-18,8,0.045016
-14,8,0.050411
-16,11,0.057851
-31,13,0.066449
-16,9,0.072655
-17,11,0.079972
-30,12,0.088058
-15,8,0.139674
-43,20,0.153144
-28,13,0.161842
-11,7,0.166624
-18,10,0.173463
-13,8,0.178879
-9,6,0.182999
-21,10,0.18986
-13,9,0.195923
-20,10,0.202624
-42,16,0.213287
-34,13,0.22204
-26,10,0.275257
-22,9,0.281534
-15,9,0.287771
-5,5,0.291266
-25,12,0.299238
-34,13,0.308018
-29,14,0.31729
-27,13,0.326061
-8,7,0.330806
-13,9,0.336984
-15,10,0.343737
-17,9,0.349794
-14,10,0.356667
-36,13,0.41147
-5,6,0.415653
-7,7,0.420598
-14,8,0.426056
-34,14,0.435682
-31,14,0.44523
-10,6,0.449389
-8,7,0.454341
-14,8,0.459764
-12,8,0.465186
-10,7,0.470055
-20,10,0.476839
-28,11,0.484537
-39,16,0.541448
-15,8,0.5469
-23,10,0.55373
-34,12,0.561758
-14,8,0.567176
-6,5,0.570805
-2,5,0.574291
-11,9,0.580338
-6,7,0.585312
-4,7,0.59031
-3,5,0.593804
-21,11,0.601155
-17,9,0.607346
-12,7,0.612139
-9,6,0.616295
-21,11,0.623792
-15,9,0.676076
-7,6,0.68024
-7,7,0.685037
-33,16,0.695808
-16,9,0.701888
-18,9,0.708109
-9,7,0.713131
-16,9,0.719179
-20,12,0.727354
-14,8,0.732777
-58,20,0.746074
-11,7,0.750852
-10,6,0.755136
-7,5,0.758625
-14,10,0.811467
-15,9,0.81754
-19,8,0.823117
-12,8,0.82853
-12,8,0.833954
-15,9,0.840289
-7,5,0.843785
-23,13,0.852422
-8,6,0.856714
-22,9,0.862747
-9,7,0.867518
-14,8,0.873092
-10,8,0.878488
-15,11,0.885842
-16,8,0.891429
-14,8,0.942796
-26,12,0.9508
-12,8,0.956384
-9,7,0.961161
-10,9,0.967227
-17,9,0.973462
-10,8,0.978901
-6,7,0.983689
-25,13,0.992517
-6,6,0.996666
-9,7,1.001441
-24,11,1.00892
-17,9,1.014981
-20,11,1.022794
-26,14,1.080299
-29,12,1.088474
-15,9,1.094591
-15,9,1.10066
-8,7,1.105603
-35,16,1.116203
-9,6,1.1204
-1,5,1.12401
-10,8,1.129449
-15,8,1.134882
-5,5,1.1385
-9,7,1.14328
-13,8,1.148697
-5,8,1.154231
-20,9,1.160338
-18,9,1.212164
-6,5,1.215718
-20,11,1.223253
-15,8,1.228672
-8,7,1.233539
-14,7,1.238595
-15,8,1.244039
-9,7,1.248838
-3,5,1.252321
-6,6,1.256635
-14,9,1.262711
-23,11,1.270048
-15,9,1.276327
-20,11,1.283811
-16,8,1.289391
-14,7,1.29434
-1,5,1.344131
-27,12,1.352519
-5,6,1.356868
-10,5,1.360373
-11,8,1.36581
-8,7,1.370671
-3,5,1.37426
-22,10,1.381022
-12,6,1.385293
-8,7,1.390241
-12,8,1.395671
-6,6,1.399806
-17,10,1.406679
-8,6,1.410837
-6,5,1.414337
-12,8,1.419909
-14,8,1.425469
-8,7,1.430265
-7,6,1.480778
-7,6,1.484941
-6,5,1.488563
-12,6,1.492712
-9,5,1.496248
-6,6,1.500384
-15,8,1.505949
-12,7,1.51074
-12,8,1.51618
-11,8,1.521741
-7,6,1.525878
-7,5,1.529367
-12,7,1.534135
-17,8,1.539691
-7,5,1.543378
-17,8,1.548822
-2,5,1.552307
-19,8,1.557876
-4,5,1.561378
-9,6,1.565523
-12,9,1.617758
-5,5,1.62152
-7,7,1.626293
-6,5,1.629975
-10,7,1.634839
-21,12,1.643389
-7,7,1.648194
-6,5,1.651697
-3,5,1.655347
