#{"t_start": 1660921383.20222, "env_id": null}
r,l,t
-18,11,0.017436
-22,10,0.026401
-20,10,0.034929
-35,14,0.046973
-18,9,0.05473
-17,9,0.062575
-17,8,0.069327
-25,14,0.081255
-25,12,0.091434
-27,14,0.103536
-15,8,0.110294
-12,7,0.116372
-16,8,0.180979
-20,9,0.188719
-18,9,0.196461
-17,8,0.203436
-14,9,0.210965
-8,6,0.216346
-18,8,0.223489
-6,6,0.22885
-14,9,0.236692
-28,12,0.24683
-18,8,0.253829
-12,6,0.259268
-18,9,0.266905
-24,12,0.277298
-12,7,0.283263
-19,10,0.352229
-29,11,0.361912
-10,8,0.368811
-30,13,0.379922
-33,14,0.391634
-19,11,0.401309
-17,9,0.409331
-12,7,0.415348
-12,7,0.421468
-19,10,0.430156
-41,14,0.441962
-13,8,0.448976
-10,6,0.454008
-11,7,0.517993
-32,15,0.530787
-5,7,0.536717
-3,6,0.542008
-31,12,0.552132
-5,7,0.558208
-15,8,0.565136
-19,10,0.573447
-19,10,0.582129
-26,12,0.592337
-16,8,0.599324
-27,12,0.609389
-5,7,0.615732
-12,6,0.621062
-24,12,0.689821
-24,14,0.701712
-14,8,0.708709
-26,13,0.719851
-9,7,0.725775
-17,9,0.733687
-17,8,0.740701
-14,9,0.748372
-9,6,0.753511
-18,9,0.761273
-30,13,0.772159
-15,9,0.779865
-28,12,0.790255
-20,9,0.855324
-11,7,0.861517
-12,8,0.868294
-3,5,0.872802
-9,7,0.878939
-19,10,0.887622
-37,14,0.899467
-15,9,0.90725
-15,8,0.913969
-19,10,0.922773
-3,6,0.928123
-6,7,0.934268
-4,5,0.93851
-26,12,0.948758
-9,7,0.954798
-11,8,0.961757
-23,11,1.029188
-15,10,1.037621
-5,6,1.042843
-6,5,1.047366
-9,7,1.053651
-4,6,1.059096
-7,6,1.064216
-15,8,1.071191
-6,6,1.076594
-5,6,1.081762
-13,9,1.089551
-13,8,1.096624
-14,8,1.103763
-8,6,1.108892
-23,10,1.117566
-11,9,1.125303
-20,10,1.191695
-13,8,1.198479
-7,7,1.20441
-2,6,1.209747
-4,5,1.214292
-5,6,1.219474
-2,5,1.223983
-3,5,1.228436
-8,7,1.23471
-19,11,1.244111
-5,5,1.248508
-20,11,1.259203
-7,7,1.265097
-16,10,1.273895
-9,7,1.280076
-13,9,1.287799
-8,7,1.293801
-20,9,1.301736
-9,7,1.366285
-7,5,1.370809
-17,10,1.379262
-9,7,1.385326
-2,5,1.389824
-13,9,1.39737
-8,7,1.40347
-2,6,1.408837
-8,7,1.415023
-5,6,1.42042
-10,7,1.426588
-5,6,1.431776
-14,8,1.438686
-12,7,1.444717
-2,5,1.449235
-7,6,1.455735
-13,9,1.463665
-5,6,1.468827
-4,6,1.532277
-11,7,1.538547
-11,7,1.544744
-4,6,1.549909
-16,10,1.558478
-13,9,1.56632
-2,6,1.571603
-9,7,1.577873
-3,5,1.582399
-13,8,1.589429
-9,8,1.596316
-10,7,1.60254
-17,9,1.610453
-2,5,1.614946
-3,5,1.619439
-3,5,1.623955
-6,5,1.628535
-5,5,1.63301
-6,6,1.638407
-14,9,1.7054
