#{"t_start": 1660921869.3913887, "env_id": null}
r,l,t
-28,11,0.017479
-7,6,0.023383
-9,6,0.028666
-14,9,0.036626
-11,8,0.115696
-22,11,0.125334
-12,8,0.132221
-30,13,0.23097
-24,11,0.240565
-28,13,0.251501
-9,7,0.34823
-36,16,0.362333
-6,7,0.368558
-6,7,0.467346
-19,11,0.476785
-9,7,0.483002
-10,7,0.489256
-25,12,0.584512
-12,8,0.591715
-14,8,0.598624
-26,12,0.7008
-11,8,0.707516
1,6,0.712884
-20,9,0.720711
-14,9,0.821297
-5,6,0.826776
-2,6,0.831932
-6,7,0.838289
-12,8,0.936953
-22,10,0.945556
-24,12,0.957386
-15,9,0.965335
-14,9,1.064512
-14,10,1.073263
-15,9,1.080962
-15,9,1.181504
-1,6,1.186769
-19,11,1.196287
-17,9,1.204251
-28,12,1.306829
-11,8,1.313952
-6,7,1.320349
-9,9,1.421723
-6,7,1.428085
-8,8,1.435184
-18,9,1.443208
-7,7,1.540912
-4,7,1.547016
-10,9,1.556237
-24,15,1.660247
-18,11,1.669945
-18,11,1.679286
-5,6,1.684624
-7,8,1.783718
-8,8,1.790822
-10,8,1.797637
-1,8,1.804635
-7,8,1.903667
-7,7,1.909832
-5,5,1.91417
-5,6,1.919681
-6,8,1.926728
-12,9,2.027387
-4,7,2.033843
-19,11,2.04364
-2,5,2.048156
-12,9,2.146667
-8,7,2.153423
-4,6,2.159289
-17,10,2.167982
-10,10,2.268221
-11,8,2.275312
-7,6,2.280771
-6,7,2.287136
-5,6,2.38485
-12,8,2.392024
