#{"t_start": 1660921897.3617435, "env_id": null}
r,l,t
-69,25,0.031131
-24,11,0.040361
-25,11,0.050035
-13,8,0.057119
-18,11,0.066536
-11,6,0.071814
-13,8,0.078843
-42,18,0.093907
-21,10,0.102793
-24,12,0.113306
-12,9,0.12107
-22,11,0.130411
-18,9,0.138205
-33,13,0.149414
-44,17,0.163744
-24,12,0.173862
-12,7,0.180073
-20,11,0.189557
-2,6,0.194741
-44,18,0.210122
-7,5,0.214441
-15,9,0.22224
-4,5,0.22686
-21,10,0.236418
-27,11,0.24566
-35,16,0.259448
-18,10,0.268366
-16,10,0.277185
-14,8,0.284355
-5,6,0.289724
-48,17,0.304149
-4,5,0.308636
-21,10,0.317253
-15,9,0.32481
-9,5,0.329539
-34,13,0.341056
-5,5,0.345689
-47,20,0.363248
-24,11,0.372586
-24,11,0.382221
-27,13,0.393955
-17,9,0.402204
-20,10,0.41094
-34,14,0.423164
-10,7,0.429382
-13,8,0.436471
-32,15,0.449126
-5,5,0.453588
-11,7,0.459753
-15,9,0.467444
-9,7,0.473759
-26,12,0.484279
-15,10,0.493125
-16,9,0.500841
-5,5,0.505227
-23,11,0.514896
-15,8,0.521924
-10,6,0.527232
-10,7,0.533555
-24,12,0.543936
-33,15,0.55662
-9,7,0.562888
-27,12,0.573389
-53,23,0.59284
-25,12,0.602998
-24,11,0.612607
-28,13,0.623581
-16,8,0.630602
-15,8,0.637388
-15,9,0.64523
-32,13,0.656544
-22,11,0.666074
-17,10,0.67492
-13,8,0.681931
-14,8,0.688865
-26,13,0.70007
-5,5,0.704702
-26,13,0.716054
-29,10,0.724455
-11,6,0.729824
-14,9,0.737907
-38,17,0.752427
-18,11,0.761866
-30,13,0.772947
-8,6,0.778194
-24,10,0.786795
-10,7,0.792992
-23,12,0.803542
-18,10,0.811852
-9,7,0.818177
-15,10,0.826944
-33,15,0.839879
-11,7,0.846053
-34,13,0.857376
-16,10,0.866212
-10,6,0.871389
-17,8,0.878472
-23,9,0.886257
-14,7,0.892231
-23,12,1.125401
-6,5,1.129948
-10,8,1.136953
-3,5,1.141164
-23,11,1.150711
-6,6,1.156114
-20,9,1.163764
-9,7,1.170047
-25,12,1.180658
-5,5,1.185067
-9,8,1.192106
-6,5,1.196723
-20,9,1.204492
-3,5,1.20876
-14,8,1.21592
-16,10,1.22486
-17,8,1.232022
-9,7,1.238236
-8,6,1.243425
-12,9,1.251431
-9,7,1.257723
-18,9,1.265574
-24,11,1.2752
-9,6,1.280573
-8,6,1.285681
-17,9,1.29337
-11,7,1.299515
-9,7,1.305716
-11,5,1.310093
-10,6,1.315284
-10,6,1.320673
-12,8,1.327667
-18,11,1.337405
-14,10,1.346068
-6,6,1.351299
-12,8,1.358464
-11,8,1.365383
-18,9,1.373226
-14,9,1.381004
-5,5,1.385355
-15,9,1.393103
-12,7,1.399308
-7,6,1.404685
-21,10,1.413475
-18,10,1.421967
-8,6,1.427374
-7,6,1.432682
-24,10,1.44155
-11,8,1.448542
-11,6,1.453886
-13,7,1.459987
-8,6,1.465469
-6,6,1.47077
-11,8,1.477543
-9,5,1.482116
-17,9,1.489903
-28,12,1.500234
-11,9,1.508259
-23,10,1.517123
-15,8,1.524034
-6,5,1.528507
-21,11,1.538006
-10,8,1.545007
-7,7,1.551176
-14,7,1.557421
-23,10,1.566136
-8,7,1.572306
-15,8,1.579291
-32,14,1.591627
-20,11,1.601546
-9,8,1.608454
-9,7,1.614712
-15,8,1.621905
-21,9,1.629888
-26,11,1.639676
-1,5,1.644027
-18,9,1.651737
-14,8,1.658702
-18,9,1.666364
-8,6,1.67176
-10,5,1.6763
-6,5,1.680839
-18,8,1.687766
-22,11,1.696956
-15,7,1.703186
-20,10,1.712003
-7,7,1.718242
-6,6,1.723531
-11,7,1.729517
-12,9,1.737402
-4,5,1.741904
-17,8,1.748877
-16,8,1.755767
-6,6,1.761178
-5,5,1.765695
-15,8,1.772629
-24,12,1.783036
-11,7,1.789367
-23,12,1.799929
-8,6,1.80535
-10,7,1.811587
-21,9,1.819288
-16,9,1.827235
-5,6,1.832496
-14,8,1.839628
-7,5,1.844235
-7,6,1.849626
-16,7,1.855926
-22,11,1.865682
-6,6,1.870927
-19,10,1.879513
-10,7,1.88569
-18,10,1.89458
-11,8,1.901616
-11,6,1.906768
-17,10,1.915511
-19,11,1.925009
-31,13,1.936091
-14,9,1.944008
-8,6,1.9494
-17,8,1.956537
-15,8,1.963574
-11,8,1.970428
-21,11,1.980114
-9,6,1.985429
-19,9,1.993267
-14,7,1.999369
-22,10,2.00816
-25,11,2.017929
-8,6,2.239948
-15,9,2.247808
-18,12,2.258262
-11,9,2.266145
