#{"t_start": 1660920896.3790655, "env_id": null}
r,l,t
-31,14,0.013772
-10,6,0.017894
-14,9,0.024442
-9,6,0.028493
-3,5,0.032112
-27,11,0.039311
-18,8,0.044616
-14,8,0.050073
-16,11,0.057211
-31,13,0.065788
-16,9,0.071688
-17,11,0.078843
-30,12,0.086786
-16,8,0.092078
-10,7,0.096799
-19,10,0.103402
-19,10,0.109922
1,5,0.113375
-20,11,0.120652
-13,8,0.125973
-9,6,0.130055
-24,12,0.137937
-21,12,0.145728
-13,9,0.151884
-8,6,0.155987
-49,19,0.16833
-65,25,0.184437
-26,10,0.190992
-14,7,0.195646
-10,7,0.200438
-41,15,0.209486
-30,12,0.216836
-18,9,0.22244
-29,12,0.22966
-11,8,0.234704
-8,7,0.23901
-23,12,0.24622
-13,9,0.251831
-40,15,0.260755
-14,7,0.265182
-26,11,0.271822
-23,9,0.277413
-13,7,0.281925
-32,12,0.28959
-21,9,0.295022
-16,10,0.301169
-23,10,0.307204
-28,13,0.315095
-22,11,0.321914
-23,10,0.327982
-22,10,0.334225
-17,9,0.339698
-13,7,0.343995
-25,10,0.350317
-12,7,0.354615
-18,10,0.36061
-9,6,0.364478
-9,6,0.368184
-21,10,0.374248
-13,8,0.37909
-17,9,0.384702
-3,7,0.389176
-12,6,0.392905
-16,10,0.399094
-4,5,0.402228
-19,9,0.407687
-5,6,0.411399
-37,15,0.42052
-19,10,0.426688
-10,6,0.430583
-14,9,0.436047
-45,15,0.444926
-15,8,0.449916
-22,10,0.455927
-10,7,0.460224
-10,8,0.46524
-29,12,0.472464
-11,6,0.476168
-14,10,0.482367
-31,13,0.490111
-11,8,0.494972
-9,6,0.498847
-12,9,0.504302
-22,10,0.510327
-14,8,0.515358
-39,17,0.525531
-27,11,0.532289
-14,7,0.536575
-14,8,0.541451
-31,15,0.550643
-20,10,0.55664
-7,6,0.560338
-16,9,0.565899
-19,9,0.571339
-12,8,0.576255
-10,8,0.581285
-12,7,0.585612
-34,14,0.593951
-32,13,0.601851
-23,11,0.608421
-24,10,0.614565
-39,17,0.624749
-16,10,0.630854
-9,6,0.634593
-14,8,0.639451
-14,8,0.644329
-28,14,0.652795
-15,9,0.658267
-22,9,0.663748
-19,8,0.67178
-14,8,0.676718
-21,10,0.683038
-18,9,0.688488
-26,11,0.6951
-46,18,0.706088
-10,8,0.710955
-5,6,0.714827
-14,8,0.719709
-10,6,0.7235
-50,22,0.736617
-7,7,0.740918
-10,8,0.745803
-54,19,0.757337
-29,12,0.764673
-19,9,0.770227
-24,12,0.777488
-14,9,0.783131
-29,13,0.790895
-17,8,0.795763
-39,16,0.805836
-21,9,0.811287
-10,6,0.815131
-9,7,0.819443
-29,12,0.826695
-28,14,0.835173
-10,7,0.839456
-23,9,0.844882
-32,15,0.853928
-13,8,0.858787
-14,7,0.863082
-16,10,0.869306
-13,8,0.874287
-20,10,0.880543
-9,6,0.884822
-22,10,0.890893
-24,12,0.898167
-7,6,0.901883
-27,13,0.909722
-29,12,0.917068
-36,14,0.926012
-19,9,0.931657
-35,16,0.941107
-31,14,0.949807
-22,11,0.956428
-30,13,0.964361
-49,17,0.974526
-41,16,0.984194
-27,14,0.992557
-24,10,0.99877
-23,10,1.004794
-16,10,1.010815
-17,9,1.016397
-10,7,1.020687
-50,17,1.031016
-9,6,1.034773
-32,14,1.043084
-15,8,1.048124
-14,9,1.0536
-19,9,1.059022
-2,5,1.062153
-10,9,1.067749
-7,6,1.071478
-21,10,1.077512
-21,12,1.085289
-29,12,1.092495
-6,5,1.09563
-27,12,1.10297
-12,7,1.107313
-10,8,1.112238
-20,10,1.118577
-16,9,1.124171
-26,11,1.13089
-37,16,1.140472
-19,9,1.145905
-39,17,1.156384
0,5,1.159522
-21,11,1.166287
-12,7,1.170624
-15,8,1.17554
-24,13,1.183449
-38,15,1.192404
-43,16,1.202021
-26,12,1.209198
-20,10,1.215358
-14,8,1.220222
-18,9,1.225783
-12,7,1.230094
-70,26,1.245622
-24,11,1.252391
-8,5,1.255538
-14,7,1.259811
-31,13,1.268296
-29,15,1.573733
-5,7,1.5786
-13,7,1.583415
-13,9,1.589309
-12,7,1.593971
-15,10,1.60063
-30,12,1.608402
-5,6,1.612442
-29,13,1.620959
-1,6,1.624991
-24,10,1.631631
-16,8,1.636967
-22,9,1.642871
-13,9,1.648898
-9,7,1.653564
-11,7,1.658233
-27,12,1.66615
-22,10,1.672685
-15,10,1.679229
-14,7,1.684002
-10,8,1.689269
-15,8,1.694533
-22,11,1.701832
-16,10,1.708376
3,5,1.711777
-12,8,1.717301
-14,10,1.723835
-17,10,1.730382
-18,9,1.736439
-6,6,1.740468
-25,12,1.748267
-23,12,1.75701
-3,5,1.76046
-21,11,1.767948
-24,11,1.774863
-8,6,1.778655
-11,10,1.784829
-16,9,1.790284
-7,6,1.794034
-34,14,1.802512
-18,11,1.809114
-19,11,1.815897
-9,8,1.82076
-12,7,1.825127
-34,17,1.835354
-3,6,1.83907
-19,10,1.845083
-34,13,1.853025
-13,8,1.857913
-12,10,1.863925
-16,10,1.870143
-18,10,1.876269
-23,11,1.882984
-28,13,1.890721
-23,11,1.897307
-12,7,1.9018
-17,10,1.907802
-5,5,1.910935
-4,5,1.914096
-11,7,1.918498
-4,6,1.922193
-7,6,1.926021
-18,9,1.931484
-14,8,1.936475
-21,12,1.943592
-12,7,1.947845
-16,10,1.954184
-8,8,1.959715
-2,5,1.962846
-14,9,1.968437
-25,11,1.975047
-38,19,1.986388
-12,9,1.991866
-3,5,1.995068
-32,16,2.004712
-29,13,2.012447
-20,11,2.019225
-30,14,2.027642
-23,11,2.034433
-10,7,2.038709
-15,9,2.044209
-11,7,2.048657
-4,6,2.0524
-8,8,2.057305
-17,12,2.06446
-13,8,2.069421
-23,12,2.076662
-16,9,2.082424
-13,9,2.088376
-10,6,2.092131
-1,5,2.095305
-9,6,2.099169
-9,6,2.102926
-10,8,2.107833
-16,9,2.113337
-15,10,2.119503
-16,10,2.125632
-17,7,2.129982
-18,9,2.135571
-19,11,2.142164
-9,6,2.14587
-22,11,2.152641
-3,6,2.156397
-17,9,2.161829
-6,6,2.165611
-6,7,2.169899
-24,10,2.175959
-15,9,2.182368
-18,11,2.188944
-8,6,2.192675
-12,7,2.196983
-13,8,2.201906
-16,8,2.206774
-17,11,2.213357
-17,10,2.219474
-14,8,2.224384
-5,5,2.227561
-17,8,2.23249
