#{"t_start": 1660922351.3829813, "env_id": null}
r,l,t
-31,14,0.014532
-10,6,0.018702
-14,9,0.025119
-9,6,0.029253
-3,5,0.033115
-27,11,0.04045
-18,8,0.045908
-11,8,0.101914
-16,10,0.108811
-27,12,0.117096
-27,12,0.125065
-22,10,0.131908
-5,5,0.135405
-9,6,0.139543
-47,16,0.20067
-23,11,0.20804
-15,8,0.213542
-8,6,0.217782
-18,8,0.223217
-14,9,0.229261
-17,11,0.23674
-11,7,0.291711
-22,11,0.299378
-56,20,0.312424
-31,11,0.320009
-10,8,0.3254
-12,7,0.330174
-38,15,0.391036
-14,7,0.395829
-41,16,0.406554
-16,8,0.412027
-7,6,0.416335
-10,7,0.421086
-27,12,0.479284
-10,7,0.484245
-7,7,0.489028
-29,12,0.497053
-25,12,0.505165
-7,6,0.5093
-37,14,0.518857
-6,7,0.573913
-33,14,0.58342
-12,7,0.588195
-19,9,0.594249
-13,8,0.599869
-12,7,0.604803
-15,8,0.610426
-16,8,0.666465
-7,8,0.671913
-18,9,0.677983
-12,8,0.683467
-18,8,0.68886
-15,7,0.693609
-16,9,0.699743
-9,7,0.704509
-3,5,0.758396
-12,8,0.764019
-12,8,0.769526
-11,8,0.774957
-13,8,0.780383
-15,8,0.785966
-28,14,0.795214
-24,11,0.853063
-14,7,0.857851
-19,10,0.867667
-20,10,0.874379
-14,8,0.879798
-8,6,0.884071
-26,13,0.892673
-10,7,0.897501
-14,8,0.953398
-12,6,0.957552
-21,9,0.963607
-30,11,0.971129
-11,8,0.976527
-23,12,0.984611
-10,7,0.989362
-24,9,1.045779
-7,7,1.050701
-20,8,1.056123
-24,9,1.062178
-15,7,1.067097
-12,7,1.07192
-20,8,1.077326
-15,8,1.082909
-11,6,1.137132
-13,6,1.141442
-16,8,1.146924
-20,9,1.153112
-30,12,1.161108
-17,7,1.16603
-20,10,1.172765
-8,5,1.176253
-11,6,1.180376
-24,9,1.237206
-8,6,1.241351
-8,7,1.246157
-14,6,1.250438
-13,7,1.255213
-7,5,1.25871
-13,7,1.263481
-10,7,1.268425
-8,5,1.271901
-12,7,1.326934
-19,8,1.332588
-7,5,1.336088
-5,5,1.339573
-11,6,1.343692
-9,6,1.347911
-13,7,1.352824
-8,6,1.356965
-12,8,1.362379
-35,14,1.421978
-18,8,1.427419
-20,9,1.43355
-16,8,1.438944
-23,10,1.445638
-20,9,1.451755
-14,8,1.45717
-6,5,1.460654
-21,9,1.517403
-8,6,1.521587
-21,10,1.528307
-20,9,1.534509
-11,6,1.538642
-19,8,1.544057
-35,13,1.552793
-19,9,1.609007
-17,8,1.614533
-6,5,1.618246
-23,11,1.625607
-7,6,1.629734
-20,9,1.635977
-32,11,1.643324
-14,7,1.648184
-6,5,1.651759
-36,14,1.711195
-46,16,1.72201
-9,6,1.726165
-32,12,1.734311
-5,5,1.737798
-38,12,1.795944
-14,8,1.801583
-7,5,1.805049
-10,6,1.809385
-7,5,1.812881
-30,11,1.820668
-26,10,1.827388
-17,9,1.833632
-17,8,1.83919
-9,5,1.893366
-13,6,1.897789
-12,6,1.902044
-5,5,1.905522
-9,6,1.909643
-10,6,1.913758
-9,6,1.918145
-15,7,1.922938
-8,6,1.927062
-11,7,1.931895
-20,8,1.987754
-10,5,1.991264
-6,5,1.994767
-18,8,2.000343
-9,5,2.003841
-6,5,2.007324
-4,5,2.010807
-11,7,2.015682
-24,10,2.02239
-8,6,2.026536
-21,7,2.081393
-10,6,2.085697
-8,5,2.089256
-3,5,2.092787
-5,5,2.096285
-12,6,2.100587
-7,6,2.104719
-16,8,2.110136
-18,10,2.117077
-11,7,2.121888
-6,5,2.175459
-14,8,2.181068
-13,7,2.185993
-5,5,2.189476
-13,6,2.193605
-8,6,2.197731
-12,6,2.201997
-11,6,2.206137
-21,10,2.212828
-5,5,2.216455
-1,5,2.2705
-3,5,2.274052
-5,5,2.277576
-16,8,2.283157
-12,7,2.287956
-7,5,2.291447
-20,9,2.2975
-16,7,2.302434
-14,9,2.308482
-19,9,2.366868
-6,5,2.370437
-19,10,2.377177
-7,5,2.380772
-25,11,2.388328
-4,5,2.39183
-11,6,2.395964
-8,5,2.399653
-6,5,2.403138
-14,7,2.407901
-9,7,2.464046
-10,6,2.468502
-17,9,2.474611
-7,6,2.478749
-7,5,2.482361
-10,7,2.487202
-4,5,2.4907
-10,6,2.494841
-12,7,2.499834
-14,8,2.505251
-13,7,2.562454
-6,6,2.566758
-12,6,2.570933
-10,5,2.574423
-2,5,2.577921
-10,6,2.582063
-3,5,2.585734
-6,6,2.58987
-9,6,2.594005
-7,6,2.598134
-7,5,2.60185
-6,5,2.655765
-4,5,2.659374
-8,6,2.663639
-10,6,2.668006
-16,9,2.674117
-5,6,2.678258
-19,9,2.684499
-10,6,2.688632
-4,5,2.692131
-13,7,2.696899
-7,6,2.753191
-4,5,2.756737
-5,5,2.76024
-4,5,2.763748
-12,7,2.768855
-6,6,2.773001
-8,6,2.777176
-4,5,2.780668
-5,6,2.784974
-6,5,2.788472
-8,6,2.792608
-7,6,2.84722
-7,6,2.851624
-17,9,2.85773
-4,5,2.8612
-3,5,2.864674
-11,6,2.869009
-8,6,2.873145
-12,7,2.877958
-10,5,2.881441
-5,5,2.885123
-2,5,2.888616
-6,6,2.94533
-3,5,2.948982
-4,5,2.952682
-9,6,2.956837
-6,6,2.960985
-5,5,2.964475
-7,5,2.968189
-7,5,2.971776
-17,7,2.976565
-7,6,2.980694
-8,5,2.98437
-3,5,2.987898
-10,6,3.044825
-5,5,3.048497
-11,7,3.053456
-2,5,3.056951
-11,6,3.061095
-8,5,3.064584
-20,10,3.071512
-9,7,3.076294
-8,6,3.080497
-5,5,3.08417
-9,6,3.142637
-10,6,3.146924
-10,6,3.151338
-11,7,3.156122
-7,6,3.160242
-6,5,3.163753
-19,9,3.170029
-21,8,3.17543
-5,5,3.178944
-6,6,3.183249
-10,6,3.240482
-12,6,3.244666
-7,6,3.248859
-4,6,3.253187
-9,6,3.25733
-2,5,3.260828
-4,5,3.264342
-6,6,3.268657
-7,5,3.272177
-4,5,3.27567
-4,5,3.279182
-4,5,3.282736
-5,5,3.341491
-6,5,3.345243
-6,5,3.348917
-1,5,3.352628
-5,6,3.356776
-2,5,3.360275
-3,5,3.363796
-6,6,3.368112
-5,5,3.371625
-5,5,3.375116
-4,5,3.378613
-8,6,3.383061
-5,6,3.440498
-7,6,3.444663
-5,5,3.448159
1,5,3.451863
1,5,3.455375
-6,6,3.459518
-1,5,3.463053
-3,5,3.466713
0,5,3.470268
-21,9,3.476324
-3,5,3.479832
-12,7,3.539929
-2,5,3.543589
-9,6,3.547785
-4,5,3.551526
-13,8,3.556949
-4,5,3.560443
-9,6,3.564595
-2,5,3.568265
-5,5,3.571763
-5,5,3.57525
-7,5,3.57874
-4,5,3.582224
-2,6,3.640543
-9,6,3.644848
-7,5,3.648363
-6,6,3.65273
-5,5,3.656229
-3,5,3.659717
-1,5,3.663222
-3,5,3.666866
-2,5,3.67042
-9,6,3.674558
-5,6,3.67871
-4,5,3.682205
-10,7,3.745562
-2,5,3.749088
-3,5,3.752781
-8,6,3.756925
-3,5,3.760439
-6,6,3.764608
-4,5,3.768244
-1,5,3.771742
-8,7,3.776514
-8,6,3.780635
-4,5,3.784286
-8,6,3.84165
-12,7,3.846508
-5,5,3.850089
-2,5,3.85369
-6,6,3.857815
-3,5,3.861286
-2,5,3.864796
-4,5,3.868424
-6,6,3.872544
-2,5,3.876042
-3,5,3.879542
0,5,3.88303
-4,6,3.940386
-4,5,3.943974
-4,5,3.947478
-5,6,3.951811
-6,5,3.955317
-3,5,3.958825
-5,6,3.962957
-4,5,3.966474
-7,6,3.970745
-2,5,3.974244
-9,6,3.978388
-5,5,3.981879
-7,6,4.0394
-3,5,4.042983
-8,7,4.047781
-5,6,4.052103
0,5,4.055599
1,5,4.059088
0,5,4.062574
-1,5,4.066096
-1,5,4.069748
-2,5,4.073222
-4,5,4.076702
1,5,4.080188
-9,7,4.138063
-1,5,4.141649
-3,5,4.145157
-1,5,4.148647
-10,6,4.152954
-1,5,4.156457
-2,5,4.159963
-6,5,4.163459
-3,5,4.167043
-3,5,4.170604
-1,5,4.174087
0,5,4.177562
-3,5,4.234888
-2,5,4.238513
-6,6,4.24264
-2,5,4.246165
-6,6,4.250371
-5,5,4.253954
-2,5,4.257431
-1,5,4.26092
-3,5,4.264407
2,5,4.268032
-3,5,4.27151
-5,6,4.275628
-2,5,4.332835
-1,5,4.336547
-4,5,4.340094
-3,5,4.343576
-3,5,4.347093
0,5,4.350682
-3,5,4.354276
-2,6,4.358411
0,5,4.36191
-1,5,4.365404
3,5,4.369056
-1,5,4.372545
-4,5,4.376029
-4,5,4.432894
-1,5,4.436572
0,5,4.440076
-1,5,4.443576
-3,6,4.44774
-15,10,4.454647
-9,8,4.460058
-2,6,4.464206
-1,5,4.467896
-5,6,4.472035
-1,6,4.529171
1,5,4.532702
0,5,4.536367
0,5,4.539881
-3,5,4.54339
-2,5,4.546929
3,5,4.550488
-2,5,4.554123
-2,5,4.557604
-3,5,4.561093
-2,5,4.564695
1,5,4.568383
-1,5,4.571881
2,5,4.628324
-4,6,4.63261
-1,5,4.636294
0,5,4.639791
-2,5,4.643288
1,5,4.646801
1,5,4.650304
-10,8,4.655903
-1,5,4.659383
-3,5,4.662859
-2,5,4.666359
-6,6,4.670651
-1,5,4.727363
1,5,4.731001
-3,5,4.734756
-3,5,4.738259
-1,5,4.741752
0,5,4.745227
-3,5,4.748734
-1,5,4.752439
-1,5,4.755941
0,5,4.759442
-1,5,4.762939
-5,6,4.76723
-4,5,4.824095
-1,5,4.827689
-1,5,4.831251
1,5,4.834924
1,5,4.83842
2,5,4.841914
1,5,4.845396
-3,6,4.849559
-3,5,4.853225
-1,5,4.856718
-1,5,4.8602
0,6,4.864325
0,5,4.867937
-1,6,4.925246
-1,6,4.929421
-2,6,4.933563
1,5,4.937186
2,5,4.940666
-2,5,4.944166
0,5,4.947688
1,5,4.951307
0,5,4.954875
1,5,4.958369
3,5,4.961854
1,5,4.965329
-11,8,5.024164
3,5,5.027691
2,5,5.03119
-4,6,5.03546
0,5,5.038954
1,5,5.042444
3,5,5.04593
2,5,5.049433
0,5,5.053113
1,5,5.056606
-2,6,5.06074
1,5,5.06422
-3,6,5.12187
-6,6,5.126026
-10,8,5.131465
3,5,5.135156
-3,6,5.139289
2,5,5.142775
3,5,5.146262
3,5,5.14978
-3,7,5.154752
-6,7,5.159509
0,5,5.162987
1,5,5.219954
-10,7,5.224781
1,6,5.228957
2,5,5.232476
3,5,5.236108
1,5,5.239594
-2,5,5.243079
1,5,5.24657
-5,7,5.251484
-9,7,5.256319
2,5,5.259813
-1,5,5.316413
-2,6,5.320808
4,5,5.324304
0,6,5.328441
3,5,5.331946
3,5,5.335593
-2,5,5.339083
-1,5,5.342569
2,5,5.346061
-2,7,5.350862
1,5,5.354524
1,5,5.358022
-2,5,5.414808
-1,6,5.419242
3,5,5.422926
0,5,5.426417
1,5,5.429932
1,5,5.433478
-1,5,5.437208
1,5,5.440719
0,5,5.444216
0,5,5.4477
-8,7,5.452692
3,5,5.4562
2,5,5.513215
-1,6,5.517479
-1,6,5.521875
2,5,5.525383
-4,7,5.530208
3,5,5.533705
3,5,5.537307
-1,5,5.540816
2,5,5.544318
-1,5,5.547828
-2,5,5.551406
1,5,5.555011
0,5,5.61143
1,5,5.615062
3,5,5.618687
1,5,5.622229
2,5,5.625721
0,5,5.629227
3,5,5.632759
3,5,5.636381
-1,6,5.640517
4,5,5.644022
2,5,5.647524
3,5,5.651048
-11,9,5.71023
-2,5,5.713742
2,5,5.717227
5,5,5.720932
4,5,5.724441
2,5,5.727948
3,5,5.731483
-4,6,5.735757
1,5,5.739251
1,6,5.743388
2,5,5.746884
4,5,5.750386
3,5,5.80737
-2,6,5.811871
2,5,5.815489
