#{"t_start": 1660921037.8389237, "env_id": null}
r,l,t
-31,14,0.014004
-10,6,0.018044
-14,9,0.024471
-9,6,0.028929
-3,5,0.032341
-27,11,0.039627
-18,8,0.045005
-14,8,0.050284
-16,11,0.057681
-31,13,0.066076
-15,9,0.071962
-18,11,0.079315
-30,12,0.087082
-16,8,0.093899
-10,7,0.098536
-19,10,0.105065
-19,10,0.111827
2,5,0.115215
-21,11,0.122354
-13,8,0.127867
-9,6,0.131897
-25,12,0.139845
-21,12,0.147626
-13,9,0.153504
-8,6,0.15776
-48,19,0.169871
-65,25,0.185959
-26,10,0.192706
-14,7,0.197332
-10,7,0.201856
-43,16,0.211615
-18,9,0.217017
-24,11,0.223769
-29,12,0.230924
-11,8,0.235827
-7,7,0.240324
-27,14,0.248672
-36,15,0.257809
-20,9,0.263273
-16,8,0.268137
-18,9,0.273814
-28,10,0.279814
-20,9,0.285327
-25,10,0.292701
-10,6,0.296436
-10,7,0.300713
-16,10,0.30691
-14,7,0.31121
-13,9,0.316615
-12,8,0.32144
-34,13,0.329393
-37,14,0.622512
-19,10,0.629348
-32,12,0.637122
-19,12,0.645124
-8,7,0.649788
-13,8,0.655047
-21,10,0.661805
-17,8,0.667106
-17,11,0.674532
-10,7,0.679183
-10,7,0.683837
-12,8,0.689112
-10,6,0.694625
-20,10,0.701142
-15,10,0.707884
-22,11,0.715031
-23,10,0.721617
-7,5,0.725175
-17,9,0.731101
-28,12,0.738883
-15,10,0.745588
-13,8,0.750868
-14,8,0.756124
-8,6,0.76033
-30,14,0.769357
-54,20,0.782372
-16,9,0.788297
-28,13,0.796906
-15,9,0.802798
-12,6,0.80703
-10,9,0.812973
-17,8,0.818118
-20,10,0.824306
-33,13,0.832063
-14,8,0.836968
-38,17,0.847189
-20,10,0.85318
-19,10,0.859366
-14,7,0.863644
-20,11,0.870223
-10,6,0.874094
-10,8,0.878928
-11,8,0.883779
-14,9,0.889278
-14,8,0.895504
-39,17,0.90555
-19,10,0.911758
-15,9,0.917173
-15,9,0.922601
-12,8,0.927822
-12,9,0.933262
-33,13,0.941232
-35,15,0.950167
-17,8,1.249726
-8,7,1.254421
-12,8,1.259882
-25,11,1.267047
-22,12,1.275027
-20,10,1.281645
-9,7,1.286289
-14,10,1.294307
-1,5,1.29772
-13,8,1.303
-27,11,1.310404
-11,8,1.315669
-7,6,1.319692
-28,13,1.328291
-12,8,1.333555
-26,12,1.341421
-5,6,1.345436
-13,7,1.350092
-5,5,1.353474
-23,10,1.360115
-10,9,1.366021
-16,8,1.371299
-25,12,1.379225
-10,7,1.383877
-16,9,1.389778
-16,8,1.395502
-25,10,1.402032
-24,11,1.409329
-13,9,1.415231
-18,9,1.421124
-22,10,1.427805
-15,8,1.433064
-40,15,1.442814
-14,8,1.447674
-8,7,1.451988
-20,12,1.459305
-16,10,1.465309
-10,8,1.470188
-27,12,1.477492
-18,10,1.483562
-15,9,1.489058
-19,11,1.495991
-23,10,1.502046
-5,7,1.50636
-7,6,1.510275
-29,13,1.518388
-6,6,1.522087
-10,7,1.526599
-21,11,1.533221
-20,10,1.539396
-37,16,1.548961
-19,9,1.554441
-32,14,1.562915
-7,6,1.56661
-14,7,1.570908
-10,6,1.574776
-12,8,1.881197
-5,5,1.884712
-2,5,1.89256
-18,10,1.899121
-2,6,1.903147
-4,6,1.907177
-2,5,1.910773
-18,10,1.917284
-7,6,1.921304
-19,9,1.927404
-5,6,1.931441
-29,12,1.939237
-7,7,1.944179
-16,9,1.950286
-14,7,1.954947
-31,13,1.963477
-1,5,1.966876
-10,8,1.972152
-23,10,1.978786
-19,9,1.984673
-16,10,1.991281
-12,7,1.995961
-22,9,2.001856
-6,6,2.005888
-12,9,2.011916
-14,8,2.017192
-8,5,2.020591
-13,8,2.026002
-2,6,2.030031
-5,6,2.034145
-16,10,2.040673
-20,11,2.047939
-3,5,2.051343
-16,9,2.057229
-14,8,2.062658
-10,9,2.068537
-14,7,2.073148
-18,10,2.079344
-32,12,2.086594
-16,8,2.091859
-12,7,2.096261
-25,10,2.103103
-20,9,2.108737
-16,8,2.113619
-16,8,2.118455
-6,7,2.122729
-17,9,2.128309
-14,9,2.133785
-4,6,2.137536
-17,9,2.143121
-11,8,2.147977
-24,11,2.154585
-9,7,2.159026
-15,7,2.163306
-21,10,2.169309
-12,7,2.173622
-9,6,2.177469
-3,6,2.181217
-21,10,2.187296
-13,8,2.192335
-23,10,2.198422
-9,7,2.2028
-13,9,2.208405
-7,6,2.514648
-7,6,2.519037
-16,11,2.526643
-5,7,2.531287
-35,13,2.539659
-10,8,2.545087
-5,6,2.549117
-4,5,2.552514
-6,6,2.556553
-7,5,2.560118
-4,7,2.564907
-11,8,2.570184
-7,6,2.574219
-10,8,2.579621
-17,9,2.58552
-3,5,2.588914
-11,8,2.59433
-19,11,2.601479
-21,13,2.610003
-12,7,2.614652
-2,5,2.618052
-8,7,2.622687
0,5,2.626212
-16,10,2.632715
-13,9,2.638622
-22,11,2.645886
-5,7,2.650519
-18,9,2.656398
-17,10,2.663031
-11,7,2.667663
-14,8,2.672937
-16,9,2.678936
-16,10,2.685458
-6,6,2.689462
-23,11,2.69695
-4,5,2.700352
-8,8,2.705621
-12,8,2.710973
-20,11,2.717904
-16,8,2.722767
-11,8,2.727773
-12,8,2.732841
-8,6,2.7366
-19,12,2.743957
-14,7,2.748225
-5,6,2.751929
-4,6,2.756256
-19,10,2.762397
-15,9,2.767829
-11,8,2.772662
-3,5,2.775973
-20,11,2.782551
-7,6,2.786258
-15,9,2.791848
-26,11,2.798482
-18,10,2.804491
-7,7,2.808965
-11,8,2.813896
-15,9,2.819387
-20,11,2.826102
-6,6,2.829801
-9,8,2.834661
-10,7,2.839061
-18,8,2.844112
-10,7,3.176002
-13,8,3.181388
-5,5,3.184797
-18,9,3.190691
-7,6,3.194832
-3,6,3.198847
-15,8,3.204088
-9,7,3.208807
-3,5,3.212263
-25,11,3.219395
-6,6,3.223421
-25,12,3.231322
-5,7,3.235954
-16,8,3.241197
-5,5,3.244721
-14,8,3.249978
-5,6,3.253977
-18,10,3.260629
-8,7,3.265274
2,5,3.268668
-28,13,3.277269
-17,8,3.282539
-4,5,3.286217
-7,6,3.290249
-6,6,3.294507
-6,7,3.299145
-9,6,3.303171
-23,10,3.30984
-13,9,3.315747
-16,8,3.32104
-8,6,3.325069
-4,6,3.329237
-13,8,3.334517
-11,7,3.339193
-8,7,3.343958
-7,6,3.347965
-16,10,3.354479
-17,9,3.360479
-12,8,3.365737
-12,8,3.370861
-6,5,3.373985
-16,9,3.379576
-3,5,3.382702
-3,5,3.385819
-27,10,3.39188
-7,6,3.395699
-3,6,3.399437
-12,8,3.40429
-16,9,3.409901
-4,5,3.413027
-17,9,3.418492
-5,6,3.422194
-6,5,3.425381
-21,10,3.431454
-11,7,3.435739
-3,5,3.438908
-16,9,3.444513
-7,7,3.448791
-12,7,3.453068
-9,9,3.458527
-15,9,3.464037
-10,7,3.468298
-12,8,3.473133
-7,7,3.477622
-3,5,3.480744
-4,5,3.483872
-13,9,3.489871
-1,5,3.493325
-8,6,3.497114
-11,8,3.502045
-16,9,3.83459
-20,10,3.841285
-2,5,3.844833
-3,5,3.848238
-4,6,3.852268
-14,7,3.856931
-2,5,3.8605
0,5,3.863886
-8,7,3.868532
-10,6,3.87254
-13,7,3.877347
-4,6,3.881371
-3,6,3.885381
-6,6,3.889402
-7,6,3.893653
-2,5,3.897237
-6,5,3.900663
-3,6,3.904686
-3,5,3.908093
0,5,3.911716
-4,5,3.915091
1,5,3.918472
-13,7,3.923094
-2,5,3.926685
-7,7,3.931328
-12,8,3.936601
-4,6,3.940623
-3,5,3.94415
-5,7,3.948784
-12,7,3.953413
-1,5,3.956808
-13,8,3.962241
-9,7,3.966872
-10,7,3.971496
0,5,3.974887
-1,5,3.978455
-7,6,3.982471
-8,6,3.986489
-12,7,3.991138
-8,6,3.99534
-7,5,3.998738
-11,8,4.004001
-4,6,4.008021
-12,7,4.012869
-2,6,4.01743
-1,5,4.020835
-5,6,4.02487
-13,9,4.030721
-12,7,4.035025
-13,8,4.039916
-14,8,4.04501
-10,7,4.049327
0,5,4.052463
-8,7,4.05676
-22,13,4.064687
-3,5,4.067817
-4,7,4.072082
-20,9,4.077761
-13,8,4.082662
-8,5,4.085811
-3,6,4.089506
-30,12,4.097022
-6,5,4.100222
-11,7,4.104498
-11,7,4.108837
-24,11,4.115582
-2,5,4.118714
-14,9,4.124173
1,5,4.127437
-4,6,4.131136
-8,8,4.136024
-31,14,4.144604
-2,5,4.147735
-7,7,4.152013
-4,6,4.155717
-16,8,4.160754
-15,7,4.165042
-6,6,4.502777
-5,7,4.507507
-4,6,4.511707
-7,6,4.515733
-20,10,4.522256
-1,6,4.527535
-6,6,4.53434
-6,7,4.541984
-4,6,4.548434
-3,5,4.55344
-2,5,4.558404
-9,6,4.565058
-7,6,4.57199
-5,6,4.579353
-4,5,4.586063
-3,5,4.590164
1,5,4.594381
-10,7,4.60049
-9,6,4.604902
-4,5,4.608353
1,5,4.612463
-8,7,4.617814
-8,6,4.621854
-6,6,4.626349
-4,5,4.631313
-10,7,4.636262
-7,7,4.640946
-8,7,4.646051
-15,8,4.651321
-13,8,4.65657
0,5,4.660043
-5,6,4.664128
-10,7,4.668768
-10,8,4.674054
-3,6,4.678196
-6,6,4.682214
-7,6,4.686229
-6,7,4.690859
-3,5,4.694452
-1,5,4.697769
-8,6,4.701456
-7,7,4.705748
-3,5,4.708883
-10,8,4.714141
-4,5,4.717623
-8,7,4.722996
-5,6,4.728483
-4,5,4.731833
-3,5,4.735059
-4,6,4.738809
-7,6,4.742532
-2,5,4.746378
-6,6,4.750164
-5,6,4.753935
-7,6,4.757647
-2,5,4.761032
-1,5,4.764278
-9,6,4.76813
0,5,4.771372
-6,6,4.775184
-6,6,4.779063
-9,7,4.783464
-2,5,4.786682
-5,5,4.789905
-9,7,4.794388
-5,6,4.79818
-8,6,4.801977
-10,7,4.806368
-15,7,4.810812
-4,5,4.814019
-4,5,4.817269
-6,5,4.820492
-2,5,4.823723
-7,6,4.827578
-2,5,4.830791
-11,6,4.834593
-2,5,4.837812
-3,6,4.841614
-5,6,4.845411
-6,6,4.849208
-9,7,4.853598
-3,6,4.857386
-10,8,4.862366
-8,8,4.867355
-4,5,5.208118
-3,6,5.212449
-6,6,5.216474
1,5,5.219898
-7,7,5.22455
-2,5,5.228121
0,5,5.23153
-18,9,5.237429
3,5,5.240819
-4,6,5.245031
-15,8,5.250332
-8,6,5.254366
-3,6,5.258394
0,5,5.261955
2,5,5.265342
-18,9,5.271219
-3,5,5.274613
-5,5,5.278189
-4,5,5.281595
-5,5,5.284998
0,5,5.288404
-4,5,5.291806
-5,5,5.295549
-1,5,5.298952
-4,5,5.302353
-6,6,5.306374
-4,5,5.309803
-9,7,5.314609
-9,7,5.319272
-3,6,5.323303
-1,5,5.326698
-6,7,5.331511
-2,6,5.335523
-1,5,5.338927
-2,5,5.342327
0,5,5.345928
-4,5,5.349321
-6,6,5.353359
-10,7,5.358002
-3,5,5.361551
-4,5,5.364953
-14,9,5.370843
-3,5,5.374234
-10,7,5.379074
-11,7,5.383709
-12,7,5.388369
-8,6,5.392396
-5,5,5.395979
-4,6,5.400018
1,5,5.403427
3,5,5.406683
-2,5,5.409903
-1,5,5.413186
-3,5,5.416755
-10,8,5.42168
-13,8,5.426629
1,5,5.429933
-3,5,5.433053
-8,7,5.437315
-2,5,5.440447
-2,5,5.443614
0,5,5.446879
-6,6,5.450606
0,5,5.45374
0,5,5.456856
-3,5,5.460011
-4,5,5.463253
-5,6,5.466978
-5,6,5.470676
0,5,5.473809
-2,5,5.476923
-5,7,5.481291
-2,6,5.484998
-17,8,5.489904
-14,8,5.495094
-6,7,5.500541
-1,5,5.50369
-1,5,5.506931
-1,5,5.510112
-4,5,5.51333
-12,7,5.517624
-6,6,5.521334
-13,8,5.526337
-3,5,5.529523
-8,7,5.533816
-4,5,5.536953
-7,5,5.540087
-2,5,5.543313
-7,6,5.885485
-3,5,5.889062
-8,7,5.89374
-6,6,5.898157
-5,5,5.901562
-4,5,5.904962
1,5,5.908365
0,5,5.911962
-2,5,5.915369
-3,5,5.918777
-7,6,5.922805
-4,5,5.926291
-5,6,5.930505
-1,5,5.933916
-10,7,5.938572
-5,5,5.941979
-5,6,5.946187
-3,5,5.949588
-2,5,5.952982
1,5,5.956368
-2,6,5.960374
1,5,5.963943
-3,6,5.967976
-2,5,5.97138
-6,6,5.975407
0,5,5.97897
-10,7,5.983624
-2,5,5.987016
-6,5,5.990418
0,5,5.993805
-1,5,5.997353
-4,6,6.001371
-6,6,6.005389
-4,6,6.009403
-1,5,6.012989
-5,5,6.016443
-14,10,6.023237
-4,5,6.026632
-4,5,6.030219
-6,6,6.034245
-1,5,6.037645
-4,5,6.041062
-4,6,6.04537
-6,6,6.049406
-1,5,6.052809
-7,6,6.056828
-3,6,6.060897
-14,8,6.066246
-1,5,6.06965
-3,5,6.073047
-2,5,6.076447
0,5,6.079974
0,5,6.083178
-3,5,6.08631
-4,5,6.089451
-12,7,6.093724
-4,5,6.097105
-4,5,6.100276
-8,7,6.104596
-2,5,6.107736
-4,5,6.111012
-8,7,6.115376
-4,6,6.119078
-8,7,6.123366
1,5,6.126488
-6,6,6.130421
0,5,6.133547
-2,5,6.137522
-7,6,6.141224
-3,5,6.144443
-2,5,6.147677
-4,6,6.151394
-3,5,6.15452
-9,6,6.158224
-11,8,6.163221
-6,6,6.166933
-9,7,6.171241
-2,6,6.17496
-1,5,6.17824
-4,5,6.181374
-3,6,6.18511
-4,6,6.188877
-4,5,6.192004
-5,6,6.19586
1,5,6.199016
-5,6,6.202753
-5,5,6.205884
-1,6,6.209616
-9,6,6.213476
-2,5,6.216601
-2,5,6.21972
-2,6,6.557044
-3,5,6.560556
-3,5,6.564138
-4,5,6.567553
0,5,6.570967
-9,7,6.575614
-4,5,6.579226
-1,5,6.582661
-5,5,6.586082
2,5,6.589464
-1,5,6.592901
-7,6,6.597144
-3,5,6.600682
-5,5,6.604121
-7,7,6.608758
0,5,6.61237
-5,6,6.616394
-8,7,6.621316
1,5,6.624717
-2,6,6.628985
-7,6,6.633006
-2,5,6.636409
-2,6,6.64044
-11,7,6.645248
-6,6,6.64932
-6,6,6.653345
-2,6,6.657376
-4,6,6.661496
0,5,6.66497
-4,5,6.668355
0,5,6.671755
-2,5,6.675182
2,5,6.678782
-10,7,6.683428
-2,6,6.68746
0,5,6.690867
-4,5,6.694258
-7,6,6.699749
-3,5,6.703169
-3,5,6.706571
-4,6,6.710602
-2,5,6.714121
-4,6,6.718252
-1,5,6.721688
-4,7,6.726328
0,5,6.730005
-3,6,6.734071
-4,5,6.737459
0,5,6.740848
-1,5,6.744249
-3,5,6.747806
-3,5,6.751202
-3,5,6.754473
-1,6,6.758175
-3,5,6.761304
0,5,6.764582
-6,6,6.768282
1,5,6.771444
-1,5,6.774573
-3,5,6.777697
0,5,6.780989
-5,7,6.785272
-2,5,6.788406
-5,5,6.791564
-7,7,6.796748
-4,6,6.800528
0,5,6.803673
-4,6,6.807379
-3,5,6.810525
-3,5,6.813863
-3,5,6.816983
0,5,6.820108
-10,6,6.823811
-5,6,6.827517
-8,7,6.832021
-9,7,6.836305
-4,5,6.839463
-4,5,6.842605
-5,6,6.846525
-2,5,6.849749
1,5,6.852905
-1,5,6.856035
-2,5,6.859192
3,5,6.862458
-2,5,6.865578
-2,5,6.868691
-4,6,6.87242
-1,6,6.87611
-2,5,6.879396
-3,5,6.882523
-2,5,6.885647
-4,5,6.888763
-7,7,6.893059
-1,5,6.896448
-5,6,7.241971
-2,5,7.245503
-9,7,7.250242
0,5,7.253653
-4,5,7.25706
0,5,7.260468
0,5,7.264014
-2,6,7.268022
0,5,7.271417
1,5,7.274812
1,5,7.278205
-5,6,7.282389
0,5,7.285802
-4,5,7.289198
-3,5,7.292598
-3,6,7.296895
0,5,7.300311
-5,6,7.304349
0,5,7.307746
-3,6,7.311794
-1,6,7.315988
0,5,7.319397
-1,5,7.322791
1,6,7.326816
2,5,7.330379
-1,5,7.333778
2,5,7.337168
2,5,7.34056
-11,7,7.345206
-3,5,7.348758
-3,6,7.352776
-4,5,7.356211
-1,5,7.364072
-2,5,7.367462
1,5,7.370846
-3,5,7.374241
-1,5,7.377635
-1,5,7.381189
-3,5,7.384584
-2,5,7.387994
-4,7,7.392632
1,5,7.396193
-2,5,7.399601
0,5,7.403009
-1,6,7.407038
-2,5,7.410446
-1,5,7.414013
-4,6,7.418026
1,5,7.421411
1,5,7.424808
0,5,7.428194
0,5,7.431751
-1,5,7.435172
0,5,7.438304
1,5,7.441425
2,5,7.444587
-4,8,7.44952
-3,5,7.452728
0,5,7.455916
-4,5,7.459037
-2,5,7.46229
-4,6,7.465992
-3,5,7.469106
0,5,7.472227
-2,5,7.475383
-9,8,7.480387
0,5,7.483516
-5,5,7.486647
-6,6,7.49035
0,5,7.4935
1,5,7.497643
2,5,7.500827
0,6,7.504557
-1,5,7.507722
-4,6,7.511429
-3,5,7.514758
-11,8,7.519649
-3,6,7.523349
-3,5,7.526503
2,5,7.529864
-4,5,7.532992
0,5,7.536144
-4,5,7.539276
2,5,7.54241
-1,5,7.54582
-1,5,7.548952
-2,5,7.552179
-1,5,7.555365
-1,5,7.558497
1,5,7.561667
0,5,7.564896
-4,5,7.568109
-1,5,7.571322
-2,5,7.574543
3,5,7.577766
-1,5,7.580995
-2,6,7.921221
-3,5,7.924889
1,5,7.928347
-1,5,7.932055
-3,6,7.936071
-4,5,7.939472
2,5,7.942874
-1,5,7.946457
0,5,7.949884
-8,7,7.954552
-8,7,7.95924
-2,5,7.962793
