#{"t_start": 1660921871.9852145, "env_id": null}
r,l,t
-31,14,0.015796
-10,6,0.02062
-14,9,0.027063
-9,6,0.031954
-3,5,0.035437
-27,11,0.043452
-18,8,0.049842
-14,8,0.056097
-16,11,0.06467
-31,13,0.075418
-16,9,0.081405
-17,11,0.088721
-30,12,0.097688
-16,8,0.103461
-10,7,0.108438
-19,10,0.115115
-19,10,0.121704
1,5,0.125486
-20,11,0.132761
-13,8,0.138212
-9,6,0.142414
-24,12,0.150292
-21,12,0.158252
-13,9,0.164375
-8,6,0.168429
-49,19,0.180763
-55,21,0.333392
-9,7,0.338181
-17,9,0.344367
-9,7,0.349085
-10,6,0.353161
-20,9,0.36004
-8,6,0.364789
-16,10,0.371397
-1,5,0.374954
-15,9,0.381047
-11,7,0.385796
-3,5,0.389253
-27,14,0.398538
-20,11,0.405807
-5,6,0.410012
-19,11,0.417587
-14,8,0.422914
-7,6,0.427404
-6,6,0.431479
-5,5,0.434923
-19,9,0.440981
-38,16,0.451541
-22,11,0.45895
-13,8,0.464294
-18,8,0.469649
-7,8,0.475093
-16,9,0.48118
-17,9,0.487158
-18,12,0.495239
-22,12,0.65099
-12,7,0.655779
-22,10,0.662578
-3,5,0.666018
-18,8,0.671384
-16,8,0.67693
-14,7,0.681672
-8,7,0.686396
-22,10,0.693213
-30,13,0.701817
-28,13,0.71059
-14,9,0.716581
-24,12,0.724563
-15,8,0.730044
-12,7,0.73475
-15,9,0.740758
-9,6,0.744967
-2,6,0.749034
-19,9,0.755002
-16,10,0.761912
-6,6,0.766008
-9,8,0.771455
-14,9,0.777663
-13,8,0.78302
-16,8,0.788378
-14,9,0.794471
-17,9,0.800457
-20,10,0.80713
-12,6,0.811369
-9,7,0.816089
-15,8,0.821441
-6,5,0.976732
-4,5,0.98024
-20,11,0.987535
-16,9,0.993713
-12,9,0.999687
-5,5,1.003131
-5,6,1.007218
-10,7,1.012103
-14,7,1.017046
-12,7,1.021849
-12,7,1.026898
-23,12,1.034774
-13,8,1.040162
-10,7,1.045006
-15,8,1.050366
-15,8,1.055737
-12,7,1.060603
-18,9,1.06657
-15,9,1.072567
-16,11,1.079999
-10,8,1.085352
-18,10,1.091991
-9,5,1.095549
-3,6,1.099991
-20,10,1.106646
-6,5,1.110231
-13,6,1.114316
-25,11,1.121561
-16,10,1.128333
-15,8,1.133693
-23,11,1.14098
-27,15,1.302352
-19,11,1.30986
-8,8,1.315234
-3,5,1.318699
-15,8,1.324065
-8,7,1.329011
-18,11,1.336272
-20,10,1.34309
-10,8,1.34843
-10,6,1.352526
-3,5,1.355992
-8,6,1.360327
-10,8,1.365927
-27,11,1.373181
-9,7,1.378143
-12,9,1.384154
-12,8,1.389536
-35,14,1.398893
-8,6,1.403
-21,9,1.409086
-10,7,1.413919
-16,10,1.420549
-14,8,1.426014
-10,8,1.431461
-7,5,1.434911
-13,8,1.440319
-11,7,1.445221
-8,8,1.450551
-9,8,1.455902
-5,7,1.460802
-9,7,1.4655
-15,9,1.471478
-4,6,1.628041
-17,10,1.634745
-15,8,1.640156
-14,8,1.645715
-4,6,1.649808
-10,7,1.654541
-7,7,1.659351
-17,11,1.666672
-2,5,1.670118
-10,8,1.67548
-16,8,1.681049
-4,5,1.684519
-14,7,1.689239
-9,6,1.693525
-26,13,1.702112
-2,5,1.705659
-12,6,1.709857
-7,7,1.714631
-5,5,1.718125
-17,10,1.724804
-12,7,1.729736
-2,5,1.733189
-6,6,1.737263
-7,6,1.741349
0,5,1.745322
-25,15,1.755125
-15,10,1.762058
0,5,1.765512
-10,7,1.770223
-4,6,1.774295
-20,10,1.78112
-6,6,1.785223
-5,6,1.789305
-12,7,1.794221
-17,9,1.9516
0,5,1.955123
-6,5,1.95858
-7,7,1.963591
-7,7,1.968326
-8,7,1.973058
-12,7,1.977994
-4,5,1.981462
-4,5,1.984937
-2,5,1.988399
-10,6,1.992523
-4,5,1.996172
-5,6,2.000262
-10,7,2.004996
-5,5,2.008447
-12,9,2.014581
-6,6,2.01866
-10,6,2.022739
-2,6,2.027187
-3,6,2.031329
-6,6,2.035429
-5,6,2.039524
-13,8,2.045093
-3,6,2.049174
-12,7,2.053889
-8,7,2.058604
-2,5,2.062219
-5,6,2.066306
-4,5,2.069764
-3,5,2.073218
-8,7,2.078124
-23,11,2.085394
-10,6,2.089484
-6,5,2.093044
-5,5,2.096588
-9,6,2.100639
-7,6,2.104719
-4,5,2.108156
-10,7,2.113064
-12,8,2.118414
-6,6,2.122504
-14,9,2.281053
-5,7,2.285829
-4,5,2.289291
-15,8,2.295154
-8,6,2.299242
-7,5,2.302688
-12,8,2.308028
-10,7,2.31293
-16,9,2.318913
-7,7,2.32377
-5,6,2.328051
-6,6,2.332174
-7,7,2.336877
-3,5,2.340333
-5,6,2.344617
-9,7,2.349337
-9,8,2.354694
-10,7,2.359417
-5,6,2.363773
-9,7,2.368474
-6,7,2.373162
-6,6,2.377391
-4,7,2.382152
-7,7,2.386888
-6,5,2.390337
-9,6,2.39463
-4,5,2.398092
-8,5,2.401548
-9,8,2.406886
-10,7,2.411793
-1,6,2.418664
-4,6,2.422764
-9,7,2.427678
-7,6,2.431783
-6,7,2.436484
-7,6,2.440611
-4,6,2.444893
-7,6,2.448972
-4,5,2.452414
-10,7,2.457121
-3,6,2.612854
-4,5,2.61639
-4,5,2.619884
-5,6,2.623963
-3,5,2.627578
-5,5,2.631178
-1,5,2.634634
-2,5,2.638086
-9,6,2.642208
-14,8,2.647746
-12,8,2.653107
-5,5,2.656563
-4,5,2.660092
-5,5,2.663646
-7,6,2.667743
-12,7,2.672464
-10,7,2.677301
-1,5,2.680841
-1,5,2.684308
-4,6,2.688391
-11,8,2.693906
-5,6,2.698056
-2,5,2.701509
-3,6,2.705707
-6,5,2.709155
-7,6,2.713443
-3,6,2.717545
-2,5,2.721
-4,5,2.724461
-10,7,2.72938
-4,5,2.732843
-4,5,2.736286
0,5,2.739737
-6,6,2.743932
-7,7,2.748692
-2,5,2.752132
-1,6,2.756204
-6,7,2.761166
-5,5,2.764724
-10,9,2.770675
-6,6,2.774742
-3,6,2.778965
-3,5,2.782446
-8,6,2.786539
-10,8,2.944666
-3,5,2.948173
-6,5,2.95164
-10,6,2.955734
-1,6,2.959815
-9,7,2.964811
-5,5,2.968266
-3,5,2.971724
-1,5,2.975178
-5,5,2.978772
-6,5,2.982256
-4,5,2.985704
-6,6,2.989774
1,6,2.993966
-2,5,2.997464
-13,7,3.002159
-8,5,3.005606
-5,5,3.00905
-2,5,3.012649
-4,5,3.016096
-1,5,3.019547
-11,8,3.024892
-3,5,3.028484
1,5,3.031956
-1,5,3.035406
-6,7,3.040118
-3,6,3.044316
1,5,3.047794
-5,6,3.051859
-3,6,3.055931
-6,6,3.06
-2,6,3.064208
-7,6,3.068278
-9,6,3.072364
-6,5,3.075809
-2,5,3.079409
-4,5,3.082867
-7,7,3.087568
-4,6,3.091649
-1,5,3.095295
-8,7,3.099997
-6,6,3.10406
-6,6,3.10812
-8,7,3.112952
-7,6,3.270129
-1,5,3.27367
-3,5,3.277136
-4,6,3.281381
-4,6,3.285508
-3,6,3.289602
-4,5,3.293083
-3,6,3.297306
-12,7,3.302023
0,5,3.305477
-3,6,3.309564
-3,5,3.313154
-3,6,3.317237
-2,6,3.321322
1,5,3.324776
-1,6,3.328993
0,5,3.332474
-2,5,3.335913
-9,7,3.340632
-7,6,3.344898
-3,6,3.34898
-3,5,3.352427
0,5,3.355875
0,5,3.359319
0,5,3.363087
-4,5,3.366549
-2,6,3.370634
-2,5,3.37409
-6,6,3.378323
-7,7,3.383082
-3,5,3.386549
-2,5,3.39
-2,6,3.394202
-5,5,3.397719
-1,6,3.401813
-5,6,3.405887
-5,6,3.409968
0,5,3.413608
-3,5,3.417063
-3,5,3.420653
-6,5,3.4243
0,5,3.427832
0,5,3.431748
-8,6,3.435977
-2,5,3.439461
-4,6,3.443606
2,5,3.447264
-4,6,3.609537
-1,5,3.61319
0,5,3.616674
-4,6,3.620792
1,5,3.624248
-5,6,3.628484
-1,5,3.631958
-5,5,3.635412
-6,8,3.640759
0,5,3.644312
