#{"t_start": 1660921752.5711608, "env_id": null}
r,l,t
-31,14,0.013932
-10,6,0.018083
-14,9,0.024448
-9,6,0.028789
-3,5,0.032423
-27,11,0.039711
-18,8,0.045247
-14,8,0.050586
-16,11,0.057798
-31,13,0.066418
-15,9,0.072375
-18,11,0.079717
-30,12,0.087543
-16,8,0.092987
-10,7,0.097874
-19,10,0.104444
-19,10,0.111146
2,5,0.114578
-21,11,0.121818
-13,8,0.127277
-9,6,0.131325
-25,12,0.139175
-21,12,0.147152
-13,9,0.153076
-8,6,0.157126
-48,19,0.169486
-65,25,0.185677
-26,10,0.192356
-14,7,0.197073
-10,7,0.201709
-43,16,0.211662
-18,9,0.217223
-24,11,0.223917
-29,12,0.231276
-11,8,0.236167
-7,7,0.240515
-27,14,0.249022
-36,15,0.258079
-20,9,0.26372
-16,8,0.268626
-18,9,0.274149
-28,10,0.280402
-20,9,0.285883
-25,10,0.29205
-10,6,0.295784
-10,7,0.30015
-16,10,0.30628
-14,7,0.310737
-13,9,0.316195
-12,8,0.321206
-34,13,0.329216
-41,15,0.338201
-11,7,0.342676
-22,10,0.348715
-21,9,0.354208
-48,18,0.365123
-14,7,0.369438
-20,10,0.375636
-13,8,0.38055
-16,9,0.386014
-12,9,0.391458
-16,8,0.396532
-3,6,0.400299
-4,5,0.403492
-19,9,0.409186
-5,6,0.413073
-37,15,0.42214
-19,10,0.428332
-24,10,0.43439
-28,11,0.441047
-19,9,0.446661
-17,9,0.452166
-8,6,0.455902
-18,9,0.461657
-36,15,0.4706
-26,11,0.477399
-35,15,0.486574
-19,10,0.492865
-14,9,0.498457
-32,14,0.506896
-7,6,0.510824
-9,6,0.514583
-36,15,0.52363
-26,13,0.53163
-18,8,0.536532
-30,12,0.543918
-18,10,0.549969
-29,13,0.55787
-12,8,0.562935
-16,9,0.568398
-27,11,0.575041
-25,13,0.583013
-14,7,0.587327
-20,10,0.59354
-18,9,0.599051
-16,9,0.604562
-23,11,0.611735
-40,16,0.621782
-17,10,0.627996
-33,14,0.636463
-25,11,0.643296
-14,8,0.648312
-8,7,0.800486
-18,12,0.808429
-6,6,0.812765
-8,6,0.816859
-7,6,0.82094
-27,12,0.828988
-12,7,0.83371
-11,8,0.839193
-30,11,0.846581
-25,11,0.853842
-33,15,0.863761
-17,8,0.869094
-7,6,0.873169
-23,11,0.880642
-13,7,0.88536
-7,6,0.889433
-20,10,0.896215
-44,17,0.907262
-33,13,0.915928
-22,10,0.922572
-12,7,0.927428
-32,13,0.935924
-17,8,0.941254
-21,10,0.947974
-16,10,0.954583
-10,6,0.958654
-11,8,0.964132
-25,11,0.971766
-10,7,0.976623
