#{"t_start": 1660921533.1868212, "env_id": null}
r,l,t
-24,11,0.011135
-36,15,0.021298
-7,6,0.025519
-25,13,0.034177
-22,12,0.042061
-49,20,0.054991
-33,13,0.063511
-21,12,0.071336
-31,12,0.079304
-31,12,0.08709
-9,6,0.091114
-10,7,0.09592
-16,8,0.101198
-36,16,0.111644
-27,12,0.119425
-35,15,0.129188
-10,8,0.134478
-13,8,0.139756
-12,7,0.144617
-46,18,0.156255
-8,9,0.162288
-32,13,0.17072
-13,7,0.175448
-31,11,0.182636
-16,10,0.189184
-39,16,0.199575
-9,7,0.203936
-29,12,0.211304
-10,8,0.216151
-25,12,0.223295
-31,14,0.231825
-11,8,0.23667
-27,10,0.242784
-56,24,0.256939
-37,15,0.265942
-10,7,0.270321
-17,9,0.275897
-27,11,0.282521
-24,9,0.287979
-26,13,0.29595
-29,13,0.303735
-19,9,0.309293
-3,5,0.312485
-14,9,0.317988
-20,11,0.324552
-13,7,0.329038
-26,13,0.456524
-17,9,0.462612
-18,10,0.46916
-34,15,0.47893
-27,11,0.486089
-33,14,0.495287
-13,8,0.500584
-17,7,0.50526
-14,7,0.510051
-32,15,0.519689
-27,13,0.52828
-18,9,0.534192
-9,8,0.539457
-14,8,0.544947
-37,14,0.554007
-8,6,0.558031
-11,9,0.564038
-9,7,0.568714
-18,9,0.574624
-20,11,0.581873
-22,11,0.589021
-21,10,0.595673
-25,11,0.602801
-23,9,0.609258
-14,8,0.615062
-10,7,0.619712
-9,6,0.623722
-29,12,0.634309
-9,7,0.640044
-20,10,0.646704
-22,9,0.65224
-11,8,0.657123
-22,13,0.664944
-27,14,0.673312
-2,5,0.67654
-17,9,0.682014
-4,5,0.685143
-17,9,0.690612
-35,13,0.698571
-20,10,0.704571
-16,9,0.710177
-10,7,0.71445
-21,11,0.721013
-18,10,0.727182
-29,13,0.734924
-16,12,0.742194
-15,9,0.747926
-15,10,0.753926
-8,7,0.758188
-19,9,0.76369
-7,6,0.767402
-15,8,0.772285
-6,6,0.776079
-28,13,0.905722
-16,10,0.912591
-14,7,0.917288
-12,7,0.921988
-18,9,0.928049
-3,5,0.931478
-20,9,0.937411
-17,7,0.942141
-2,5,0.945732
-11,7,0.950423
-38,16,0.961032
-20,9,0.966966
-22,11,0.974167
-37,15,0.983984
-25,12,0.991793
-18,9,0.997844
-11,7,1.002497
-15,8,1.007771
-20,11,1.015115
-22,10,1.021632
-35,15,1.031426
-13,7,1.036072
-18,9,1.041967
-9,6,1.046134
-28,13,1.054565
-7,6,1.058594
-10,8,1.064
-24,11,1.07113
-17,9,1.077145
-16,9,1.083045
-6,7,1.088068
-4,6,1.092112
-14,8,1.097531
-15,8,1.102548
-10,7,1.106911
-5,5,1.110174
-3,6,1.11389
-15,9,1.119333
-10,9,1.124764
-22,10,1.130903
-8,7,1.135182
-33,13,1.143061
-18,9,1.148748
-39,16,1.158309
-13,7,1.162768
-15,8,1.167641
-5,6,1.171439
-18,10,1.177537
-7,5,1.180703
-21,11,1.187361
-19,10,1.193933
-18,9,1.199489
-7,7,1.203812
-17,8,1.208942
-19,11,1.216001
-38,15,1.22514
-37,14,1.35485
-25,11,1.362483
-19,9,1.36852
-14,8,1.373832
-43,16,1.384302
-9,8,1.389578
-15,9,1.395672
-9,6,1.399701
-32,15,1.409409
-16,9,1.415403
-12,8,1.420703
-13,8,1.426063
-13,7,1.430783
-10,6,1.434829
-21,10,1.441355
-10,6,1.445688
-29,12,1.453562
-29,12,1.461608
-35,14,1.470968
-9,7,1.475645
-14,9,1.481733
-13,8,1.487029
-12,8,1.492347
-12,7,1.497108
-9,8,1.502384
-7,6,1.506415
-29,13,1.514951
-26,12,1.522743
-6,6,1.526937
-7,6,1.530979
-18,10,1.537522
-14,9,1.543641
-20,10,1.550326
-18,12,1.557561
-13,9,1.563136
-21,11,1.569738
-18,9,1.575177
-11,8,1.580172
-18,9,1.585595
-35,15,1.594671
-27,15,1.60358
-32,15,1.612647
-6,6,1.616348
-19,11,1.622924
-22,12,1.630201
-6,7,1.634527
-22,11,1.641624
-16,11,1.648575
-17,10,1.654674
-9,6,1.658424
-15,8,1.663461
-24,11,1.670174
-11,7,1.674486
-32,14,1.682947
-11,7,1.808418
-50,17,1.819927
-32,14,1.82921
-27,12,1.837006
-10,7,1.841666
-19,12,1.849632
-21,11,1.856806
-8,7,1.861561
-22,11,1.868705
-14,9,1.874613
-6,5,1.878124
-13,7,1.882774
-12,9,1.888655
-36,14,1.897764
-24,11,1.904918
-11,7,1.909678
-20,10,1.916248
-14,7,1.920889
-22,10,1.927521
-30,13,1.935943
-9,6,1.939971
-15,8,1.945457
-31,14,1.954481
-15,10,1.96112
-27,12,1.969409
-15,8,1.974681
-7,5,1.978188
-17,10,1.984738
-19,8,1.990014
-17,8,1.995418
-20,9,2.001316
-19,8,2.0062
-6,6,2.010084
-33,14,2.018463
-13,7,2.022758
-10,8,2.027755
-21,12,2.035015
-18,10,2.041019
-17,10,2.047206
-17,10,2.053416
-15,10,2.059461
-7,6,2.063315
-33,13,2.071087
-16,9,2.076774
-27,13,2.084503
-34,12,2.091667
-31,13,2.099611
-13,10,2.105659
-13,7,2.110139
-16,8,2.11505
-22,11,2.121758
-19,10,2.127944
-21,11,2.255639
-18,9,2.261847
-2,6,2.265931
-30,12,2.273746
-10,6,2.277915
-17,10,2.284431
-18,9,2.290344
-10,9,2.296419
-15,8,2.301878
-16,10,2.308438
-7,6,2.312609
-4,6,2.316702
-12,8,2.321995
-11,6,2.326035
-22,11,2.333336
-6,6,2.337376
-28,14,2.346663
-5,6,2.350695
-30,14,2.359777
-17,9,2.365826
-19,9,2.371733
-21,12,2.379642
-42,17,2.390544
-22,10,2.397261
-14,8,2.402545
-10,7,2.40721
-14,9,2.413369
-9,7,2.418245
-19,11,2.425396
-17,9,2.431428
-15,8,2.436733
-12,8,2.442014
-17,11,2.44938
-32,12,2.45669
-14,8,2.461949
-15,9,2.46742
-35,14,2.475781
-22,11,2.482558
-16,10,2.488554
-22,11,2.495301
-21,10,2.501404
-21,10,2.507448
-20,10,2.51357
-16,9,2.519026
-3,5,2.522158
-24,10,2.5284
-24,11,2.535039
-12,7,2.539368
-14,8,2.545227
-17,8,2.550272
-18,9,2.555749
-17,8,2.5608
-8,6,2.564527
-14,7,2.568831
-14,8,2.573709
-16,8,2.57876
-11,7,2.583042
-18,9,2.708886
