#{"t_start": 1660922043.348133, "env_id": null}
r,l,t
-31,14,0.014027
-10,6,0.018201
-14,9,0.024944
-9,6,0.029363
-3,5,0.033028
-27,11,0.040587
-18,8,0.04604
-10,8,0.082766
-16,9,0.08888
-24,11,0.096446
-6,8,0.101888
-31,12,0.110136
-17,9,0.116237
-10,6,0.12039
-45,16,0.161906
-31,14,0.171239
-10,7,0.176186
-20,9,0.182287
-12,9,0.188373
-23,13,0.197185
-11,8,0.234416
-24,12,0.242602
-49,18,0.254507
-11,6,0.25884
-9,6,0.26299
-15,10,0.269713
-27,12,0.308623
-32,12,0.3167
-58,22,0.331397
-17,8,0.336841
-21,11,0.344345
-15,9,0.381742
-2,5,0.385593
-38,16,0.39652
-14,8,0.401963
-22,10,0.40882
-28,11,0.416201
-16,9,0.422267
-12,9,0.459341
-12,8,0.464831
-17,8,0.470277
-18,9,0.476544
-24,12,0.484575
-20,10,0.491464
-7,7,0.496258
-11,7,0.531694
-10,9,0.537807
-17,9,0.544086
-28,13,0.552789
-10,6,0.557103
-7,7,0.561948
-13,8,0.567393
-12,8,0.604498
-19,10,0.611998
-6,6,0.616241
-10,8,0.621688
-10,8,0.627374
-16,9,0.633512
-17,9,0.639673
-9,8,0.645249
-7,7,0.681143
-5,6,0.685531
-9,8,0.691201
-7,7,0.696027
-12,8,0.701495
-17,10,0.708461
-11,7,0.713275
-9,8,0.718722
