#{"t_start": 1660922380.871178, "env_id": null}
r,l,t
-11,7,0.01092
-19,12,0.020524
-13,8,0.02632
-20,9,0.032673
-19,8,0.038321
-17,7,0.043099
-28,13,0.05201
-12,8,0.057423
-27,12,0.06543
-28,13,0.074258
-19,10,0.080951
-23,11,0.08842
-36,14,0.097696
-16,7,0.102582
-26,11,0.109929
-23,11,0.1174
-12,8,0.122887
-27,10,0.129614
-12,8,0.135113
-13,7,0.139856
-22,10,0.146548
-47,19,0.159155
-15,8,0.164548
-38,17,0.175868
-24,12,0.18391
-30,13,0.192618
-15,9,0.198692
-21,12,0.206336
-14,8,0.211309
-18,8,0.2163
-23,10,0.222602
-20,11,0.229334
-25,10,0.235612
-21,9,0.241154
-28,12,0.248487
-11,8,0.25379
-49,19,0.265228
-20,9,0.270994
-19,12,0.278311
-13,7,0.282677
-21,10,0.289012
-19,11,0.295756
-11,8,0.300835
-9,6,0.304676
-8,6,0.308482
-13,7,0.312857
-6,7,0.317429
-19,9,0.323012
-19,10,0.32918
-35,14,0.337821
-23,10,0.343973
-24,12,0.351496
-11,7,0.355887
-11,7,0.360266
-7,7,0.364634
-34,13,0.372807
-23,10,0.378935
-21,11,0.385898
-19,10,0.39206
-25,12,0.399396
-11,7,0.403991
-18,8,0.408988
-13,7,0.41338
-6,6,0.417383
-31,12,0.424712
-11,9,0.430293
-21,12,0.437753
-16,8,0.44272
-23,9,0.448305
-23,11,0.455387
-29,13,0.463328
-19,9,0.469035
-37,14,0.477571
-14,8,0.482548
-11,9,0.488232
-31,12,0.495608
-30,14,0.504386
-39,15,0.513522
-18,8,0.518656
-33,16,0.528795
-9,6,0.532636
-34,13,0.540769
-15,8,0.545755
-12,7,0.550165
-12,8,0.555315
-9,6,0.559112
-25,13,0.567073
-26,11,0.574036
-40,18,0.58507
-37,17,0.595392
-22,10,0.601797
-9,5,0.605177
-7,6,0.609045
-13,8,0.614142
-25,13,0.622316
-22,10,0.628531
-13,7,0.632977
-12,7,0.637614
-17,9,0.643221
-4,6,0.647131
-11,8,0.652391
-18,8,0.65751
-12,7,0.66202
-30,14,0.753573
-4,5,0.757095
-12,6,0.761252
-36,15,0.771318
-16,10,0.77804
-8,6,0.782178
-10,6,0.78657
-21,9,0.792664
-20,10,0.79939
-15,7,0.804305
-2,6,0.80844
-17,10,0.815162
-24,11,0.822619
-9,7,0.827397
-20,10,0.83418
-21,11,0.841563
-17,9,0.847638
-7,6,0.851988
-3,5,0.855541
-19,9,0.861603
-13,7,0.866374
-13,8,0.871927
-32,11,0.879243
-39,15,0.889181
-13,8,0.89464
-17,9,0.900917
-9,6,0.905518
-30,15,0.915423
-12,7,0.920291
-35,13,0.929006
-6,6,0.933166
-15,8,0.938671
-15,8,0.943942
-2,5,0.947165
-20,9,0.952915
-17,9,0.958509
-21,9,0.964078
-19,9,0.969858
-3,6,0.973679
-20,10,0.979822
-13,7,0.984282
-24,11,0.991045
-7,6,0.994884
-16,8,0.999864
-7,6,1.003918
-15,9,1.0095
-4,6,1.013628
-8,6,1.017552
-30,13,1.025658
-15,8,1.030628
-16,8,1.035801
-32,13,1.043728
-20,9,1.04931
-13,7,1.054116
-11,7,1.058526
-9,6,1.062325
-19,9,1.068037
-24,10,1.074296
-12,7,1.078679
-7,7,1.083056
-7,5,1.086448
-9,6,1.09025
-17,9,1.095832
-25,10,1.102153
-4,6,1.105949
-8,7,1.110324
-23,10,1.116458
-15,8,1.121582
-11,8,1.126556
-21,10,1.132694
-12,7,1.137626
-13,8,1.142595
-7,5,1.145811
-23,11,1.152734
-1,5,1.155952
-10,6,1.159749
-19,9,1.165306
-5,5,1.168693
-17,8,1.173725
-4,5,1.176921
-25,11,1.183681
-9,7,1.188263
-5,6,1.192055
-14,8,1.197063
-10,7,1.201633
-5,6,1.205606
-5,6,1.209819
-10,8,1.214848
-16,9,1.220622
-17,7,1.225068
-24,10,1.231236
-28,10,1.237614
-14,8,1.242598
-9,7,1.247092
-37,12,1.254712
-11,7,1.259194
-20,10,1.265496
-2,5,1.268847
-16,8,1.274499
-9,7,1.278984
-9,7,1.283476
-8,6,1.287397
-20,10,1.293744
-7,5,1.297037
-24,11,1.304017
-17,9,1.309733
-16,10,1.316061
-8,6,1.320012
-6,5,1.323315
-22,11,1.330266
-14,7,1.334811
-13,7,1.339309
-39,15,1.348522
-15,8,1.353694
-21,11,1.360443
-21,10,1.366605
-28,13,1.37474
-22,11,1.381491
-8,6,1.385499
-33,15,1.394608
-34,13,1.402771
-35,14,1.51069
-16,8,1.516217
-13,8,1.523912
-9,5,1.527408
-4,7,1.532171
-2,5,1.535816
-19,10,1.542534
-29,13,1.5512
-12,7,1.556068
-10,6,1.560348
-10,7,1.56513
-16,10,1.571978
-30,13,1.580583
-8,6,1.584758
-13,8,1.590229
-4,5,1.593715
-23,10,1.60043
-9,7,1.605334
-8,6,1.609463
-17,7,1.614259
-11,6,1.618464
-2,6,1.622678
-6,7,1.627457
-7,6,1.631596
-4,5,1.635186
-2,5,1.638707
-28,12,1.646692
-26,13,1.655564
-9,7,1.660338
-29,11,1.667668
-17,9,1.673852
-10,7,1.678644
-17,10,1.685456
-14,8,1.690837
-15,8,1.696262
-15,7,1.701019
-6,6,1.70521
-22,10,1.711365
-35,16,1.721211
-20,10,1.727367
-6,6,1.731153
-23,11,1.738126
-32,12,1.745432
-7,6,1.749206
-18,9,1.754917
-6,5,1.758713
-6,5,1.76193
-12,8,1.766903
-6,5,1.7702
-14,9,1.775815
-4,5,1.779032
-12,6,1.78283
-19,10,1.789181
-26,10,1.795438
-25,12,1.802951
-13,8,1.808447
-5,5,1.811717
-23,10,1.818001
-17,9,1.823781
-2,5,1.827028
