#{"t_start": 1660920913.15635, "env_id": null}
r,l,t
-11,7,0.008704
-19,12,0.016615
-13,8,0.022565
-20,9,0.028477
-19,8,0.033883
-17,7,0.038564
-28,13,0.046932
-31,13,0.158147
-2,5,0.161611
-35,14,0.170812
-11,7,0.175443
-20,10,0.181958
-9,6,0.187432
-10,7,0.192068
-19,9,0.302475
-20,9,0.308383
-10,6,0.312399
-10,7,0.317128
-10,7,0.321821
-5,5,0.3252
-34,13,0.333584
-13,7,0.338386
-10,7,0.448125
-11,8,0.453553
-5,7,0.458177
-13,7,0.462808
-15,9,0.468817
-13,7,0.47345
-9,7,0.478087
-6,5,0.481472
-10,7,0.486269
-32,12,0.597623
-25,9,0.603762
-32,14,0.612954
-6,5,0.616473
-17,9,0.622545
-26,11,0.629676
-31,12,0.741463
-6,5,0.744868
-11,6,0.748903
-16,8,0.754253
-2,5,0.757656
-15,7,0.7623
-9,7,0.766948
-17,8,0.772301
-39,15,0.885567
-3,5,0.888992
-11,7,0.893638
-7,5,0.897049
-23,9,0.903023
-11,6,0.907034
-14,7,0.911665
-12,6,0.915664
-13,6,0.919743
-15,7,0.924361
-8,6,1.03201
-22,9,1.038101
-13,7,1.042729
-18,8,1.048009
-2,5,1.051465
-8,6,1.055503
-6,6,1.059513
-22,9,1.065411
-7,5,1.068891
-24,9,1.178298
-10,7,1.182966
-10,7,1.187873
-18,9,1.193754
-8,6,1.197795
-10,6,1.201923
-18,8,1.207477
-14,7,1.212133
-3,5,1.215528
-6,6,1.219953
-6,5,1.327945
-7,6,1.331997
-6,6,1.336155
-17,9,1.342069
-5,5,1.345472
-4,5,1.348888
-16,8,1.354263
-22,9,1.360129
-28,11,1.367273
-17,8,1.479123
-13,9,1.485113
-3,5,1.488574
-4,6,1.492625
-18,8,1.497936
-8,6,1.502061
-4,5,1.505443
-7,5,1.508828
-18,9,1.514698
-15,7,1.631868
-5,5,1.635389
-4,5,1.638875
-4,5,1.642272
-8,7,1.64693
-7,6,1.650962
-4,5,1.654466
-5,5,1.657852
-4,6,1.661873
-8,5,1.665271
-12,7,1.670016
-8,5,1.673405
-9,6,1.789958
-16,8,1.795223
-3,5,1.798637
-6,6,1.80277
-7,6,1.80704
-45,15,1.816806
-17,9,1.823073
-14,7,1.827719
-9,7,1.944865
-5,5,1.948309
-6,6,1.952435
-6,6,1.956502
-3,5,1.959901
-3,5,1.963299
-3,5,1.966694
-12,6,1.97081
-17,8,1.976061
-10,7,1.980717
-3,5,1.984104
-1,5,2.100396
-8,6,2.104564
-8,7,2.109203
-11,8,2.114474
-6,5,2.118
-8,6,2.1222
-9,6,2.126291
-7,6,2.130318
-5,5,2.133714
-5,6,2.137858
-6,5,2.141253
-5,6,2.257757
-1,5,2.261182
-6,6,2.265206
-18,10,2.271873
-12,6,2.27589
-25,10,2.282393
-6,5,2.285874
-12,7,2.290546
-3,5,2.293937
-5,5,2.410382
-7,6,2.41457
-6,6,2.4186
-2,5,2.422194
-2,5,2.425598
-9,6,2.429612
-6,5,2.433061
-5,6,2.437171
-21,9,2.443064
-3,5,2.44645
-6,6,2.450499
-2,5,2.56629
-6,5,2.56982
-5,5,2.573225
-3,5,2.576629
-3,6,2.580669
-7,7,2.585327
0,5,2.589
0,5,2.592406
-8,7,2.597044
-3,5,2.600463
-8,6,2.604546
-3,6,2.608556
-16,9,2.726799
-3,5,2.730217
-5,5,2.733613
0,5,2.737116
-16,10,2.743615
-6,5,2.747017
-2,5,2.750432
-7,6,2.754616
-8,8,2.759877
-5,6,2.763932
-8,6,2.880661
0,5,2.884123
-4,5,2.891756
-3,5,2.89517
-5,5,2.898562
-7,6,2.902647
-1,5,2.906104
-5,5,2.909493
-3,5,2.913023
-4,5,2.916424
-7,5,2.919918
-10,7,2.92454
0,5,3.041268
-4,5,3.044744
0,5,3.048125
-9,6,3.05216
-1,5,3.055656
-6,5,3.059043
-4,5,3.062474
-1,5,3.065867
-6,5,3.069314
-5,5,3.072753
-5,5,3.076138
-4,6,3.080151
-3,5,3.196487
-4,6,3.200572
-2,5,3.204103
-3,5,3.207494
-2,5,3.210902
-2,5,3.214302
-3,5,3.217708
-9,7,3.222508
-18,9,3.228377
-12,9,3.234268
-6,5,3.237789
-1,5,3.3537
-3,6,3.357736
-1,5,3.361136
-6,6,3.365159
-1,5,3.368567
-4,5,3.372084
-4,5,3.37548
-6,5,3.37893
-1,5,3.382318
-6,6,3.386393
-2,5,3.390016
-5,5,3.393411
-4,6,3.510143
-6,6,3.514205
-5,6,3.518217
-10,8,3.523646
-3,6,3.527668
-1,5,3.531051
-7,6,3.535056
-10,7,3.539807
-6,7,3.544446
-5,5,3.547836
0,5,3.664991
0,5,3.668483
0,5,3.671999
-7,5,3.6754
-6,6,3.679424
-2,5,3.682816
-4,5,3.686207
-5,5,3.689725
-3,5,3.693122
-7,5,3.696521
-3,5,3.699905
-1,5,3.703381
-1,5,3.706836
1,5,3.822757
2,5,3.826178
-2,5,3.829569
-2,6,3.833579
3,5,3.837042
-1,5,3.840495
0,5,3.843891
0,5,3.847287
1,5,3.850691
-2,6,3.854828
2,5,3.858212
1,5,3.861603
0,5,3.977349
1,5,3.980795
2,5,3.9842
3,5,3.987785
1,5,3.991274
0,5,3.994671
-1,5,3.998073
3,5,4.001484
-1,5,4.005037
-4,5,4.008447
0,5,4.011836
-1,5,4.015335
1,5,4.018731
1,5,4.134748
1,6,4.138908
0,6,4.142935
-6,7,4.147556
0,5,4.150952
-1,6,4.155098
-4,7,4.159737
0,6,4.16376
1,5,4.167174
1,5,4.170638
-22,12,4.291331
0,5,4.294765
1,6,4.298779
0,5,4.302192
1,5,4.305712
1,5,4.309104
2,5,4.31249
2,5,4.315885
1,5,4.319276
4,5,4.322782
1,6,4.326791
5,5,4.330174
2,5,4.446499
2,5,4.449961
-2,5,4.453382
1,5,4.456896
1,5,4.460292
-4,7,4.464927
0,6,4.468954
1,5,4.472469
4,5,4.475857
-7,7,4.480486
4,5,4.483876
-59,24,4.611843
1,5,4.615267
-8,8,4.620574
2,5,4.624064
-2,6,4.628091
3,5,4.631575
1,5,4.634976
-1,5,4.638494
0,5,4.641893
0,5,4.757276
3,5,4.76072
-1,6,4.76474
0,6,4.768779
3,5,4.772292
-1,6,4.776299
2,5,4.779682
0,5,4.783066
1,5,4.78645
-1,5,4.790053
-2,5,4.793457
0,5,4.79685
-1,5,4.800252
1,5,4.916843
-7,7,4.921554
0,5,4.924957
-2,6,4.928998
2,5,4.932389
1,6,4.936429
-2,6,4.940506
-1,5,4.943899
1,5,4.947293
-2,5,4.950707
-2,6,4.954778
0,5,5.070698
0,5,5.074225
-1,5,5.077628
-1,6,5.081645
4,5,5.085033
2,5,5.088554
0,5,5.091991
-1,5,5.095379
1,5,5.09877
1,5,5.102165
1,5,5.105675
2,5,5.109079
-6,6,5.113094
-10,8,5.230683
-1,5,5.234112
0,5,5.23751
0,5,5.241051
2,5,5.244475
2,5,5.247876
2,5,5.251301
-1,5,5.254779
-1,5,5.258232
2,5,5.261638
-1,5,5.265047
-2,6,5.26914
1,5,5.384865
4,5,5.388328
2,5,5.39185
1,5,5.395251
4,5,5.398658
-6,7,5.403331
1,5,5.406827
-3,6,5.410863
1,5,5.414274
3,5,5.417855
0,5,5.42133
3,5,5.42485
2,5,5.541022
3,5,5.544446
-12,9,5.550362
3,5,5.553793
2,5,5.557293
5,5,5.560689
1,6,5.5647
-1,7,5.56934
2,5,5.572842
1,5,5.576238
1,5,5.57963
2,6,5.696802
1,5,5.700229
0,5,5.703628
2,5,5.70712
4,5,5.710559
3,5,5.713982
2,5,5.717369
3,5,5.720753
2,5,5.724195
4,5,5.727578
-1,5,5.731066
3,5,5.734467
2,5,5.737871
3,5,5.854047
2,5,5.857574
