#{"t_start": 1660920809.913424, "env_id": null}
r,l,t
-31,14,0.014759
-10,6,0.018908
-14,9,0.025173
-9,6,0.029309
-3,5,0.03279
-27,11,0.040218
-18,8,0.045605
-14,8,0.050982
-16,11,0.058361
-31,13,0.066945
-15,9,0.073027
-18,11,0.080336
-30,12,0.088285
-16,8,0.093748
-10,7,0.09848
-19,10,0.105137
-19,10,0.112011
2,5,0.115472
-21,11,0.122818
-13,8,0.128266
-9,6,0.132387
-25,12,0.140406
-21,12,0.148362
-13,9,0.154446
-8,6,0.15873
-48,19,0.171145
-65,25,0.187557
-26,10,0.194325
-14,7,0.199063
-10,7,0.203655
-43,16,0.213482
-18,9,0.219055
-24,11,0.225974
-29,12,0.233577
-11,8,0.238585
-7,7,0.243099
-27,14,0.251657
-36,15,0.261004
-20,9,0.266576
-16,8,0.271553
-18,9,0.277251
-28,10,0.283446
-20,9,0.288971
-25,10,0.295294
-10,6,0.299073
-10,7,0.303542
-16,10,0.309904
-14,7,0.314354
-13,9,0.319917
-12,8,0.324965
-34,13,0.332895
-37,14,0.414612
-19,10,0.421474
-29,11,0.428896
-8,7,0.433646
-34,14,0.443006
-7,7,0.447772
-21,10,0.454452
-18,8,0.459932
-17,11,0.467253
-11,7,0.472004
-11,7,0.47685
-13,8,0.482239
-10,6,0.486346
-21,10,0.493065
-16,10,0.499701
-22,11,0.507071
-26,10,0.513867
-7,5,0.517437
-10,7,0.522182
-17,9,0.528285
-35,15,0.538116
-16,8,0.543576
-14,8,0.548946
-8,6,0.553046
-26,12,0.561059
-25,11,0.568338
-22,11,0.575723
-23,11,0.583011
-14,9,0.590125
-12,8,0.596126
-24,9,0.602377
-33,15,0.61227
-24,10,0.618433
-10,7,0.622899
-5,5,0.626383
-18,9,0.632
-18,10,0.638187
-10,9,0.643861
-17,9,0.649406
-29,12,0.656895
-39,16,0.666612
-10,6,0.670402
-21,10,0.676724
-6,6,0.68052
-14,9,0.686142
-39,16,0.695972
-12,8,0.700943
-23,11,0.708024
-10,7,0.712405
-11,8,0.717432
-29,13,0.725464
-29,13,0.733401
-6,7,0.737795
-11,7,0.742273
-12,7,0.746626
-22,10,0.837636
-7,7,0.842733
-25,12,0.850686
-44,17,0.862131
-9,7,0.866881
-6,7,0.871641
-49,20,0.885009
-4,5,0.888494
-21,10,0.895375
-21,11,0.902678
-40,15,0.914008
-22,12,0.921962
-18,11,0.929433
-24,11,0.936747
-23,11,0.94424
-14,8,0.949646
-19,11,0.957082
-12,8,0.962533
-29,12,0.970471
-11,7,0.975422
-23,11,0.982727
-27,10,0.989421
-23,11,0.996912
-19,11,1.004604
-10,6,1.008902
-35,15,1.018757
-6,7,1.023573
-26,11,1.030864
-6,6,1.034649
-9,7,1.039048
-32,15,1.048328
-11,9,1.053882
-3,5,1.057225
-9,7,1.061608
-25,12,1.06896
-12,9,1.074715
-9,6,1.078544
-19,10,1.084707
-12,9,1.09042
-21,10,1.096736
-12,9,1.102337
-23,11,1.110569
-4,5,1.113792
-7,6,1.117937
-2,5,1.12114
-9,7,1.125747
-11,10,1.131918
-14,7,1.13629
-7,7,1.140893
-23,11,1.147614
-16,9,1.153153
-17,9,1.158931
-4,5,1.162163
-19,8,1.167211
-8,6,1.170978
-8,7,1.262024
-5,6,1.266289
-11,8,1.2717
-7,7,1.276817
-5,7,1.281579
-21,11,1.288911
-21,11,1.296391
-12,8,1.301763
-3,5,1.305234
-16,10,1.313381
-40,15,1.323251
-21,11,1.33077
-15,8,1.336368
-18,10,1.343209
-4,5,1.346678
-6,6,1.350789
-8,6,1.354908
-18,10,1.361747
-34,15,1.371626
-10,6,1.375939
-21,10,1.382589
-6,6,1.386713
-20,11,1.394234
-7,7,1.398966
-15,8,1.404339
-24,11,1.411812
-15,11,1.419093
-23,12,1.427445
-15,8,1.432874
-11,8,1.438266
-7,6,1.442576
-10,9,1.448594
-9,7,1.453327
