#{"t_start": 1660922563.066332, "env_id": null}
r,l,t
-70,25,0.031244
-23,11,0.040953
-25,11,0.051579
-13,8,0.058661
-18,11,0.068449
-11,6,0.073666
-13,8,0.080646
-42,18,0.096038
-21,10,0.104707
-23,12,0.115176
-11,9,0.123159
-22,11,0.13256
-18,9,0.140512
-34,13,0.15181
-28,12,0.162069
-6,6,0.16754
-16,10,0.176505
-16,8,0.183403
-11,8,0.190501
-27,14,0.202798
-3,5,0.207386
-32,13,0.218492
-29,13,0.229921
-20,9,0.237672
-12,7,0.245002
-19,11,0.254596
-22,11,0.264116
-18,10,0.272808
-20,11,0.282706
-13,8,0.289817
-21,10,0.298537
-29,12,0.308876
-4,5,0.313399
-10,7,0.319595
-31,13,0.331082
-15,7,0.337155
-15,8,0.344275
-13,7,0.35045
-14,9,0.358271
-34,16,0.372125
-19,10,0.380881
-14,8,0.387983
-13,9,0.396049
-29,12,0.406299
-29,12,0.416588
-9,7,0.422773
-15,9,0.430785
-45,19,0.448349
-11,7,0.454549
-14,8,0.764194
-27,16,0.777975
-19,10,0.786731
-19,10,0.795378
-12,7,0.801425
-12,8,0.808332
-11,7,0.814715
-16,9,0.82273
-11,8,0.829781
-14,9,0.83772
-24,14,0.849677
-5,5,0.854211
-30,12,0.864513
-18,9,0.872329
-4,6,0.877652
-5,5,0.882252
-15,6,0.887599
-12,7,0.893968
-29,13,0.905022
-20,8,0.911985
-26,12,0.922224
-28,13,0.93356
-11,7,0.939888
-8,7,0.94592
-33,15,0.958699
-7,6,0.964069
-9,6,0.969443
-28,11,0.979115
-28,13,0.990215
-27,13,1.001358
-13,7,1.007574
-17,9,1.015425
-20,9,1.023163
-9,5,1.027698
-16,8,1.034729
-19,9,1.042683
-9,7,1.048809
-12,9,1.056848
-15,10,1.065312
-13,8,1.072332
-5,5,1.07684
-22,10,1.085586
-17,11,1.095308
-17,11,1.104698
-17,9,1.112546
-21,10,1.121279
-21,10,1.12971
-11,5,1.134343
-12,8,1.141409
-18,10,1.149908
-30,13,1.161168
-48,19,1.177684
-37,15,1.190506
-21,9,1.198458
-25,10,1.207168
-7,6,1.514404
-18,9,1.522211
-30,14,1.534473
-16,9,1.542535
-26,12,1.552679
-15,7,1.558933
-22,9,1.566918
-38,14,1.578858
-12,8,1.585809
-13,10,1.594502
-4,5,1.599085
-24,10,1.607652
-26,13,1.61928
-10,8,1.626309
-33,14,1.638085
-7,5,1.642759
-7,6,1.648149
-27,12,1.65854
-24,10,1.667156
-11,7,1.673278
-17,9,1.681154
-5,6,1.686402
-23,9,1.694187
-12,6,1.699506
-24,12,1.709853
-17,8,1.716994
-10,8,1.723958
-24,11,1.73337
-14,8,1.740432
-32,12,1.750774
-15,7,1.757123
-22,11,1.766788
-23,10,1.775666
-19,9,1.783534
-25,11,1.793143
-10,7,1.799248
-14,7,1.805369
-29,12,1.816274
-21,10,1.824984
-11,7,1.83115
-13,7,1.837287
-8,5,1.84177
-18,11,1.851247
-15,9,1.858964
-18,13,1.870072
-14,7,1.876103
-5,6,1.881492
-17,10,1.890204
-15,8,1.896985
-29,12,1.907276
-11,6,1.9126
-10,7,1.918904
-6,6,1.924299
-17,8,1.931209
-15,9,1.939073
-15,8,1.946072
-10,7,1.952295
-8,7,1.958426
-14,9,2.267829
-18,10,2.276694
-12,9,2.284448
-5,6,2.289732
-6,7,2.296012
-3,5,2.300577
