#{"t_start": 1660922248.2321272, "env_id": null}
r,l,t
-31,14,0.013813
-10,6,0.018266
-14,9,0.024599
-9,6,0.029053
-3,5,0.032788
-27,11,0.040147
-18,8,0.045772
-14,8,0.051182
-16,11,0.058523
-31,13,0.067287
-15,9,0.073319
-18,11,0.080716
-30,12,0.088676
-16,8,0.094155
-10,7,0.098969
-19,10,0.105712
-19,10,0.11252
2,5,0.115991
-21,11,0.123298
-13,8,0.12877
-9,6,0.13289
-25,12,0.140833
-21,12,0.148903
-13,9,0.15495
-8,6,0.159083
-48,19,0.171654
-65,25,0.188311
-26,10,0.19507
-14,7,0.199822
-10,7,0.204328
-43,16,0.214236
-18,9,0.21978
-24,11,0.226534
-29,12,0.234088
-11,8,0.239061
-7,7,0.243484
-27,14,0.252231
-36,15,0.261545
-20,9,0.267156
-16,8,0.272111
-18,9,0.277795
-28,10,0.284032
-20,9,0.289585
-25,10,0.295931
-10,6,0.299735
-10,7,0.304205
-16,10,0.31036
-14,7,0.314907
-13,9,0.320451
-12,8,0.325441
-34,13,0.333516
-41,15,0.342643
-11,7,0.347209
-22,10,0.353528
-21,9,0.359103
-48,18,0.370325
-14,7,0.374709
-20,10,0.381202
-13,8,0.38619
-16,9,0.391741
-12,9,0.397531
-16,8,0.402605
-3,6,0.406416
-4,5,0.409619
-19,9,0.415387
-5,6,0.419178
-37,15,0.428425
-19,10,0.434649
-24,10,0.440811
-28,11,0.447735
-19,9,0.453323
-17,9,0.458883
-8,6,0.462908
-18,9,0.468481
-36,15,0.4776
-26,11,0.484575
-35,15,0.493845
-19,10,0.500207
-14,9,0.505862
-32,14,0.514661
-7,6,0.518453
-9,6,0.522246
-36,15,0.53154
-26,13,0.539503
-18,8,0.544581
-30,12,0.551989
-18,10,0.558195
-29,13,0.566326
-12,8,0.571279
-16,9,0.576859
-27,11,0.583977
-25,13,0.591893
-14,7,0.596498
-20,10,0.602761
-18,9,0.608445
-16,9,0.614222
-23,11,0.62146
-40,16,0.631373
-17,10,0.63754
-33,14,0.646351
-25,11,0.653236
-14,8,0.658237
-9,6,0.662261
-43,19,0.673805
-13,7,0.678335
-10,6,0.682188
-23,10,0.688522
-21,10,0.694856
-13,7,0.699377
-12,8,0.708013
-15,8,0.71318
-16,9,0.718897
-31,15,0.728303
-35,14,0.737086
-14,9,0.742821
-8,6,0.746759
-23,13,0.754891
-31,15,0.764322
-25,11,0.771266
-18,9,0.777004
-13,8,0.782174
-11,7,0.786599
-5,6,0.790402
-18,10,0.796728
-14,9,0.80229
-28,13,0.810309
-17,8,0.815471
-6,6,0.819261
-9,7,0.823641
-17,9,0.829772
-23,9,0.835369
-9,7,0.839779
-29,12,0.847286
-51,21,0.86001
-11,6,0.864003
-14,9,0.86961
-14,9,0.87516
-13,8,0.880314
-14,7,0.884729
-19,11,0.891487
-3,5,0.894701
-14,8,0.899787
-13,8,0.90486
-13,7,0.90925
-13,7,0.913816
-23,12,0.92117
-23,12,0.928626
-10,6,0.932497
-27,12,0.939837
-20,9,0.945921
-11,8,0.950962
-26,11,0.957759
-12,10,0.964141
-19,10,0.97039
-35,15,0.979788
-38,15,0.989079
-41,15,0.998335
-32,13,1.006325
-22,12,1.01389
-7,7,1.018288
-13,7,1.022686
-35,14,1.031448
-16,9,1.037019
-41,16,1.046882
-25,11,1.053641
-11,6,1.057448
-15,8,1.062645
-17,10,1.068883
-21,10,1.075058
-19,10,1.081408
-29,12,1.088809
-23,13,1.096909
