#{"t_start": 1660921954.6609309, "env_id": null}
r,l,t
-28,11,0.01779
-7,6,0.023411
-9,6,0.029056
-14,9,0.03679
-12,8,0.1143
-22,11,0.12395
-13,8,0.130773
-34,14,0.224549
-27,12,0.234717
-4,6,0.240141
-16,9,0.332919
-39,16,0.346573
-28,15,0.447409
-19,11,0.457011
-26,11,0.466477
-13,8,0.561105
-22,11,0.570494
-13,9,0.578222
-10,8,0.585265
-15,8,0.680318
-8,7,0.686374
-9,7,0.692413
-6,6,0.697855
-9,6,0.703132
-20,11,0.799913
-10,8,0.806689
-8,7,0.812986
-15,8,0.904816
-14,8,0.911839
-10,6,0.917215
-10,8,0.924231
-17,9,0.931888
-14,8,1.026154
-15,9,1.033882
-24,10,1.042438
-8,6,1.13711
-17,10,1.145869
-32,14,1.157809
-37,14,1.267977
-9,6,1.273137
-7,7,1.279303
-6,6,1.28469
-13,10,1.388805
-24,12,1.399092
-7,6,1.404431
-16,10,1.413167
-12,9,1.51603
-23,14,1.527983
-45,21,1.645411
-8,7,1.651671
-15,7,1.657923
-10,6,1.663278
-4,6,1.775089
-8,8,1.782164
-15,8,1.789185
-29,15,1.896698
-3,5,1.901057
-18,7,1.907066
-5,5,1.911749
-23,12,2.019736
-15,8,2.026711
0,5,2.031233
-8,5,2.035828
-10,8,2.042977
-6,5,2.14546
-7,6,2.150918
-28,11,2.160225
-11,8,2.167431
-3,5,2.172102
-10,8,2.274178
-14,7,2.280257
-19,9,2.288162
-19,9,2.296035
-9,6,2.402154
-7,5,2.406692
-12,7,2.4132
-3,5,2.417875
-6,7,2.423856
-17,9,2.530955
-15,8,2.538007
-8,7,2.54401
-13,9,2.551814
-10,6,2.658509
-3,6,2.663785
-4,6,2.669055
-7,6,2.674617
0,5,2.6792
-14,7,2.784527
-6,6,2.790112
-5,5,2.794741
-11,7,2.800822
-6,6,2.806195
-9,7,2.91754
-13,7,2.923986
-15,8,2.931426
-6,7,2.938647
-3,5,2.943697
-12,9,3.069022
-11,8,3.07607
-3,5,3.080488
-13,9,3.088353
-6,7,3.200822
0,5,3.205472
-9,7,3.211739
-16,9,3.21947
-16,10,3.337313
-11,7,3.343368
-11,8,3.350366
-17,10,3.359091
-8,5,3.363633
-6,6,3.477568
-14,8,3.484544
-7,6,3.489935
-7,8,3.49704
-3,5,3.6098
-6,6,3.615352
-2,5,3.620035
-3,5,3.624732
0,5,3.62919
-1,5,3.633603
-8,7,3.735065
-7,6,3.740491
-1,5,3.745048
-3,5,3.749611
1,5,3.754091
-3,6,3.759372
-10,6,3.870435
-1,6,3.875938
-9,7,3.882001
-5,5,3.886425
-8,6,3.891831
-7,8,4.010571
-3,5,4.015185
-27,13,4.026688
-4,5,4.031283
1,5,4.035925
0,5,4.159391
-4,5,4.164079
-1,5,4.168536
-3,6,4.173715
1,5,4.178318
-8,7,4.184649
-4,6,4.306936
-2,5,4.311431
-11,9,4.31944
-3,5,4.323943
-3,5,4.32844
2,5,4.458758
