#{"t_start": 1660921230.889742, "env_id": null}
r,l,t
-24,11,0.011601
-35,15,0.023485
-7,6,0.027599
-25,13,0.036546
-22,12,0.044357
-24,11,0.104731
-15,8,0.110062
-6,5,0.113467
-14,9,0.119617
-17,9,0.125473
-16,9,0.131383
-26,12,0.139386
-20,11,0.203645
-27,12,0.211611
-9,7,0.216234
-21,11,0.224883
-17,10,0.231454
-26,13,0.240104
-23,13,0.310418
-17,9,0.316652
-10,7,0.321462
-7,6,0.325483
-3,5,0.328921
-11,6,0.332968
-18,10,0.339671
-10,8,0.344896
-28,13,0.41657
-5,7,0.421534
-9,8,0.42679
-14,7,0.431441
-12,7,0.436271
-10,7,0.440925
-19,9,0.446812
-12,8,0.452267
-10,7,0.522041
-32,14,0.531158
-17,9,0.537251
-19,9,0.543143
-7,7,0.547785
-24,12,0.555726
-10,6,0.559773
-8,9,0.632935
-22,10,0.639941
-22,12,0.647737
-20,10,0.654566
-12,7,0.659253
-21,11,0.666385
-7,7,0.671206
-10,7,0.744915
-13,8,0.750297
-10,9,0.756442
-10,8,0.761739
-9,7,0.766377
-15,9,0.772454
-8,8,0.777751
-10,8,0.783022
-14,8,0.856445
-5,5,0.859923
-19,10,0.866439
-16,9,0.872555
-8,7,0.87724
-12,7,0.881901
-7,7,0.88677
-5,6,0.890792
-7,7,0.895466
-15,8,0.970648
-10,7,0.975412
-13,7,0.980063
-8,6,0.984059
-4,6,0.988302
-4,6,0.992325
-4,6,0.996371
-5,6,1.00038
-15,9,1.006509
-16,8,1.083675
-7,7,1.088723
-7,6,1.092813
-5,6,1.096854
-27,13,1.105462
-10,8,1.110729
-9,7,1.115393
-8,7,1.120252
-9,8,1.195536
-15,10,1.202484
-13,8,1.207784
-20,12,1.215604
-8,7,1.221589
-14,9,1.227588
0,5,1.231007
-5,6,1.235052
-6,6,1.239313
-8,8,1.314148
-8,7,1.319116
-15,9,1.325078
-17,11,1.332279
-7,8,1.337819
-10,8,1.343098
-4,5,1.346481
-5,6,1.350493
-9,8,1.427397
-1,6,1.431581
-8,8,1.437156
-24,11,1.444319
-8,7,1.448954
-12,9,1.455087
-15,11,1.462264
-9,6,1.466282
-8,7,1.541466
-8,7,1.546129
-6,7,1.550817
-22,11,1.5582
-10,8,1.56347
-4,8,1.568824
-7,6,1.572971
-2,7,1.577645
-3,6,1.652724
-4,5,1.656268
-18,11,1.663455
-1,7,1.66811
-10,7,1.673008
-15,11,1.680122
-3,5,1.683532
-17,10,1.690263
-4,6,1.76397
-6,6,1.768075
-8,8,1.773531
-1,5,1.776928
-4,5,1.780327
-4,8,1.785735
-8,7,1.790515
-14,8,1.795797
-4,5,1.799196
-5,6,1.803406
-7,8,1.879892
-6,7,1.884671
-3,6,1.888878
-5,7,1.893518
-8,7,1.898156
-2,6,1.902169
-5,6,1.906405
-14,8,1.911769
-4,7,1.916404
-5,8,1.99168
-1,5,1.995228
-6,7,1.999998
2,5,2.003594
-7,6,2.007609
-2,5,2.010997
-6,6,2.015025
-2,5,2.018483
-5,7,2.02453
-3,5,2.027926
-2,6,2.031971
-1,5,2.035367
1,5,2.108872
-6,6,2.112911
-1,5,2.116306
0,6,2.120663
-2,6,2.124702
-5,7,2.129344
-3,6,2.133383
-13,10,2.14011
-3,6,2.144124
-5,5,2.147514
-10,8,2.223484
2,5,2.226921
-5,8,2.232201
-9,7,2.237044
-2,5,2.240437
1,6,2.244446
-7,6,2.248462
-5,7,2.25325
0,5,2.256679
-1,6,2.260812
-11,7,2.334786
1,5,2.33841
0,6,2.342436
4,5,2.345824
-3,7,2.350455
-9,9,2.356522
-5,6,2.360544
-8,8,2.3658
4,5,2.369195
-3,7,2.374051
-5,6,2.44983
-6,7,2.454683
-1,6,2.458693
-6,8,2.463962
-1,5,2.467357
2,6,2.471568
-7,6,2.475606
-3,7,2.480241
-2,5,2.483659
-5,5,2.487246
1,5,2.490648
2,5,2.563654
-2,6,2.567771
3,5,2.571375
-2,5,2.574795
1,6,2.578806
1,5,2.582204
-3,6,2.586441
-4,6,2.590529
-1,5,2.593922
-4,5,2.597321
2,5,2.600709
-6,7,2.677082
0,6,2.681409
1,5,2.684914
1,5,2.688498
-1,7,2.69314
1,5,2.696722
0,5,2.700133
1,5,2.703716
-3,5,2.707115
-1,5,2.710506
-1,6,2.714659
1,5,2.718061
-1,5,2.791071
3,5,2.794509
3,5,2.797919
3,6,2.801953
4,5,2.805543
-1,6,2.809551
2,5,2.812946
1,5,2.816332
-2,6,2.820843
0,6,2.825838
4,5,2.829238
4,5,2.832636
2,6,2.906323
3,5,2.90974
2,5,2.913138
2,5,2.916568
0,5,2.920079
2,6,2.924162
-3,6,2.928181
2,5,2.931587
2,5,2.935005
4,6,2.93921
1,5,2.942588
-2,8,2.947857
5,5,3.022092
3,5,3.026209
1,5,3.029624
-2,6,3.033677
2,6,3.037904
-1,6,3.04195
2,5,3.045362
1,6,3.049375
3,5,3.052788
1,5,3.056342
-4,8,3.061615
3,5,3.134904
2,5,3.138623
3,5,3.142241
3,5,3.145648
1,5,3.149054
3,5,3.152469
2,5,3.156065
-2,7,3.160709
2,5,3.16413
1,5,3.167539
1,5,3.171093
3,5,3.174482
4,5,3.177877
1,5,3.252471
2,5,3.25605
3,5,3.259466
3,5,3.262953
5,5,3.266354
1,5,3.269758
3,6,3.273937
3,5,3.277339
3,5,3.280743
3,5,3.284174
2,6,3.288339
3,5,3.291757
4,5,3.364939
3,5,3.368473
3,6,3.37267
2,5,3.376084
0,6,3.380113
3,5,3.383516
4,5,3.386968
3,5,3.390437
4,5,3.393833
1,6,3.39785
0,6,3.40187
4,5,3.405405
-2,7,3.481434
0,5,3.484982
4,5,3.488522
-5,8,3.493789
4,5,3.497193
4,5,3.500601
4,5,3.504122
4,5,3.507551
3,5,3.510952
1,5,3.514346
3,5,3.517732
3,5,3.521258
-2,7,3.59593
1,6,3.600093
5,5,3.603536
4,5,3.607112
5,5,3.610512
3,5,3.613913
3,5,3.617315
2,5,3.621056
3,5,3.625591
5,5,3.628987
2,6,3.633008
4,5,3.636422
2,5,3.709479
4,5,3.712986
3,6,3.717025
4,5,3.720419
3,5,3.723986
4,5,3.727386
4,5,3.73078
4,5,3.734178
3,5,3.737766
5,5,3.741214
4,5,3.74462
4,5,3.748024
2,6,3.815818
3,5,3.819305
2,6,3.82469
2,5,3.828088
3,6,3.832105
5,5,3.835535
5,5,3.839141
5,5,3.842551
5,5,3.845948
5,5,3.849337
4,5,3.852728
4,5,3.85627
5,5,3.859657
4,5,3.929228
4,5,3.932752
3,5,3.936219
3,5,3.939845
4,5,3.943257
5,5,3.946642
4,5,3.950039
4,5,3.953424
5,5,3.957014
3,5,3.960408
4,5,3.963804
5,5,3.967243
4,5,4.027475
4,5,4.030929
3,5,4.034352
3,5,4.03794
2,6,4.042029
4,5,4.045434
3,5,4.048838
