#{"t_start": 1660921674.4095702, "env_id": null}
r,l,t
-11,7,0.009225
-19,12,0.017197
-13,8,0.023221
-20,9,0.029511
-19,8,0.03487
-17,7,0.03986
-28,13,0.048375
-12,8,0.053733
-27,12,0.063151
-28,13,0.071865
-19,10,0.07848
-23,11,0.085703
-36,14,0.095002
-16,7,0.099698
-26,11,0.107115
-23,11,0.114343
-12,8,0.119727
-27,10,0.126689
-12,8,0.13201
-13,7,0.136697
-22,10,0.143507
-47,19,0.155998
-15,8,0.161316
-38,17,0.172567
-24,12,0.180448
-30,13,0.189138
-15,9,0.195121
-21,12,0.202819
-14,8,0.207921
-18,8,0.212826
-23,10,0.218905
-20,11,0.225754
-25,10,0.231825
-21,9,0.23729
-28,12,0.244904
-11,8,0.249806
-49,19,0.262707
-20,9,0.268196
-19,12,0.275596
-13,7,0.279997
-21,10,0.286065
-19,11,0.292945
-11,8,0.297871
-9,6,0.301616
-8,6,0.305573
-13,7,0.309928
-6,7,0.314298
-19,9,0.319897
-19,10,0.326167
-35,14,0.334555
-23,10,0.340759
-24,12,0.347987
-11,7,0.352315
-11,7,0.35682
-7,7,0.361171
-34,13,0.369114
-23,10,0.3762
-21,11,0.383145
-19,10,0.389641
-25,12,0.39698
-11,7,0.401495
-18,8,0.40663
-13,7,0.411122
-6,6,0.414985
-31,12,0.422482
-11,9,0.428129
-21,12,0.435575
-16,8,0.440696
-23,9,0.44634
-23,11,0.453196
-29,13,0.462555
-19,9,0.468186
-37,14,0.47689
-14,8,0.481909
-11,9,0.487553
-31,12,0.495061
-30,14,0.503566
-39,15,0.512678
-18,8,0.517576
-33,16,0.527375
-9,6,0.531107
-34,13,0.539109
-15,8,0.544032
-12,7,0.548381
-12,8,0.553312
-9,6,0.557176
-25,13,0.564991
-26,11,0.571822
-40,18,0.582662
-37,17,0.592964
-22,10,0.599012
-9,5,0.602201
-7,6,0.606145
-13,8,0.611378
-25,13,0.619251
-22,10,0.625492
-13,7,0.62993
-12,7,0.634285
-17,9,0.640013
-4,6,0.643798
-11,8,0.648691
-18,8,0.653605
-12,7,0.65928
-28,14,0.894795
-3,5,0.898285
-11,6,0.902369
-33,15,0.912367
-13,9,0.918419
-14,8,0.923941
-20,9,0.930032
-28,12,0.937873
-18,8,0.943417
-22,12,0.951278
-24,12,0.9593
-20,10,0.965891
-8,8,0.971278
-20,9,0.977432
-17,9,0.983397
-10,7,0.988081
-15,9,0.994198
-4,6,0.998282
-19,8,1.003597
-6,5,1.007238
-15,8,1.012552
-27,11,1.019753
-17,9,1.025895
-16,7,1.030576
-21,10,1.037166
-2,5,1.040775
-12,8,1.046437
-43,18,1.058324
-18,7,1.063034
-12,8,1.068367
-8,7,1.073264
-16,9,1.07922
-14,8,1.08447
-11,6,1.088254
-8,7,1.09267
-19,10,1.098731
-9,6,1.102508
-17,9,1.108174
-4,6,1.111998
-21,10,1.118037
-13,7,1.122518
-17,9,1.128042
-22,10,1.13413
-19,10,1.140355
-20,10,1.146454
-9,6,1.150192
-10,7,1.154814
-30,13,1.162832
-6,6,1.166575
-10,6,1.17035
-31,14,1.178988
-12,7,1.183336
-18,9,1.188965
-10,6,1.192709
-16,8,1.197636
-26,11,1.204323
-11,6,1.20849
-25,11,1.215435
-15,9,1.220935
-45,16,1.23075
-9,7,1.235109
-11,6,1.239019
-28,13,1.247116
-20,9,1.252606
-5,5,1.255916
-6,7,1.260623
-19,8,1.265553
-31,13,1.273498
-8,6,1.277288
-10,6,1.281074
-20,10,1.287646
-27,11,1.294495
-13,7,1.298931
-9,6,1.302775
-19,9,1.308465
-5,6,1.312326
-24,11,1.319165
-6,6,1.323091
-19,11,1.329926
-20,9,1.335562
-28,12,1.343076
-26,12,1.350523
-22,10,1.356801
-5,5,1.36005
-23,10,1.366266
-36,12,1.37374
-18,9,1.379389
-14,7,1.383833
-12,7,1.388251
-3,5,1.391535
-10,8,1.39657
-11,7,1.400913
-8,6,1.404676
-32,13,1.41262
-5,6,1.416393
-16,8,1.421292
-13,8,1.426365
-19,8,1.431335
-14,9,1.437258
-26,12,1.444675
-12,8,1.449603
-3,5,1.452767
-13,7,1.457314
-18,10,1.463554
-10,6,1.467444
-3,5,1.470589
-14,8,1.475818
-20,9,1.48135
-19,9,1.486858
-10,7,1.491348
-19,10,1.497427
-23,11,1.504209
-17,10,1.510428
-19,10,1.516486
-9,7,1.520801
-16,10,1.527035
-20,10,1.53315
-15,8,1.538052
-14,8,1.764177
-6,5,1.767711
-9,7,1.772546
-7,6,1.776704
-10,5,1.780142
-35,15,1.790104
-8,6,1.794184
-14,8,1.799533
-3,5,1.802967
-5,5,1.806603
-11,7,1.811677
-13,7,1.816499
-44,19,1.829219
-8,6,1.833282
-8,6,1.837357
-25,11,1.844702
-25,10,1.851376
-12,8,1.856912
-5,5,1.860392
-6,5,1.863822
-7,5,1.867312
-12,7,1.871984
-18,11,1.879335
-7,6,1.883399
-22,11,1.890759
-5,6,1.89481
-12,8,1.900146
-3,6,1.904208
-8,6,1.908398
-29,12,1.916329
-11,6,1.9204
-4,6,1.924629
-8,6,1.928683
-5,6,1.932738
-4,6,1.936802
-22,9,1.942898
-11,7,1.947582
-21,10,1.954141
-10,6,1.958339
-13,8,1.963359
-15,9,1.968892
-7,7,1.973426
-11,7,1.977848
-23,10,1.984066
-10,7,1.988414
-6,6,1.992304
-3,5,1.995457
-5,5,1.998617
-3,6,2.002914
-4,5,2.006265
-4,5,2.009424
-6,5,2.012622
-24,11,2.0193
-20,10,2.025575
-10,7,2.029899
-7,5,2.033116
-6,5,2.036276
-14,8,2.041324
-8,6,2.045077
-11,6,2.048846
-26,13,2.056907
-15,8,2.061844
-19,9,2.067395
-15,8,2.072274
-21,9,2.077998
-12,7,2.082347
-6,5,2.085535
-19,10,2.09173
-22,10,2.097769
-9,8,2.102681
-19,11,2.109598
-15,9,2.115101
-8,6,2.118837
-16,9,2.124458
-9,6,2.128256
-4,5,2.131433
-18,8,2.136321
-14,8,2.141349
-14,7,2.14568
-6,6,2.149432
-3,6,2.153164
-6,6,2.157041
-22,9,2.16251
-15,9,2.168029
-7,6,2.171807
-7,5,2.175133
-8,5,2.178358
-7,6,2.182157
-8,7,2.187085
-10,6,2.190987
-4,5,2.194143
-7,6,2.197878
-4,5,2.201041
-8,7,2.205372
-16,8,2.210455
-7,6,2.214206
-3,6,2.217968
-10,6,2.221707
-11,6,2.225554
-6,5,2.228738
-7,6,2.23254
-19,8,2.242141
-12,7,2.246849
-7,6,2.250621
-11,7,2.254944
-10,6,2.259085
-20,10,2.265431
-17,10,2.27157
0,5,2.274882
-14,10,2.281068
-10,8,2.286041
-7,5,2.289253
-23,10,2.295465
-14,7,2.29987
-15,8,2.304897
-13,7,2.309369
-16,9,2.315008
-6,7,2.319519
-14,9,2.325232
-10,7,2.329669
-2,5,2.332915
-15,9,2.338529
-18,9,2.344187
-5,5,2.347425
-5,6,2.351262
-15,8,2.356327
-14,7,2.360759
-16,8,2.365797
-21,10,2.372005
-9,7,2.376522
-4,5,2.379765
-26,11,2.386594
-19,9,2.39293
-13,7,2.397362
-12,7,2.401685
-21,10,2.407953
-6,7,2.412838
-4,6,2.416976
-22,9,2.422504
-24,11,2.650083
-6,6,2.654203
-6,5,2.657893
-8,6,2.661963
-11,8,2.667309
-14,7,2.672001
-9,6,2.676201
-4,5,2.679645
-10,7,2.684359
-8,6,2.688431
-8,7,2.693267
-3,6,2.697331
-4,5,2.700777
-8,6,2.70485
-9,6,2.709083
-21,10,2.715656
-10,6,2.719718
-18,8,2.725171
