#{"t_start": 1660923143.3312838, "env_id": null}
r,l,t
-31,14,0.014625
-10,6,0.018967
-14,9,0.025144
-9,6,0.029267
-3,5,0.033037
-27,11,0.040361
-18,8,0.045785
-14,8,0.05143
-16,11,0.058728
-31,13,0.067481
-15,9,0.073561
-18,11,0.080858
-30,12,0.088964
-16,8,0.094356
-10,7,0.099296
-19,10,0.105955
-19,10,0.112597
2,5,0.116249
-21,11,0.123577
-13,8,0.128967
-9,6,0.133271
-25,12,0.141231
-21,12,0.149379
-13,9,0.155385
-8,6,0.159506
-48,19,0.172227
-58,22,0.454214
-29,13,0.462884
-12,8,0.468478
-14,7,0.473278
-21,9,0.479502
-4,5,0.483136
-13,9,0.489248
-19,10,0.495946
-13,8,0.501814
-37,14,0.511222
-42,18,0.523213
-23,12,0.53118
-16,9,0.537365
-25,11,0.544687
-4,6,0.549052
-16,7,0.553893
-19,9,0.560115
-33,14,0.56957
-45,17,0.580753
-14,8,0.586304
-6,6,0.590415
-8,8,0.595927
-28,12,0.604101
-16,9,0.610189
-53,21,0.892364
-21,11,0.899918
-17,8,0.905336
-26,10,0.91211
-12,7,0.917001
-34,14,0.926288
-6,5,0.929778
-17,10,0.936757
-19,9,0.942825
-13,8,0.948222
-33,16,0.959192
-5,6,0.963313
-36,13,0.972132
-21,11,0.979474
-16,8,0.984999
-32,15,0.994948
-15,8,1.000508
-18,11,1.007926
-13,8,1.013361
-37,16,1.023982
-8,5,1.027469
-14,9,1.0338
-10,8,1.039247
-6,6,1.043479
-37,14,1.052968
-32,13,1.0617
-24,9,1.338205
-12,8,1.343663
-27,13,1.352478
-17,10,1.359158
-12,7,1.363925
-2,5,1.367527
-8,7,1.372406
-15,7,1.377216
-24,10,1.384048
-15,8,1.389479
-4,7,1.39427
-23,10,1.401109
-35,13,1.409739
-24,11,1.417233
-27,10,1.423938
-5,6,1.428063
-15,8,1.433729
-14,10,1.440431
-28,12,1.44837
-6,6,1.45269
-8,6,1.456811
-8,8,1.462201
-15,7,1.467104
-10,5,1.470583
-18,8,1.47601
-7,5,1.479565
-17,9,1.486476
-42,18,1.498423
-15,9,1.504796
-22,13,1.786098
-29,14,1.795429
-19,10,1.802293
-34,13,1.810894
-22,12,1.819151
-19,10,1.825855
-17,9,1.831894
-9,6,1.836327
-19,9,1.842413
-19,10,1.84914
-22,9,1.85538
-4,5,1.85886
-21,11,1.866283
-36,15,1.876291
-14,8,1.881905
-11,7,1.887171
-5,5,1.890718
-20,9,1.896849
-12,8,1.902507
-11,7,1.907284
-32,14,1.916653
-8,5,1.92019
-13,8,1.925605
-84,34,1.947886
-23,12,2.252703
-6,7,2.257666
-18,9,2.263729
-11,6,2.267996
-10,7,2.272759
-13,8,2.278217
-28,15,2.288245
-11,7,2.29301
-23,11,2.300484
-25,11,2.30791
-8,5,2.311372
-23,10,2.318178
-12,7,2.322933
-27,11,2.330258
-29,11,2.337765
-10,8,2.343168
-6,6,2.347321
-6,6,2.351568
-9,7,2.356418
-23,11,2.363728
-13,7,2.368953
-21,12,2.377028
-20,11,2.384866
-11,9,2.390945
-11,8,2.396678
-21,10,2.403737
-5,6,2.408281
-7,6,2.412417
-5,5,2.415916
-9,6,2.420301
-29,12,2.723294
-8,6,2.727529
-19,9,2.733685
-18,10,2.740469
-30,12,2.748451
-25,10,2.755284
-12,8,2.760707
-25,10,2.767509
-13,7,2.772261
-13,7,2.777101
-25,11,2.784551
-13,7,2.789318
-12,7,2.794073
-5,6,2.798219
-2,5,2.80206
-22,11,2.809411
-25,9,2.815446
-7,7,2.820393
-22,10,2.827086
-31,13,2.835912
-17,8,2.841393
-8,6,2.845537
-8,7,2.850371
-20,10,2.857137
-12,6,2.861274
-16,7,2.866028
-14,7,2.870927
-13,8,2.876404
-14,8,2.881829
-4,5,2.885431
-10,8,2.890816
-8,6,2.894938
-20,10,3.196317
-29,12,3.2045
-5,6,3.208674
-25,11,3.216046
-27,11,3.223551
-7,7,3.228336
-6,6,3.232469
-5,5,3.236141
-5,5,3.239658
-8,6,3.243779
-16,10,3.250736
-19,10,3.257556
-20,10,3.264279
-41,16,3.274978
-12,8,3.280406
-17,10,3.28726
-22,11,3.294592
-12,7,3.299395
-26,10,3.306323
-19,9,3.312366
-8,7,3.317127
-5,5,3.320799
-7,7,3.325554
-16,8,3.330943
-21,11,3.338465
-15,8,3.343883
-17,9,3.349958
-21,10,3.356843
-27,11,3.364152
-20,11,3.669978
-17,8,3.675459
-25,11,3.682833
-9,7,3.687764
-18,10,3.694467
-15,7,3.699229
-17,8,3.70479
-6,6,3.708946
-28,11,3.716287
-14,8,3.721908
-21,9,3.727931
-29,13,3.73677
-29,12,3.74484
-13,8,3.750569
-10,7,3.755553
-24,11,3.763008
-12,7,3.767848
-7,7,3.772856
-17,9,3.778987
-10,6,3.783142
-17,9,3.789403
-9,7,3.794165
-30,14,3.803979
-14,9,3.810274
-20,10,3.817063
-12,9,3.82334
-15,7,3.82817
-22,12,3.837242
-9,6,3.841711
-28,13,4.152734
-10,6,4.156908
-15,7,4.161708
-29,13,4.170572
-20,9,4.176668
-13,7,4.181496
-18,8,4.187403
-12,8,4.193123
-15,11,4.200451
-10,5,4.204174
-9,6,4.208321
-18,7,4.213095
-20,10,4.220022
-21,9,4.226076
-9,6,4.230201
0,5,4.23368
-13,9,4.242501
-6,6,4.24831
-17,9,4.255312
-17,9,4.261387
-5,6,4.265984
-22,11,4.273538
-21,9,4.279626
-19,8,4.285231
-13,7,4.2901
-21,11,4.297427
-19,10,4.304317
-12,7,4.309078
-14,9,4.31513
-13,8,4.320737
-17,10,4.630735
-10,7,4.635773
-17,9,4.642009
-29,13,4.650743
-26,11,4.658235
-5,5,4.661747
-11,7,4.666519
-8,6,4.670798
-5,5,4.674299
-34,15,4.684172
-18,8,4.689717
-4,5,4.693192
-14,8,4.698585
-16,8,4.704129
-10,7,4.708894
-8,7,4.713659
-11,8,4.719193
-15,8,4.724703
-12,8,4.730152
-17,8,4.735765
-15,8,4.7413
-21,10,4.74807
-18,9,4.754271
-23,12,4.762336
-12,6,4.766455
-10,7,4.771352
-7,6,4.775468
-16,8,4.780855
-14,7,4.785775
-35,12,4.793781
-19,9,4.800308
-8,6,4.804596
-20,10,5.108503
-10,6,5.112723
-11,8,5.11815
-15,8,5.123689
-14,7,5.128478
-8,6,5.132612
-5,8,5.138147
-2,5,5.141627
-13,7,5.14642
-33,13,5.155156
-36,14,5.164376
-14,7,5.169217
-9,7,5.174055
-8,7,5.178825
-8,7,5.183588
-9,5,5.18723
-17,9,5.193274
-8,6,5.197403
-6,7,5.202222
-19,9,5.208355
-20,10,5.215071
-15,7,5.219961
-10,6,5.224086
-13,7,5.229101
-8,6,5.233236
-8,7,5.238261
-28,11,5.246004
-9,6,5.250385
-22,10,5.257363
-8,6,5.261787
-4,5,5.26527
-16,10,5.27214
-11,8,5.278288
-5,5,5.583888
-14,7,5.588899
-6,6,5.59306
-11,6,5.59722
-15,9,5.603461
-9,8,5.608877
-26,12,5.617022
-12,7,5.621959
-25,12,5.630738
-21,10,5.638027
-12,8,5.643686
-11,7,5.648464
-15,9,5.654653
-28,12,5.663558
-6,6,5.667707
-22,10,5.674576
