#{"t_start": 1660922801.9050343, "env_id": null}
r,l,t
-69,25,0.030855
-24,11,0.040376
-25,11,0.049807
-13,8,0.056866
-22,12,0.15849
-7,6,0.163831
-15,8,0.171011
-35,14,0.182979
-14,7,0.18925
-23,11,0.198791
-8,6,0.204043
-13,8,0.210965
-12,9,0.316379
-12,8,0.323603
-14,8,0.330669
-16,8,0.337608
-25,11,0.347114
-11,8,0.35417
-17,9,0.36203
-19,11,0.469152
-11,6,0.474407
-11,8,0.481411
-13,9,0.4892
-16,9,0.497085
-31,13,0.508268
-16,9,0.516116
-22,12,0.624375
-26,14,0.636525
-7,7,0.642532
-20,11,0.652008
-25,15,0.664676
-25,13,0.773713
