#{"t_start": 1660921105.3721244, "env_id": null}
r,l,t
-28,11,0.017407
-7,6,0.023277
-9,6,0.028725
-14,9,0.03651
-11,6,0.042049
-29,12,0.052315
-26,11,0.061814
-18,10,0.070683
-17,10,0.0791
-8,7,0.08515
-47,19,0.101282
-22,10,0.109991
-23,14,0.121966
-11,7,0.127953
-6,6,0.133376
-9,7,0.139641
-19,10,0.148154
-15,9,0.155817
-31,14,0.167474
-10,8,0.174279
-21,11,0.183804
-29,12,0.193964
-20,12,0.204199
-35,14,0.215889
-9,6,0.221206
-10,6,0.226482
-18,10,0.235181
-10,7,0.241428
-38,16,0.255166
-8,7,0.261053
-26,12,0.271373
-21,10,0.279831
-19,12,0.290206
-16,9,0.29763
-8,6,0.30297
-12,8,0.309936
-14,8,0.31666
-19,9,0.324568
-18,10,0.333322
-10,7,0.339536
-22,12,0.34991
-20,9,0.357508
-49,21,0.375134
-20,9,0.382835
-14,8,0.389848
-15,9,0.397784
-21,9,0.405727
-30,15,0.418129
-16,7,0.42428
-20,9,0.432014
-18,10,0.440354
-19,8,0.447308
-32,14,0.459023
-17,8,0.466057
-32,15,0.478602
-32,12,0.489038
-13,8,0.496205
-8,7,0.502351
-19,9,0.510234
-12,7,0.516428
-12,8,0.523436
-34,13,0.534385
-29,13,0.545527
-24,11,0.554855
-22,10,0.563451
-21,10,0.571862
-32,15,0.584897
-33,16,0.598421
-14,7,0.604702
-24,11,0.614494
-8,8,0.621253
-19,9,0.629093
-41,17,0.643461
-18,10,0.652049
-21,12,0.662431
-23,10,0.671013
-18,9,0.678682
-32,13,0.689619
-21,11,0.699157
-14,8,0.706058
-30,13,0.717112
-13,7,0.723118
-5,5,0.727583
-42,17,0.741978
-37,16,0.755797
-20,9,0.763451
-24,12,0.773741
-19,10,0.782153
-15,8,0.789225
-15,8,0.796074
-28,13,0.80717
-17,9,0.81502
-8,6,0.820061
-15,10,0.82875
-27,11,0.838266
-20,10,0.847063
-10,7,0.853173
-21,11,0.862561
-21,9,0.870441
-23,12,0.880858
-6,8,0.887596
-15,8,0.894443
-17,8,0.901502
-8,7,0.907472
-19,11,0.917
-35,15,0.929553
-18,11,0.939254
-19,8,0.946039
-9,6,0.951443
-16,10,0.96022
-14,8,0.967319
-23,10,0.976009
-10,6,0.981371
-27,13,0.992608
-12,7,0.998588
-33,12,1.009025
-17,11,1.018263
-13,8,1.025366
-28,13,1.036331
-16,8,1.043404
-16,8,1.050153
-5,5,1.054552
-32,12,1.064998
-35,14,1.076899
-10,7,1.08282
-10,6,1.088171
-25,13,1.099527
-18,11,1.108829
-6,6,1.114191
-12,7,1.120284
-27,13,1.131328
-33,12,1.141506
-18,9,1.14918
-23,11,1.15871
-14,8,1.165626
-15,10,1.174307
-26,11,1.183771
-6,5,1.1881
-27,11,1.20138
-17,10,1.210211
-16,8,1.217024
-14,8,1.224089
-20,10,1.232941
-13,9,1.240647
-36,17,1.255302
-25,9,1.262935
-36,13,1.274202
-24,11,1.283806
-18,10,1.292354
-31,12,1.302585
-8,5,1.307087
-13,8,1.314323
-35,15,1.327173
-32,14,1.339116
-27,12,1.349222
-14,10,1.357945
-9,7,1.364002
-35,15,1.376829
-17,9,1.384491
-18,10,1.393182
-24,9,1.400874
-31,14,1.412943
-6,7,1.418814
-16,8,1.425757
-16,8,1.432692
-24,11,1.442195
-18,10,1.450642
-26,10,1.459275
-21,11,1.468874
-10,7,1.474799
-39,18,1.490178
-7,7,1.496103
-18,9,1.503984
-14,10,1.512347
-21,11,1.521899
-32,12,1.531917
-39,14,1.543858
-8,7,1.549856
-13,7,1.556201
-19,9,1.564111
-10,7,1.570223
-12,8,1.577045
-6,7,1.583238
-26,13,1.594579
-9,6,1.599701
-12,9,1.607523
-29,13,1.618745
-31,13,1.629928
-12,6,1.635266
-15,8,1.64217
-11,7,1.64834
-18,8,1.655388
-13,8,1.662082
-19,9,1.66974
-45,19,1.685698
-8,7,1.691949
-10,6,1.697395
-20,9,1.705127
-11,8,1.71188
-16,10,1.72057
-24,12,1.730875
-13,8,1.737887
-25,13,1.748762
-5,6,1.754115
-23,12,1.764621
-10,6,1.770063
-21,10,2.454171
-13,7,2.460166
-15,8,2.466903
-23,13,2.478303
-13,7,2.484167
-10,6,2.48961
-13,7,2.495793
-24,12,2.506025
-13,7,2.511973
-15,9,2.519773
-9,7,2.525808
-15,8,2.532636
-15,9,2.540405
-11,8,2.547146
-21,10,2.55584
-13,8,2.562669
-20,10,2.571181
-27,11,2.580531
-28,12,2.59089
-38,16,2.604269
-10,8,2.611311
-10,8,2.617985
-26,11,2.627454
-7,7,2.633455
-7,6,2.638669
-3,6,2.644068
-15,9,2.651663
-19,10,2.660119
-11,6,2.665407
-8,7,2.671669
-5,6,2.67696
-13,7,2.6828
-23,13,2.694151
-12,8,2.700884
-24,13,2.712186
-12,8,2.718988
-3,5,2.723472
-13,7,2.729738
-22,10,2.738164
-9,7,2.744393
-16,8,2.751448
-10,6,2.756781
-20,11,2.766241
-11,7,2.772483
-33,14,2.784745
-9,7,2.791055
-4,6,2.796234
-21,10,2.804761
-22,12,2.81528
-11,7,2.821253
-18,10,2.829795
-11,7,2.835983
-8,8,2.842983
-13,10,2.851315
-10,7,2.857402
-13,9,2.86523
-14,9,2.872434
-8,6,2.877723
-9,7,2.883732
-13,8,2.890531
-16,8,2.897695
-25,12,2.908137
-7,6,2.913269
-16,8,2.920108
-15,7,2.926316
-7,6,2.931464
-13,9,2.939201
-8,6,2.944507
-1,7,2.950332
-13,8,2.957459
-11,8,2.96427
-20,10,2.972693
-9,6,2.978167
-6,6,2.983406
-16,9,2.991013
-8,7,2.997503
-16,9,3.005786
-27,12,3.015892
-9,7,3.022135
-7,7,3.028268
-15,10,3.036691
-4,5,3.041231
-12,8,3.048312
-67,26,3.070083
-21,10,3.078578
-16,8,3.085711
-19,10,3.094485
-18,9,3.102402
-23,11,3.111684
-31,14,3.123693
-11,8,3.130394
-34,15,3.143282
-19,11,3.152554
-52,23,3.172023
-13,9,3.179897
-10,8,3.18699
-28,12,3.197052
-11,7,3.203183
-21,9,3.21118
-21,12,3.221228
-16,8,3.228228
-16,10,3.236699
-19,10,3.245259
-26,11,3.254828
-7,7,3.260981
-6,5,3.265286
-15,10,3.273932
-19,11,3.283351
-13,8,3.290301
-23,13,3.301207
-18,9,3.308958
-12,11,3.318366
-30,13,3.32954
-4,5,3.333946
-4,6,3.339029
-5,5,3.343589
-17,11,3.352759
-21,11,3.362206
-22,11,3.371758
-3,5,3.376318
-5,7,3.382565
-8,6,3.3878
-13,8,3.394562
-7,6,3.400057
-15,9,3.407695
-9,5,3.412072
-21,9,3.419961
-16,8,3.426853
-25,11,3.436175
-21,10,3.444633
-6,5,3.449021
-5,6,3.454349
-12,10,3.46286
-22,10,3.471492
-13,8,3.478609
-8,6,3.483999
-18,9,3.491549
-10,8,3.498525
-18,10,3.507327
-16,9,3.515059
-16,9,3.522723
-5,7,3.52898
-27,12,3.538954
-16,9,3.546864
-12,9,3.554416
-22,11,3.563916
-18,9,3.571466
-32,13,3.582829
-4,6,3.588227
-17,10,3.596781
-7,5,3.601282
-18,9,3.609604
-24,10,3.617931
-10,8,3.624952
-12,8,3.631836
-28,11,3.641222
-11,7,3.647432
-16,8,3.65441
-10,8,3.661557
-7,8,3.66829
-40,16,3.681962
-21,9,3.689564
-10,7,3.695644
-8,7,3.701854
-25,10,3.71046
-14,7,3.7165
-8,7,3.722624
-9,6,3.727938
-16,10,3.736587
-8,7,3.742573
-16,9,3.75043
-20,10,3.759009
-12,10,3.767522
-11,7,3.773755
-12,9,3.781324
-18,10,3.790106
-17,9,3.797664
-15,9,3.805514
-11,8,3.812424
-25,13,3.823686
-14,8,3.83054
-12,7,3.836497
-2,5,3.84107
-9,8,3.848047
-11,8,3.854979
-6,6,3.860411
-20,8,3.867449
-14,9,3.875162
-4,6,3.880373
-23,10,3.889129
-10,7,3.895266
-15,9,3.902992
-11,7,3.909079
-7,6,3.914382
-10,7,3.920548
-18,7,3.926814
-25,12,3.937218
-31,14,3.949108
-21,13,3.960371
-8,7,3.966675
-19,10,3.975168
-22,13,3.986286
-9,6,3.991709
-8,6,3.997037
-24,13,4.007833
-11,7,4.014093
-14,9,4.022086
-2,6,4.027396
-17,10,4.035726
-15,9,4.04363
-9,7,4.049909
-19,10,4.058605
-18,10,4.067417
-32,14,4.079669
-7,7,4.085938
-26,12,4.096067
-8,6,4.101542
-20,11,4.111129
-14,7,4.117246
-24,11,4.126616
-25,9,4.134502
-26,12,4.144766
-13,8,4.15186
-11,7,4.157985
-18,11,4.167315
-22,13,4.178459
-13,8,4.185233
-19,10,4.194055
-30,15,4.206846
-3,5,4.211408
-10,9,4.218988
-16,8,4.9024
-8,7,4.908743
-13,8,4.915792
-11,7,4.921816
-5,5,4.926366
-15,9,4.934342
-7,7,4.940334
-7,7,4.946562
-7,6,4.952063
-8,6,4.957412
-16,8,4.964504
-9,6,4.969954
-12,8,4.976769
-26,12,4.987439
-12,8,4.994587
-12,8,5.001514
-10,6,5.006787
-4,6,5.012078
-10,8,5.019043
-13,8,5.025994
-21,12,5.037728
-17,10,5.04633
-12,7,5.052542
-16,10,5.061234
-4,6,5.066369
-25,10,5.075202
-14,8,5.082351
-10,9,5.090242
-3,6,5.095448
-3,6,5.100933
-6,7,5.106931
-19,11,5.116271
-15,8,5.123343
-6,7,5.129334
-13,8,5.136403
-8,7,5.142768
-4,5,5.147367
-14,9,5.155369
-7,6,5.160714
-3,5,5.165311
-11,7,5.171665
-7,7,5.177968
-14,8,5.185287
-24,12,5.195854
-22,11,5.205485
-24,11,5.214919
-16,9,5.222956
-8,7,5.229193
-4,7,5.236205
-8,6,5.241941
-4,5,5.246307
-4,5,5.25087
-6,6,5.256341
-6,6,5.261698
-2,5,5.266285
-5,5,5.270936
0,5,5.275477
-6,6,5.280646
-16,10,5.289501
-17,8,5.296645
-9,7,5.303016
-14,9,5.310627
-7,7,5.316895
-10,6,5.322293
-36,15,5.335009
-17,9,5.342787
-2,5,5.347242
-13,7,5.353546
-6,7,5.359699
-10,8,5.366708
-9,6,5.371953
-33,15,5.385023
-14,9,5.393124
-11,7,5.399401
-6,7,5.405448
-15,9,5.413161
-9,7,5.419367
-11,9,5.427423
-14,8,5.434843
-14,9,5.443775
-10,7,5.44996
-15,9,5.457693
-13,9,5.465646
-14,9,5.473366
-5,6,5.47871
-1,5,5.483269
-12,7,5.489263
-2,6,5.494679
-4,5,5.499227
-12,8,5.506315
-13,8,5.51323
-2,5,5.517598
-19,9,5.525564
