#{"t_start": 1660921359.2576392, "env_id": null}
r,l,t
-11,7,0.008742
-19,12,0.016707
-13,8,0.022234
-20,9,0.028504
-19,8,0.03383
-17,7,0.038458
-28,13,0.0471
-29,13,0.086654
-2,5,0.09007
-34,14,0.099287
-12,7,0.103953
-21,10,0.110569
-9,6,0.114587
-10,7,0.119236
-17,9,0.157588
-20,9,0.163626
-24,10,0.170133
-14,8,0.175588
-8,6,0.179661
-4,5,0.183068
-31,14,0.192254
-14,7,0.229187
-19,10,0.235901
-17,11,0.243187
-34,13,0.251569
-19,9,0.257447
-40,16,0.26787
-43,17,0.311494
-25,13,0.320076
-8,7,0.324863
-14,8,0.330164
-28,11,0.337306
-36,15,0.379538
-11,7,0.384215
-10,7,0.388872
-18,11,0.396296
-33,15,0.406009
-14,8,0.411431
-27,14,0.45314
-6,6,0.457456
-34,14,0.466667
-14,8,0.471929
-11,7,0.476765
-14,8,0.48202
-13,7,0.486663
-6,6,0.490691
-7,7,0.529477
-9,6,0.533802
-17,9,0.539693
-14,8,0.545193
-37,15,0.554863
-10,9,0.560909
-9,6,0.564961
-19,9,0.570931
-6,6,0.607716
-7,6,0.611941
-7,6,0.616057
-11,7,0.620708
-7,7,0.625602
-19,9,0.631518
-10,6,0.635529
-14,8,0.640786
-5,7,0.6456
-4,5,0.681461
-13,7,0.686375
-39,16,0.696796
-9,6,0.700819
-12,6,0.704858
-27,12,0.712802
-11,7,0.717442
-21,11,0.756672
-19,9,0.762792
-31,14,0.771846
-11,6,0.776133
-24,11,0.783323
-15,7,0.788004
-13,7,0.792826
-21,9,0.831387
-12,7,0.836341
-4,6,0.840472
-10,6,0.844665
-1,5,0.848109
-24,11,0.855236
-21,10,0.861938
-10,6,0.865957
-18,8,0.871214
-9,5,0.90706
-19,9,0.913136
-8,5,0.916536
-3,5,0.919921
-19,9,0.926018
-5,5,0.929413
-5,5,0.932801
-7,6,0.936824
-14,9,0.942879
-11,6,0.946933
-6,5,0.982911
-7,6,0.986999
-15,7,0.991726
-8,6,0.995905
-17,8,1.001193
-11,6,1.005226
-12,6,1.00945
-15,7,1.014077
-10,7,1.018715
-9,6,1.02274
-7,6,1.059259
-8,7,1.064083
-6,6,1.068203
-9,6,1.072276
-7,6,1.076489
-5,5,1.079891
-8,6,1.083925
-18,8,1.089234
-6,5,1.092793
-11,6,1.096821
-13,7,1.133661
-3,5,1.137168
-6,6,1.14118
-12,7,1.145957
-28,12,1.153757
-5,5,1.157154
-13,9,1.163225
-10,6,1.167299
-5,6,1.171326
-17,9,1.210102
-8,6,1.214749
-2,5,1.218239
-14,8,1.223544
-6,5,1.227266
-5,5,1.230675
-30,11,1.237825
-7,6,1.24189
-6,6,1.246059
-9,6,1.250132
-7,5,1.286206
-13,6,1.290361
-13,7,1.295218
-10,7,1.299899
-5,6,1.303926
-4,6,1.30796
-2,6,1.312193
-12,7,1.316851
-9,6,1.320889
-10,6,1.324918
-6,6,1.329203
-5,6,1.365792
-2,5,1.36933
-26,10,1.376001
-7,6,1.380244
-3,6,1.384359
-6,5,1.387788
-1,5,1.391185
-3,5,1.394901
-2,5,1.398314
-9,7,1.402974
0,5,1.439064
-5,6,1.443489
-19,9,1.449429
-7,6,1.45347
-1,5,1.456873
-6,5,1.460484
-5,5,1.463879
-4,5,1.467315
-3,5,1.470725
-6,5,1.474112
-2,5,1.477743
-8,6,1.481762
-1,5,1.517527
-6,5,1.521078
0,5,1.524524
-10,7,1.529428
-11,6,1.533453
-3,5,1.536917
-9,6,1.540935
-7,6,1.545161
-6,6,1.549217
-5,5,1.552618
-4,6,1.556637
-8,5,1.593635
-13,9,1.599627
-3,5,1.603037
-2,5,1.606434
-3,5,1.610076
-9,6,1.614113
-2,5,1.617507
2,5,1.620896
-2,5,1.624306
-4,5,1.627968
2,5,1.631357
-10,5,1.634746
-6,6,1.67133
-5,7,1.676322
-4,6,1.680386
-5,6,1.684416
-1,5,1.687837
-4,5,1.691245
-3,5,1.694832
-4,5,1.698253
-6,6,1.702279
-6,5,1.705678
1,5,1.709347
-11,7,1.746275
-5,6,1.750406
-12,9,1.756304
-3,6,1.760525
2,5,1.763917
-1,5,1.767325
-4,6,1.771372
-3,5,1.774752
-1,5,1.778521
2,5,1.781918
-4,5,1.785305
1,5,1.788714
-1,5,1.825449
0,5,1.829124
-4,5,1.832542
-6,6,1.836583
-2,5,1.839996
-2,5,1.843571
-3,5,1.846968
-6,5,1.850395
-1,5,1.853791
-4,5,1.857187
-3,5,1.860826
-2,5,1.864226
1,5,1.900043
-7,7,1.904723
-1,5,1.908131
0,5,1.911705
2,5,1.915098
-3,6,1.919101
-1,5,1.922483
0,5,1.926053
-2,5,1.929559
-19,10,1.936075
0,5,1.939471
-2,6,1.976028
-18,10,1.982765
-4,6,1.98679
-11,8,1.992105
-7,7,1.99703
-1,5,2.000458
-5,5,2.003853
-4,5,2.007244
-1,5,2.010917
-3,6,2.014937
-2,5,2.018331
1,5,2.054289
2,5,2.057711
-7,7,2.062534
-6,6,2.066633
-3,5,2.070064
0,5,2.073463
-6,6,2.077708
-1,5,2.081104
-1,5,2.084486
-5,6,2.088496
-1,5,2.091909
-4,6,2.128503
-2,5,2.131945
1,5,2.135347
3,5,2.138744
-9,6,2.142871
-3,5,2.146362
1,5,2.14982
-1,5,2.153213
-3,6,2.157229
0,5,2.160804
0,5,2.164319
2,5,2.167716
-4,6,2.204245
0,5,2.207806
-3,5,2.211425
-1,5,2.214825
-2,5,2.218234
2,5,2.221625
2,5,2.225035
0,6,2.229255
-3,5,2.232667
0,5,2.236075
-1,5,2.239488
0,5,2.24299
-5,9,2.281272
-1,5,2.284795
1,6,2.288898
0,6,2.293042
-3,7,2.297789
2,5,2.301213
-4,6,2.305225
0,5,2.308623
-3,5,2.312228
-4,5,2.31563
-2,5,2.319022
0,5,2.322407
2,5,2.358543
2,5,2.362165
3,5,2.365564
2,5,2.368972
2,5,2.372388
2,5,2.375777
2,5,2.379525
-3,6,2.383546
0,5,2.386946
0,5,2.390357
-4,6,2.394723
0,5,2.398125
-5,7,2.435879
1,5,2.439427
0,5,2.442907
-3,5,2.446399
3,5,2.449835
-2,5,2.453255
2,5,2.456655
3,5,2.460146
-1,5,2.463578
1,5,2.466974
3,5,2.470372
-1,5,2.473807
-2,5,2.477332
0,5,2.513099
3,5,2.516511
-1,5,2.520128
4,5,2.523533
4,5,2.527056
1,5,2.530526
2,5,2.533947
1,5,2.537349
-12,10,2.544005
0,5,2.547394
4,5,2.550797
0,5,2.554214
-8,8,2.592333
-5,7,2.597187
-1,6,2.601232
-19,11,2.608351
3,5,2.61192
-1,6,2.615937
3,5,2.619325
1,5,2.622711
1,5,2.626106
3,5,2.629716
5,5,2.666229
0,6,2.670274
-2,6,2.678127
1,5,2.681562
3,5,2.684974
2,5,2.688376
-25,14,2.697558
4,5,2.700987
2,5,2.704388
-5,6,2.708407
1,6,2.746731
0,6,2.750822
-1,6,2.754874
-6,7,2.759528
2,5,2.76308
3,5,2.766481
4,5,2.76988
0,5,2.773313
3,5,2.776814
0,5,2.780417
0,5,2.783825
4,5,2.787225
5,5,2.823029
0,5,2.826583
2,5,2.830136
2,6,2.834175
2,5,2.837575
4,5,2.840966
1,5,2.844505
3,5,2.847898
1,5,2.851312
3,5,2.854722
2,5,2.85811
2,5,2.861657
3,5,2.865038
0,6,2.901422
-1,7,2.906084
4,5,2.909489
4,5,2.913053
3,5,2.91644
3,5,2.919822
1,6,2.923841
2,5,2.927354
