#{"t_start": 1660921185.5251853, "env_id": null}
r,l,t
-28,11,0.025806
-7,6,0.031381
-9,6,0.036866
-14,9,0.0448
-11,6,0.050071
-30,12,0.060476
-26,11,0.070067
-18,10,0.078414
-17,10,0.087048
-8,7,0.093114
-47,19,0.108928
-22,10,0.1175
-24,14,0.129035
-11,7,0.135244
-6,6,0.140641
-9,7,0.146831
-19,10,0.155535
-15,9,0.163077
-32,14,0.175041
-10,8,0.181861
-21,11,0.191406
-30,12,0.201408
-20,12,0.211708
-36,14,0.223662
-10,6,0.22884
-10,6,0.234008
-18,10,0.242751
-10,7,0.248711
-38,16,0.262505
-8,7,0.26876
-26,12,0.279064
-21,10,0.287811
-19,12,0.298305
-15,9,0.305844
-8,6,0.311182
-12,8,0.318137
-14,8,0.324951
-19,9,0.332868
-18,10,0.341709
-10,7,0.347647
-22,12,0.357975
-20,9,0.365717
-50,21,0.383408
-20,9,0.391239
-14,8,0.398282
-15,9,0.4059
-21,9,0.413833
-32,15,0.426787
-16,7,0.432925
-20,9,0.440277
-18,10,0.448797
-19,8,0.455695
-17,8,1.323353
-12,7,1.329586
-28,12,1.339735
-17,8,1.346723
-15,9,1.354518
-30,15,1.367084
-21,11,1.376716
-14,8,1.383531
-25,11,1.392994
-10,7,1.399078
-14,8,1.406004
-39,17,1.420331
-12,7,1.426513
-12,8,1.433603
-13,8,1.440777
-13,8,1.447627
-21,12,1.458088
-5,6,1.463424
-3,6,1.468751
-32,12,1.478902
-10,7,1.485107
-28,13,1.496372
-20,11,1.505541
-11,8,1.51262
-25,12,1.523098
-5,5,1.52742
-22,12,1.537793
-4,6,1.542983
-17,8,1.549659
-14,9,1.557502
-13,7,1.563364
-11,7,1.569437
-13,8,1.576385
-17,9,1.584412
-1,5,1.588808
-10,7,1.594892
-11,8,1.601859
-3,5,1.606381
-16,10,1.614897
-3,5,1.619291
-17,8,1.62622
-13,8,1.63317
-19,11,1.642601
-6,6,1.647726
-10,7,1.654023
-12,9,1.661621
-45,19,1.677738
-7,8,1.684487
-10,7,1.690636
-15,10,1.699421
-14,9,1.707185
-25,10,1.715785
-15,9,1.723547
-16,8,1.730443
-49,19,1.746209
-20,11,1.755763
-14,9,2.773874
-11,7,2.780008
-2,5,2.784377
-14,8,2.791263
-14,8,2.798146
-10,5,2.802698
-18,9,2.810529
-14,9,2.818223
-3,5,2.822788
-6,6,2.828177
-8,6,2.833242
-7,7,2.839451
-9,7,2.845655
-5,6,2.850712
-15,8,2.857578
-13,7,2.863661
-4,6,2.869032
-17,10,2.877608
-17,9,2.885264
-16,9,2.893051
-9,7,2.899019
-24,12,2.909443
-29,11,2.918673
-13,8,2.925835
-15,9,2.933308
-9,6,2.938707
-9,5,2.943287
-22,10,2.951547
-14,7,2.957825
-10,6,2.963166
-4,5,2.967366
-14,8,2.974259
-15,9,2.98192
-17,10,2.99074
-25,10,2.99939
-32,13,3.010532
-24,13,3.022008
-9,7,3.028223
-16,8,3.034876
-12,8,3.042023
-20,9,3.049845
-8,8,3.056764
-11,8,3.06375
-31,14,3.075661
-11,7,3.081712
-19,10,3.090411
-18,9,3.098108
-15,8,3.105288
-19,8,3.112075
-21,10,3.120806
-12,7,3.126925
-11,7,3.132862
-11,8,3.14
-20,10,3.148564
-28,10,3.157017
-17,9,3.164721
-21,10,3.173507
-6,5,3.178027
-11,6,3.183436
-14,9,3.19128
-10,7,3.197375
-18,11,3.206777
-3,5,3.211299
-5,5,4.417548
-4,5,4.421945
-4,5,4.426295
-9,7,4.432527
-18,9,4.440314
-16,7,4.446271
-6,6,4.451621
0,6,4.457042
-14,8,4.464005
-6,5,4.468577
-15,8,4.475515
-3,7,4.48147
-13,8,4.488461
-5,6,4.493768
-9,7,4.499978
-13,7,4.506206
-7,6,4.51156
-8,6,4.516714
-17,8,4.523758
-15,8,4.530756
-23,11,4.539976
-9,7,4.546138
-8,7,4.55237
-3,6,4.557755
-8,7,4.563934
-6,6,4.569232
-11,7,4.57538
-9,6,4.580724
-1,5,4.585152
-9,7,4.59117
-15,9,4.598718
-14,8,4.605685
-10,7,4.611835
-10,8,4.618958
-7,6,4.624391
-2,5,4.62881
-25,11,4.638041
-15,7,4.64431
-9,7,4.650591
-6,6,4.655886
-12,7,4.662125
-19,11,4.671755
-24,11,4.680942
-4,5,4.685402
-8,6,4.690708
-12,7,4.696725
-21,10,4.705512
-14,9,4.713129
-12,8,4.720061
-25,11,4.729479
-13,8,4.73632
-14,9,4.744278
-9,8,4.751012
-9,6,4.756248
-9,7,4.762396
-9,8,4.769213
-8,6,4.774418
-15,9,4.78215
-12,8,4.78922
-7,6,4.794294
-27,13,4.805466
-5,6,4.810706
-6,6,4.815873
-12,7,4.822278
-22,11,4.831846
-7,7,4.837892
-12,9,4.84554
-8,8,4.852541
-14,9,4.860071
-14,8,6.098869
-7,5,6.103358
-9,7,6.109652
-11,8,6.116648
-7,6,6.121894
-15,9,6.129915
-15,9,6.13763
-5,5,6.142164
-11,8,6.149324
-11,7,6.156742
-13,7,6.162749
-14,7,6.168914
-12,7,6.175109
-5,6,6.180574
-13,8,6.187719
-7,5,6.192294
-3,5,6.196871
-13,7,6.203108
-6,6,6.208357
-3,5,6.212891
-5,5,6.217506
-4,5,6.221907
-5,6,6.227131
-9,7,6.233392
-4,6,6.238772
-5,5,6.243204
-12,7,6.249321
-11,7,6.255526
-7,6,6.260753
-2,5,6.265208
-4,5,6.269857
-17,10,6.278427
-8,7,6.284497
-8,8,6.291574
-9,7,6.297637
-7,6,6.302976
-4,5,6.307606
-4,6,6.312875
-1,5,6.317212
-20,9,6.325159
-31,11,6.334932
-9,7,6.34103
-5,6,6.346286
-5,6,6.351562
-4,6,6.35693
-14,7,6.3632
-14,9,6.371201
-3,5,6.375811
